# 01004 ENAS Ny-Alesund Ii Observations at 12Z 03 Apr 2019
Frequency [GHz],TB
175.31,231.772387476
175.322,231.840174509
175.337,231.924983751
175.352,232.009875835
175.367,232.094849707
175.382,232.17990428
175.397,232.265038497
175.412,232.350251207
175.427,232.435541319
175.442,232.520907688
175.457,232.606349183
175.472,232.691864611
175.487,232.777452828
175.502,232.863112604
175.517,232.94884275
175.532,233.034642022
175.547,233.120509201
175.562,233.206442988
175.577,233.292442181
175.592,233.378505427
175.607,233.464631443
175.622,233.550818909
175.637,233.637066495
175.652,233.723372825
175.667,233.809736548
175.682,233.896156274
175.697,233.982630562
175.712,234.06915806
175.727,234.155737254
175.742,234.242366777
175.757,234.329045058
175.772,234.415770669
175.787,234.502542093
175.802,234.589357791
175.817,234.67621621
175.832,234.763115836
175.847,234.85005505
175.862,234.937032253
175.877,235.024045854
175.892,235.111094196
175.907,235.198175638
175.922,235.285288515
175.937,235.372431136
175.952,235.459601763
175.967,235.546798729
175.982,235.634020252
175.997,235.72126455
176.012,235.808529878
176.027,235.895814385
176.042,235.983116295
176.057,236.070433774
176.072,236.157764898
176.087,236.245107838
176.102,236.332460672
176.117,236.419821484
176.132,236.507188329
176.147,236.594559271
176.162,236.68193229
176.177,236.769305405
176.192,236.856676596
176.207,236.944043809
176.222,237.031405008
176.237,237.118758071
176.252,237.206100909
176.267,237.293431424
176.282,237.38074744
176.297,237.468046795
176.31,237.543691064
176.312,237.555327284
176.327,237.642586756
176.342,237.729822905
176.357,237.817033535
176.372,237.90421635
176.387,237.991369053
176.402,238.078489341
176.417,238.165574863
176.432,238.252623263
176.447,238.339632157
176.46,238.415006061
176.462,238.42659918
176.477,238.51352185
176.492,238.600397731
176.507,238.687224362
176.522,238.773999281
176.537,238.860719951
176.552,238.947383808
176.567,239.033988368
176.582,239.120530966
176.597,239.207009051
176.612,239.293420005
176.627,239.379761147
176.642,239.466029826
176.657,239.552223351
176.672,239.638339024
176.687,239.724374058
176.702,239.81032576
176.717,239.896191302
176.732,239.981967893
176.747,240.067652723
176.762,240.153242934
176.777,240.238735617
176.792,240.324127951
176.807,240.409416938
176.822,240.494599694
176.837,240.57967326
176.852,240.664634599
176.867,240.749480754
176.882,240.834208693
176.897,240.91881534
176.912,241.003297639
176.927,241.087652486
176.942,241.171876772
176.957,241.255967335
176.972,241.339921028
176.987,241.423734676
177.002,241.507405044
177.017,241.590928916
177.032,241.67430306
177.047,241.757524166
177.062,241.840588954
177.077,241.923494113
177.092,242.006236313
177.107,242.088812165
177.122,242.171218312
177.137,242.25345135
177.152,242.335507839
177.167,242.417384327
177.182,242.499077375
177.197,242.580583506
177.21,242.651068228
177.212,242.661899174
177.227,242.743020888
177.242,242.823945065
177.257,242.904668124
177.272,242.985186536
177.287,243.065496646
177.302,243.145594831
177.31,243.188225957
177.317,243.225477465
177.332,243.305140851
177.347,243.384581319
177.362,243.463795161
177.377,243.542778649
177.392,243.621528046
177.407,243.700039602
177.422,243.778309521
177.437,243.856333991
177.452,243.93410923
177.467,244.011631404
177.482,244.088896621
177.497,244.165901056
177.512,244.242640835
177.527,244.319112041
177.542,244.395310744
177.557,244.471233033
177.572,244.546874964
177.587,244.622232574
177.602,244.697301901
177.617,244.772078935
177.632,244.846559675
177.647,244.920740119
177.66,244.984783843
177.662,244.994616252
177.677,245.068183998
177.692,245.141439305
177.707,245.214378104
177.722,245.286996358
177.737,245.359289944
177.752,245.431254758
177.767,245.502886704
177.782,245.574181667
177.797,245.645135497
177.812,245.715744071
177.827,245.786003218
177.842,245.85590883
177.857,245.925456702
177.872,245.994642668
177.887,246.063462561
177.902,246.131912204
177.917,246.19998741
177.932,246.267683967
177.947,246.334997697
177.96,246.393023343
177.962,246.401924386
177.977,246.468459821
177.992,246.53459984
178.007,246.600340181
178.022,246.665676672
178.037,246.730605084
178.052,246.795121177
178.067,246.859220796
178.082,246.922899686
178.097,246.986153654
178.112,247.048978501
178.127,247.111370009
178.142,247.173323988
178.157,247.234836253
178.172,247.295902581
178.187,247.356518825
178.202,247.416680765
178.217,247.476384264
178.232,247.535625153
178.247,247.594399245
178.262,247.652702441
178.277,247.71053059
178.292,247.767879547
178.307,247.824745212
178.322,247.881123487
178.337,247.937010295
178.352,247.992401533
178.367,248.047293189
178.382,248.101681175
178.397,248.155561489
178.41,248.201844031
178.412,248.208930131
178.427,248.261783097
178.442,248.314116393
178.457,248.365926091
178.472,248.417208305
178.487,248.467959036
178.502,248.518174467
178.517,248.567850708
178.532,248.616983935
178.547,248.665570306
178.562,248.713606058
178.577,248.76108742
178.592,248.808010683
178.607,248.854372102
178.622,248.900168046
178.637,248.945394854
178.652,248.990048901
178.667,249.034126615
178.682,249.077624473
178.697,249.120538938
178.712,249.162866555
178.727,249.204603844
178.742,249.245747441
178.757,249.286293984
178.772,249.326240122
178.787,249.3655826
178.802,249.404318136
178.817,249.442443576
178.832,249.479955716
178.847,249.516851441
178.862,249.553127719
178.877,249.5887815
178.892,249.623809818
178.907,249.658209702
178.922,249.691978318
178.937,249.725112798
178.952,249.757610398
178.967,249.789468354
178.982,249.820683982
178.997,249.851254667
179.012,249.881177828
179.027,249.910450947
179.042,249.93907157
179.057,249.967037279
179.072,249.994345741
179.087,250.020994635
179.102,250.046981748
179.117,250.072304913
179.132,250.096962
179.147,250.120950958
179.16,250.141199419
179.162,250.144269792
179.177,250.166916614
179.192,250.188889501
179.207,250.210186697
179.222,250.230806454
179.237,250.250747092
179.252,250.270007033
179.267,250.288584721
179.282,250.306478701
179.297,250.323687531
179.312,250.340209931
179.327,250.356044625
179.342,250.371190414
179.357,250.385646162
179.372,250.399410845
179.387,250.41248347
179.402,250.424863136
179.417,250.436548988
179.432,250.447540269
179.447,250.457836293
179.462,250.467436461
179.477,250.476340185
179.492,250.484547052
179.507,250.492056598
179.522,250.49886857
179.537,250.504982685
179.552,250.510398768
179.567,250.515116718
179.582,250.519136536
179.597,250.522458259
179.612,250.525082054
179.627,250.527008059
179.642,250.528236584
179.657,250.528767973
179.672,250.528602688
179.687,250.527741195
179.702,250.526184082
179.717,250.523932013
179.732,250.520985679
179.747,250.517345925
179.762,250.513013603
179.777,250.507989635
179.792,250.502275093
179.807,250.495871021
179.822,250.488778617
179.837,250.480999108
179.852,250.47253377
179.867,250.463384034
179.882,250.453551306
179.897,250.443037111
179.91,250.433374817
179.912,250.431843043
179.927,250.419970722
179.942,250.407421912
179.957,250.394198373
179.972,250.380301954
179.987,250.365734571
180.002,250.350498184
180.017,250.334594865
180.032,250.318026706
180.047,250.300795873
180.062,250.282904569
180.077,250.264355113
180.092,250.245149794
180.107,250.225291037
180.122,250.204781289
180.137,250.183623062
180.152,250.161818885
180.167,250.139371388
180.182,250.116283233
180.197,250.092557097
180.212,250.068195799
180.227,250.043202055
180.242,250.017578765
180.257,249.991328836
180.272,249.964455146
180.287,249.936960675
180.302,249.90884849
180.317,249.880121582
180.332,249.850783095
180.347,249.820836048
180.362,249.790283727
180.377,249.75912922
180.392,249.727375755
180.407,249.695026651
180.422,249.662085079
180.437,249.628554409
180.452,249.594437937
180.467,249.559739005
180.482,249.524460991
180.497,249.488607307
180.512,249.452181297
180.527,249.415186419
180.542,249.3776261
180.557,249.339503817
180.56,249.331812217
180.572,249.300822992
180.587,249.261587122
180.602,249.221799716
180.617,249.181464207
180.632,249.140584151
180.647,249.099163016
180.66,249.062829741
180.662,249.057204322
180.677,249.014711567
180.692,248.971688293
180.707,248.928137989
180.722,248.884064179
180.737,248.83947038
180.752,248.794360106
180.767,248.748736821
180.782,248.70260407
180.797,248.655965306
180.812,248.60882405
180.827,248.561183762
180.842,248.513047929
180.857,248.464419981
180.872,248.415303398
180.887,248.365701642
180.902,248.31561806
180.917,248.265056177
180.932,248.21401933
180.947,248.162510932
180.962,248.110534361
180.977,248.058093004
180.992,248.005190196
181.007,247.95182929
181.022,247.89801364
181.037,247.843746515
181.052,247.789031269
181.067,247.733871192
181.082,247.678269515
181.097,247.62222959
181.112,247.565754616
181.127,247.508847852
181.142,247.451512551
181.157,247.393751964
181.172,247.335569267
181.187,247.276967735
181.202,247.21795055
181.217,247.158520903
181.232,247.09868203
181.247,247.038437115
181.262,246.977789366
181.277,246.916741984
181.292,246.855298184
181.307,246.793461186
181.31,246.781046889
181.322,246.731234189
181.337,246.668620411
181.352,246.605623129
181.367,246.542245572
181.382,246.478490975
181.397,246.414362692
181.412,246.349863966
181.427,246.284998137
181.442,246.219768559
181.457,246.154178597
181.472,246.088231702
181.487,246.021931273
181.502,245.955280819
181.517,245.888283846
181.532,245.820943916
181.547,245.753264633
181.562,245.685249679
181.577,245.616902754
181.592,245.548227633
181.607,245.479228137
181.622,245.409908157
181.637,245.340271702
181.652,245.270322755
181.667,245.200065446
181.682,245.129503989
181.697,245.058642628
181.712,244.987485747
181.727,244.916037799
181.742,244.844303335
181.757,244.772287011
181.772,244.69999359
181.787,244.627427983
181.802,244.554595112
181.817,244.481500119
181.832,244.40814821
181.847,244.334544789
181.862,244.260695259
181.877,244.186605312
181.892,244.112280684
181.907,244.037727267
181.922,243.962951137
181.937,243.887958503
181.952,243.812755709
181.967,243.737349284
181.982,243.661745929
181.997,243.585952458
182.012,243.509975961
182.027,243.433823533
182.042,243.357502602
182.057,243.281020737
182.06,243.265705722
182.072,243.204385617
182.087,243.127605171
182.102,243.050687478
182.117,242.973640799
182.132,242.896473574
182.147,242.819194479
182.162,242.741812291
182.177,242.664336021
182.192,242.586774782
182.207,242.509137961
182.222,242.431435035
182.237,242.353675638
182.252,242.275869619
182.267,242.198026892
182.282,242.120157556
182.297,242.042271844
182.312,241.964380002
182.327,241.886492453
182.342,241.808619662
182.357,241.730772165
182.372,241.652960488
182.387,241.575195145
182.402,241.497486673
182.417,241.41984549
182.432,241.342281965
182.447,241.264806253
182.462,241.187428323
182.477,241.11015797
182.492,241.033004563
182.507,240.955977167
182.522,240.879084373
182.537,240.802334183
182.552,240.725734041
182.567,240.649290559
182.582,240.573009538
182.597,240.496895793
182.612,240.420952922
182.627,240.345183262
182.642,240.269587636
182.657,240.194165096
182.672,240.11891276
182.687,240.043825507
182.702,239.968895673
182.717,239.894112674
182.732,239.819462629
182.747,239.744927878
182.762,239.670486545
182.777,239.596111786
182.792,239.521771244
182.807,239.447426128
182.822,239.3730304
182.837,239.298529589
182.852,239.223859533
182.867,239.148944886
182.882,239.073697387
182.897,238.998013614
182.912,238.921772468
182.927,238.844832185
182.942,238.767026324
182.957,238.68815933
182.972,238.60800073
182.987,238.526277783
183.002,238.442666591
183.017,238.356780214
183.032,238.268153832
183.047,238.17622489
183.062,238.080307043
