# 78954 TBPB Grantley Adams Observations at 12Z 12 Apr 2019
Frequency [GHz],TB
175.31,283.385820092
175.322,283.375147596
175.337,283.361777157
175.352,283.348373556
175.367,283.334936759
175.382,283.321466733
175.397,283.307963444
175.412,283.294426856
175.427,283.280856932
175.442,283.267253636
175.457,283.253616927
175.472,283.239946768
175.487,283.226243116
175.502,283.212505931
175.517,283.198735168
175.532,283.184930785
175.547,283.171092735
175.562,283.157220973
175.577,283.14331545
175.592,283.129376119
175.607,283.115402928
175.622,283.101395827
175.637,283.087354764
175.652,283.073279683
175.667,283.059170532
175.682,283.045027252
175.697,283.030849786
175.712,283.016638076
175.727,283.002392061
175.742,282.988111678
175.757,282.973796866
175.772,282.959447559
175.787,282.945063691
175.802,282.930645194
175.817,282.916192001
175.832,282.901704039
175.847,282.887181237
175.862,282.872623522
175.877,282.858030819
175.892,282.843403049
175.907,282.828740137
175.922,282.814042
175.937,282.799308558
175.952,282.784539728
175.967,282.769735424
175.982,282.75489556
175.997,282.740020047
176.012,282.725108795
176.027,282.710161712
176.042,282.695178705
176.057,282.680159677
176.072,282.665104532
176.087,282.650013169
176.102,282.634885488
176.117,282.619721386
176.132,282.604520758
176.147,282.589283495
176.162,282.574009491
176.177,282.558698632
176.192,282.543350806
176.207,282.527965899
176.222,282.512543792
176.237,282.497084366
176.252,282.481587501
176.267,282.466053071
176.282,282.450480951
176.297,282.434871013
176.31,282.421311708
176.312,282.419223126
176.327,282.403537158
176.342,282.387812974
176.357,282.372050436
176.372,282.356249405
176.387,282.340409739
176.402,282.324531292
176.417,282.308613919
176.432,282.292657469
176.447,282.276661792
176.46,282.26276702
176.462,282.260626731
176.477,282.24455213
176.492,282.22843783
176.507,282.212283668
176.522,282.196089479
176.537,282.179855095
176.552,282.163580347
176.567,282.14726506
176.582,282.130909059
176.597,282.114512166
176.612,282.098074198
176.627,282.081594971
176.642,282.065074298
176.657,282.048511987
176.672,282.031907847
176.687,282.015261679
176.702,281.998573286
176.717,281.981842463
176.732,281.965069006
176.747,281.948252705
176.762,281.931393349
176.777,281.914490721
176.792,281.897544603
176.807,281.880554774
176.822,281.863521007
176.837,281.846443075
176.852,281.829320743
176.867,281.812153778
176.882,281.794941939
176.897,281.777684985
176.912,281.760382667
176.927,281.743034737
176.942,281.72564094
176.957,281.708201019
176.972,281.690714712
176.987,281.673181755
177.002,281.655601878
177.017,281.637974808
177.032,281.620300268
177.047,281.602577978
177.062,281.584807653
177.077,281.566989002
177.092,281.549121734
177.107,281.531205549
177.122,281.513240148
177.137,281.495225223
177.152,281.477160465
177.167,281.459045557
177.182,281.440880183
177.197,281.422664016
177.21,281.406835333
177.212,281.404396729
177.227,281.38607799
177.242,281.36770746
177.257,281.349284796
177.272,281.330809653
177.287,281.312281678
177.302,281.293700513
177.31,281.283768686
177.317,281.275065798
177.332,281.256377165
177.347,281.237634242
177.362,281.218836653
177.377,281.199984015
177.392,281.18107594
177.407,281.162112035
177.422,281.143091904
177.437,281.124015141
177.452,281.104881338
177.467,281.085690079
177.482,281.066440946
177.497,281.047133511
177.512,281.027767343
177.527,281.008342004
177.542,280.98885705
177.557,280.969312032
177.572,280.949706495
177.587,280.930039977
177.602,280.910312009
177.617,280.890522119
177.632,280.870669824
177.647,280.850754639
177.66,280.833443559
177.662,280.83077607
177.677,280.810733617
177.692,280.790626773
177.707,280.770455026
177.722,280.750217854
177.737,280.729914732
177.752,280.709545125
177.767,280.689108493
177.782,280.668604287
177.797,280.648031952
177.812,280.627390925
177.827,280.606680637
177.842,280.58590051
177.857,280.56504996
177.872,280.544128393
177.887,280.52313521
177.902,280.502069803
177.917,280.480931555
177.932,280.459719842
177.947,280.438434033
177.96,280.419925901
177.962,280.417073487
177.977,280.395637556
177.992,280.374125583
178.007,280.352536903
178.022,280.330870841
178.037,280.309126715
178.052,280.287303834
178.067,280.265401497
178.082,280.243418995
178.097,280.221355611
178.112,280.199210616
178.127,280.176983274
178.142,280.154672838
178.157,280.132278554
178.172,280.109799655
178.187,280.087235367
178.202,280.064584906
178.217,280.041847475
178.232,280.019022272
178.247,279.996108479
178.262,279.973105273
178.277,279.950011818
178.292,279.926827267
178.307,279.903550763
178.322,279.880181439
178.337,279.856718417
178.352,279.833160807
178.367,279.809507707
178.382,279.785758207
178.397,279.761911382
178.41,279.741164687
178.412,279.737966298
178.427,279.713922008
178.442,279.689777555
178.457,279.665531967
178.472,279.641184262
178.487,279.616733446
178.502,279.592178513
178.517,279.567518441
178.532,279.5427522
178.547,279.517878745
178.562,279.492897018
178.577,279.467805949
178.592,279.442604453
178.607,279.417291434
178.622,279.391865781
178.637,279.366326368
178.652,279.340672059
178.667,279.314901701
178.682,279.289014128
178.697,279.263008159
178.712,279.2368826
178.727,279.21063624
178.742,279.184267856
178.757,279.157776209
178.772,279.131160043
178.787,279.104418091
178.802,279.077549065
178.817,279.050551667
178.832,279.02342458
178.847,278.996166471
178.862,278.968775992
178.877,278.941251779
178.892,278.913592449
178.907,278.885796606
178.922,278.857862835
178.937,278.829789703
178.952,278.801575762
178.967,278.773219545
178.982,278.744719568
178.997,278.71607433
179.012,278.68728231
179.027,278.658341971
179.042,278.629251755
179.057,278.600010087
179.072,278.570615374
179.087,278.541066003
179.102,278.51136034
179.117,278.481496735
179.132,278.451473515
179.147,278.42128899
179.16,278.394997267
179.162,278.390941447
179.177,278.360429154
179.192,278.32975036
179.207,278.298903291
179.222,278.267886152
179.237,278.236697127
179.252,278.20533438
179.267,278.17379605
179.282,278.142080258
179.297,278.110185099
179.312,278.078108647
179.327,278.045848955
179.342,278.013404049
179.357,277.980771935
179.372,277.947950595
179.387,277.914937985
179.402,277.881732039
179.417,277.848330666
179.432,277.81473175
179.447,277.78093315
179.462,277.746932701
179.477,277.71272821
179.492,277.678317461
179.507,277.643698209
179.522,277.608868184
179.537,277.573825091
179.552,277.538566604
179.567,277.503090373
179.582,277.467394018
179.597,277.431475132
179.612,277.395331281
179.627,277.358959999
179.642,277.322358793
179.657,277.28552514
179.672,277.248456489
179.687,277.211150256
179.702,277.173603828
179.717,277.135814561
179.732,277.09777978
179.747,277.059496777
179.762,277.020962814
179.777,276.98217512
179.792,276.943130889
179.807,276.903827285
179.822,276.864261436
179.837,276.824430437
179.852,276.784331349
179.867,276.743961196
179.882,276.703316969
179.897,276.66239562
179.91,276.626703911
179.912,276.621194069
179.927,276.579709197
179.942,276.537937845
179.957,276.495876822
179.972,276.453522893
179.987,276.410872789
180.002,276.367923198
180.017,276.324670772
180.032,276.281112118
180.047,276.237243806
180.062,276.193062364
180.077,276.148564276
180.092,276.103745985
180.107,276.058603891
180.122,276.013134349
180.137,275.967333672
180.152,275.921198126
180.167,275.874723931
180.182,275.827907263
180.197,275.78074425
180.212,275.733230971
180.227,275.685363459
180.242,275.637137697
180.257,275.588549619
180.272,275.539595107
180.287,275.490269994
180.302,275.44057006
180.317,275.390491032
180.332,275.340028585
180.347,275.289178338
180.362,275.237935857
180.377,275.186296649
180.392,275.134256168
180.407,275.081809808
180.422,275.028952905
180.437,274.975680737
180.452,274.921988518
180.467,274.867871405
180.482,274.813324491
180.497,274.758342804
180.512,274.702921311
180.527,274.647054912
180.542,274.590738439
180.557,274.533966661
180.56,274.522557203
180.572,274.476734274
180.587,274.419035906
180.602,274.360866115
180.617,274.302219387
180.632,274.243090133
180.647,274.183472692
180.66,274.13140492
180.662,274.123361325
180.677,274.062750218
180.692,274.001633477
180.707,273.940005129
180.722,273.877859121
180.737,273.815189317
180.752,273.751989496
180.767,273.688253354
180.782,273.623974497
180.797,273.559146445
180.812,273.493762627
180.827,273.427816382
180.842,273.361300953
180.857,273.294209491
180.872,273.226535048
180.887,273.158270579
180.902,273.089408938
180.917,273.019942877
180.932,272.949865045
