# 48698 WSSS Singapore Observations at 12Z 17 Apr 2019
Frequency [GHz],TB
175.31,277.408324361
175.322,277.385243141
175.337,277.35632507
175.352,277.327332841
175.367,277.298266236
175.382,277.269125034
175.397,277.239909006
175.412,277.210617934
175.427,277.181251586
175.442,277.151809742
175.457,277.122292177
175.472,277.092698644
175.487,277.063028921
175.502,277.033282784
175.517,277.003459993
175.532,276.973560317
175.547,276.943583514
175.562,276.913529361
175.577,276.883397603
175.592,276.853188023
175.607,276.822900363
175.622,276.792534386
175.637,276.762089858
175.652,276.731566526
175.667,276.700964146
175.682,276.670282482
175.697,276.639521271
175.712,276.608680281
175.727,276.577759261
175.742,276.546757946
175.757,276.515676103
175.772,276.484513462
175.787,276.453269779
175.802,276.421944803
175.817,276.390538261
175.832,276.359049912
175.847,276.327479483
175.862,276.295826725
175.877,276.26409137
175.892,276.232273154
175.907,276.200371819
175.922,276.168387096
175.937,276.136318719
175.952,276.10416642
175.967,276.071929929
175.982,276.039608975
175.997,276.007203284
176.012,275.974712595
176.027,275.942136623
176.042,275.909475088
176.057,275.876727725
176.072,275.843894243
176.087,275.810974368
176.102,275.777967832
176.117,275.744874332
176.132,275.711693597
176.147,275.678425344
176.162,275.645069272
176.177,275.611625105
176.192,275.578092554
176.207,275.544471329
176.222,275.510761144
176.237,275.476961687
176.252,275.443072678
176.267,275.40909382
176.282,275.375024811
176.297,275.340865364
176.31,275.311187107
176.312,275.306615164
176.327,275.272273923
176.342,275.237841327
176.357,275.203317084
176.372,275.168700877
176.387,275.133992407
176.402,275.099191364
176.417,275.064297437
176.432,275.029310317
176.447,274.994229686
176.46,274.963750598
176.462,274.959055238
176.477,274.923786654
176.492,274.888423622
176.507,274.852965814
176.522,274.817412912
176.537,274.781764605
176.552,274.74602056
176.567,274.710180457
176.582,274.674243965
176.597,274.638210766
176.612,274.602080526
176.627,274.565852915
176.642,274.529527603
176.657,274.493104256
176.672,274.456582535
176.687,274.419962112
176.702,274.383242648
176.717,274.346423797
176.732,274.309505224
176.747,274.272486579
176.762,274.235367526
176.777,274.198147712
176.792,274.160826801
176.807,274.123404431
176.822,274.085880265
176.837,274.048253939
176.852,274.010525104
176.867,273.972693405
176.882,273.93475848
176.897,273.89671998
176.912,273.858577536
176.927,273.820330789
176.942,273.781979384
176.957,273.743522936
176.972,273.704961088
176.987,273.666293483
177.002,273.627519725
177.017,273.588639469
177.032,273.549652317
177.047,273.510557904
177.062,273.471355857
177.077,273.432045785
177.092,273.392627319
177.107,273.353100066
177.122,273.31346364
177.137,273.273717662
177.152,273.233861743
177.167,273.193895484
177.182,273.153818498
177.197,273.113630389
177.21,273.078710502
177.212,273.073330757
177.227,273.032919219
177.242,272.992395351
177.257,272.951758763
177.272,272.911009054
177.287,272.870145814
177.302,272.829168637
177.31,272.80726741
177.317,272.788077106
177.332,272.746870816
177.347,272.705549342
177.362,272.664112275
177.377,272.622559192
177.392,272.580889681
177.407,272.539103306
177.422,272.497199649
177.437,272.455178281
177.452,272.413038775
177.467,272.370780689
177.482,272.328403601
177.497,272.285907064
177.512,272.243290635
177.527,272.20055389
177.542,272.157696377
177.557,272.114717638
177.572,272.071617237
177.587,272.028394719
177.602,271.98504963
177.617,271.941581517
177.632,271.897989911
177.647,271.854274363
177.66,271.81628693
177.662,271.810434399
177.677,271.766469553
177.692,271.722379365
177.707,271.678163348
177.722,271.633821043
177.737,271.589351959
177.752,271.544755621
177.767,271.500031544
177.782,271.45517924
177.797,271.410198228
177.812,271.365088003
177.827,271.319848087
177.842,271.274477964
177.857,271.228977131
177.872,271.1833451
177.887,271.137581359
177.902,271.091685386
177.917,271.045656681
177.932,270.999494715
177.947,270.953198972
177.96,270.912967383
177.962,270.906768931
177.977,270.860204058
177.992,270.81350382
178.007,270.766667688
178.022,270.719695126
178.037,270.672585596
178.052,270.625338535
178.067,270.577953409
178.082,270.53042966
178.097,270.482766734
178.112,270.434964065
178.127,270.387021092
178.142,270.338937242
178.157,270.29071195
178.172,270.242344635
178.187,270.193834718
178.202,270.145181611
178.217,270.09638473
178.232,270.047443475
178.247,269.998357246
178.262,269.949125456
178.277,269.899747473
178.292,269.850222706
178.307,269.800550535
178.322,269.750730336
178.337,269.700761477
178.352,269.650643333
178.367,269.600375276
178.382,269.549956654
178.397,269.499386823
178.41,269.455436831
178.412,269.448665141
178.427,269.397790946
178.442,269.346763574
178.457,269.29558236
178.472,269.244246633
178.487,269.192755719
178.502,269.141108924
178.517,269.089305566
178.532,269.037344957
178.547,268.985226384
178.562,268.932949153
178.577,268.880512545
178.592,268.827915838
178.607,268.775158308
178.622,268.722239227
178.637,268.669157864
178.652,268.615913465
178.667,268.562505284
178.682,268.508932567
178.697,268.455194541
178.712,268.401290448
178.727,268.3472195
178.742,268.292980917
178.757,268.238573904
178.772,268.183997672
178.787,268.129251402
178.802,268.074334297
178.817,268.019245517
178.832,267.963984245
178.847,267.908549649
178.862,267.852940868
178.877,267.797157064
178.892,267.74119737
178.907,267.685060931
178.922,267.628746847
178.937,267.572254257
178.952,267.515582256
178.967,267.458729942
178.982,267.401696399
178.997,267.344480731
179.012,267.28708198
179.027,267.229499224
179.042,267.171731515
179.057,267.113777896
179.072,267.055637401
179.087,266.997309057
179.102,266.938791874
179.117,266.880084866
179.132,266.821187027
179.147,266.762097334
179.16,266.710730298
179.162,266.702814775
179.177,266.643338308
179.192,266.583666883
179.207,266.523799454
179.222,266.463734944
179.237,266.403472284
179.252,266.343010382
179.267,266.282348142
179.282,266.221484446
179.297,266.160418175
179.312,266.099148198
179.327,266.03767336
179.342,265.975992515
179.357,265.914104482
179.372,265.85200809
179.387,265.789702136
179.402,265.727185416
179.417,265.664456708
179.432,265.601514789
179.447,265.5383584
179.462,265.4749863
179.477,265.411397193
179.492,265.34758982
179.507,265.28356286
179.522,265.219315019
179.537,265.154844947
179.552,265.09015133
179.567,265.025232785
179.582,264.960087968
179.597,264.894715472
179.612,264.82911391
179.627,264.763281863
179.642,264.697217904
179.657,264.63092058
179.672,264.564388434
179.687,264.497619989
179.702,264.430613743
179.717,264.363368195
179.732,264.295881817
179.747,264.22815306
179.762,264.160180364
179.777,264.091962151
179.792,264.02349683
179.807,263.954782782
179.822,263.885818365
179.837,263.81660195
179.852,263.74713185
179.867,263.677406391
179.882,263.607423854
179.897,263.537182527
179.91,263.476096017
179.912,263.466680648
179.927,263.395916456
179.942,263.324888173
179.957,263.253593979
179.972,263.182032057
179.987,263.110200554
180.002,263.038097606
180.017,262.965721309
180.032,262.893069747
180.047,262.820141006
180.062,262.746933098
180.077,262.673444051
180.092,262.599671869
180.107,262.525614502
180.122,262.451269908
180.137,262.376636004
180.152,262.301710687
180.167,262.226491824
180.182,262.150977255
180.197,262.075164797
180.212,261.999052247
180.227,261.922637366
180.242,261.845917883
180.257,261.768891506
180.272,261.691555925
180.287,261.613908765
180.302,261.535947671
180.317,261.457670209
180.332,261.379073953
180.347,261.300156416
180.362,261.220915107
180.377,261.141347471
180.392,261.061450954
180.407,260.981222931
180.422,260.900660778
180.437,260.819761814
180.452,260.738523334
180.467,260.656942582
180.482,260.575016787
180.497,260.492743115
180.512,260.41011872
180.527,260.327140697
180.542,260.243806105
180.557,260.160111965
180.56,260.143329733
180.572,260.076055267
180.587,259.991632935
180.602,259.906841875
180.617,259.821678938
180.632,259.736140931
180.647,259.650224603
180.66,259.575455241
180.662,259.563926681
180.677,259.477243827
180.692,259.390172672
180.707,259.302709779
180.722,259.214851671
180.737,259.126594813
180.752,259.037935631
180.767,258.94887049
180.782,258.859395706
180.797,258.76950753
180.812,258.67920217
180.827,258.588475766
180.842,258.497324402
180.857,258.405744126
180.872,258.313730888
180.887,258.221280602
180.902,258.128389118
180.917,258.035052208
180.932,257.9412656
180.947,257.847024947
180.962,257.752325828
180.977,257.657163763
180.992,257.561534213
181.007,257.465432544
181.022,257.36885406
181.037,257.271794013
181.052,257.174247552
181.067,257.07620978
181.082,256.977675686
181.097,256.878640218
181.112,256.779098227
181.127,256.6790445
181.142,256.578473719
181.157,256.477380505
181.172,256.375759382
181.187,256.273604802
181.202,256.170911134
181.217,256.067672642
181.232,255.963883519
181.247,255.859537872
181.262,255.754629695
181.277,255.649152923
181.292,255.543101378
181.307,255.436468795
181.31,255.415072006
181.322,255.32924883
181.337,255.221435024
181.352,255.113020833
181.367,255.003999619
181.382,254.894364644
181.397,254.78410909
181.412,254.673226017
181.427,254.561708392
181.442,254.44954911
181.457,254.33674095
181.472,254.223276582
181.487,254.109148596
181.502,253.994349483
181.517,253.878871624
181.532,253.762707323
181.547,253.645848771
181.562,253.528288062
181.577,253.410017213
181.592,253.291028136
181.607,253.171312644
181.622,253.05086247
181.637,252.929669253
181.652,252.807724548
181.667,252.685019819
181.682,252.561546445
181.697,252.437295736
181.712,252.3122589
181.727,252.186427119
181.742,252.059791445
181.757,251.932342894
181.772,251.804072426
181.787,251.67497092
181.802,251.545029219
181.817,251.414238103
181.832,251.28258832
181.847,251.150070581
181.862,251.016675556
181.877,250.882393902
181.892,250.747216261
181.907,250.611133254
181.922,250.474135525
181.937,250.336213712
181.952,250.19735847
181.967,250.057560503
181.982,249.916810546
181.997,249.775099385
182.012,249.632417883
182.027,249.488756972
182.042,249.344107687
182.057,249.19846118
182.06,249.169211439
182.072,249.051808717
182.087,248.904141711
182.102,248.755451745
182.117,248.605730583
182.132,248.454970181
182.147,248.303162744
182.162,248.150300706
182.177,247.99637678
182.192,247.841383987
182.207,247.685315662
182.222,247.528165531
182.237,247.369927674
182.252,247.21059662
182.267,247.050167354
182.282,246.888635361
182.297,246.725996672
182.312,246.562247896
182.327,246.397386276
182.342,246.231409741
182.357,246.064316951
182.372,245.896107371
182.387,245.726781288
182.402,245.556339938
182.417,245.384785523
182.432,245.212121316
182.447,245.038351707
182.462,244.863482314
182.477,244.687520075
182.492,244.510473318
182.507,244.332351874
182.522,244.153167176
182.537,243.972932386
182.552,243.791662499
182.567,243.609374472
182.582,243.426087358
182.597,243.241822421
182.612,243.056603311
182.627,242.87045618
182.642,242.683409849
182.657,242.49549594
182.672,242.306749037
182.687,242.11720681
182.702,241.92691017
182.717,241.735903393
182.732,241.544234209
182.747,241.351953878
182.762,241.159117235
182.777,240.965782676
182.792,240.772012098
182.807,240.577870687
182.822,240.383426701
182.837,240.188751012
182.852,239.993916531
182.867,239.798997385
182.882,239.604067771
182.897,239.409200486
182.912,239.214465003
182.927,239.019924843
182.942,238.825634351
182.957,238.631634394
182.972,238.43794686
182.987,238.244567572
183.002,238.051457139
183.017,237.858529159
183.032,237.665634826
183.047,237.472542962
183.062,237.278913764
183.077,237.084264239
183.092,236.887922278
183.107,236.688965391
183.122,236.486138511
183.137,236.277743677
183.152,236.061492917
183.167,235.83431654
183.182,235.592128329
183.197,235.329586174
183.212,235.040008665
183.227,234.715991322
183.242,234.352441691
183.257,233.957270801
183.367,234.046715582
183.382,234.431850944
183.397,234.781057219
183.412,235.09155785
183.427,235.369573003
183.442,235.622448935
183.457,235.856528954
183.472,236.076807806
183.487,236.287082642
183.502,236.490198469
183.517,236.688272917
183.532,236.882875798
183.547,237.075165767
183.562,237.265992548
183.577,237.455973073
183.592,237.645548338
183.607,237.835026025
183.622,238.024612659
183.637,238.214438085
183.652,238.404574135
183.667,238.595048967
183.682,238.78585813
183.697,238.976973128
183.712,239.168348077
183.727,239.359924847
183.742,239.551637051
183.757,239.743413174
183.772,239.935178905
183.787,240.126859014
183.802,240.318378701
183.817,240.509664657
183.832,240.700645812
183.847,240.89125389
183.862,241.081423776
183.877,241.271093764
183.892,241.460205701
183.907,241.64870504
183.922,241.836540824
183.937,242.023665671
183.952,242.210035634
183.967,242.395610154
183.982,242.580351877
183.997,242.764226552
184.012,242.947202871
184.027,243.129252301
184.042,243.310348981
184.057,243.490469523
184.072,243.669592894
184.087,243.847700274
184.102,244.024774908
184.117,244.20080199
184.132,244.375768534
184.147,244.549663244
184.162,244.722476429
184.177,244.894199862
184.192,245.064826729
184.207,245.234351475
184.222,245.402769773
184.237,245.570078397
184.252,245.736275184
184.267,245.901358933
184.282,246.065329341
184.297,246.228186946
184.312,246.389933072
184.327,246.550569752
184.342,246.710099712
184.357,246.868526279
184.372,247.025853361
184.387,247.182085408
184.402,247.337227338
184.417,247.491284552
184.432,247.64426285
184.447,247.796168432
184.462,247.947007818
184.477,248.096787893
184.492,248.245515808
184.507,248.393198997
184.522,248.539845142
184.537,248.685462127
184.552,248.830058056
184.56,248.906761235
184.567,248.973641212
184.582,249.116220019
184.597,249.257803063
184.612,249.398399048
184.627,249.538016787
184.642,249.67666519
184.657,249.814353249
184.672,249.951090009
184.687,250.086884583
184.702,250.221746124
184.717,250.355683821
184.732,250.488706872
184.747,250.620824484
184.762,250.752045897
184.777,250.882380307
184.792,251.011836921
184.807,251.140424915
184.822,251.268153436
184.837,251.395031616
184.852,251.521068513
184.867,251.64627317
184.882,251.770654552
184.897,251.894221589
184.912,252.016983151
184.927,252.138948017
184.942,252.260124943
184.957,252.380522572
184.972,252.500149493
184.987,252.619014221
185.002,252.737125175
185.017,252.854490704
185.032,252.97111908
185.047,253.087018461
185.062,253.202196959
185.077,253.316662557
185.092,253.430423172
185.107,253.543486628
185.122,253.655860641
185.137,253.76755285
185.152,253.878570797
185.167,253.988921927
185.182,254.098613599
185.197,254.20765306
185.212,254.316047485
185.227,254.423803925
185.242,254.53092938
185.257,254.637430711
185.272,254.743314719
185.287,254.848588079
185.302,254.953257415
185.31,255.008836322
185.317,255.057329218
185.332,255.16080991
185.347,255.263705817
185.362,255.366023174
185.377,255.467768132
185.392,255.568946735
185.407,255.669564958
185.422,255.769628694
185.437,255.869143709
185.452,255.968115736
185.467,256.066550395
185.482,256.164453232
185.497,256.261829705
185.512,256.358685184
185.527,256.455024975
185.542,256.550854297
185.557,256.646178291
185.572,256.741002024
185.587,256.835330488
185.602,256.929168587
185.617,257.022521167
185.632,257.115393002
185.647,257.207788778
185.662,257.299713126
185.677,257.391170605
185.692,257.482165708
185.707,257.572702847
185.722,257.662786385
185.737,257.752420612
185.752,257.841609763
185.767,257.930357992
185.782,258.018669408
185.797,258.106548055
185.812,258.193997918
185.827,258.28102292
185.842,258.367626942
185.857,258.453813762
185.872,258.539587175
185.887,258.624950867
185.902,258.70990848
185.917,258.794463616
185.932,258.878619824
185.947,258.962380583
185.96,259.034656049
185.962,259.045749358
185.977,259.128729533
185.992,259.21132445
186.007,259.293537415
186.022,259.375371682
186.037,259.456830459
186.052,259.537916917
186.06,259.581011861
186.067,259.618634164
186.082,259.698985289
186.097,259.778973316
186.112,259.858601251
186.127,259.937872035
186.142,260.016788587
186.157,260.095353782
186.172,260.173570455
186.187,260.251441405
186.202,260.328969393
186.217,260.406157148
186.232,260.483007348
186.247,260.559522657
186.262,260.635705692
186.277,260.711559024
186.292,260.787085222
186.307,260.862286801
186.322,260.937166254
186.337,261.011726025
186.352,261.08596855
186.367,261.159896218
186.382,261.233511388
186.397,261.306816401
186.412,261.379813557
186.427,261.452505152
186.442,261.524893417
186.457,261.596980589
186.472,261.668768844
186.487,261.740260374
186.502,261.811457306
186.517,261.882361769
186.532,261.952975843
186.547,262.023301601
186.562,262.093341088
186.577,262.163096321
186.592,262.232569308
186.607,262.301761993
186.622,262.370676353
186.637,262.439314299
186.652,262.507677741
186.667,262.575768568
186.682,262.643588636
186.697,262.711139775
186.71,262.769467982
186.712,262.778423825
186.727,262.845442572
186.742,262.912197798
186.757,262.978691268
186.772,263.044924713
186.787,263.110899857
186.802,263.176618409
186.817,263.242082038
186.832,263.307292423
186.847,263.372251191
186.862,263.436959994
186.877,263.501420421
186.892,263.565634087
186.907,263.629602557
186.922,263.69332738
186.937,263.756810121
186.952,263.82005229
186.967,263.883055407
186.982,263.945820957
186.997,264.008350423
187.012,264.070645274
187.027,264.132706941
187.042,264.194536884
187.057,264.256136487
187.072,264.317507183
187.087,264.378650341
187.102,264.439567342
187.117,264.500259552
187.132,264.560728311
187.147,264.620974946
187.162,264.68100078
187.177,264.74080712
187.192,264.800395258
187.207,264.859766473
187.222,264.918922036
187.237,264.97786319
187.252,265.036591181
187.267,265.095107249
187.282,265.153412588
187.297,265.211508413
187.312,265.269395917
187.327,265.327076279
187.342,265.384550669
187.357,265.44182025
187.372,265.498886156
187.387,265.555749533
187.402,265.612411489
187.417,265.668873158
187.432,265.725135626
187.447,265.781199994
187.46,265.829629702
187.462,265.837067334
187.477,265.89273872
187.492,265.948215214
187.507,266.003497875
187.522,266.058587717
187.537,266.113485797
187.552,266.168193113
187.567,266.222710704
187.582,266.277039538
187.597,266.331180639
187.612,266.385134963
187.627,266.438903489
187.642,266.492487196
187.657,266.54588703
187.672,266.599103931
187.687,266.652138849
187.702,266.704992701
187.717,266.757666408
187.732,266.810160898
187.747,266.862477059
187.762,266.914615792
187.777,266.96657799
187.792,267.018364522
187.807,267.069976271
187.822,267.121414088
187.837,267.172678836
187.852,267.22377137
187.867,267.274692513
187.882,267.325443121
187.897,267.376024009
187.912,267.426435991
187.927,267.476679884
187.942,267.526756499
187.957,267.576666622
187.972,267.626411051
187.987,267.675990573
188.002,267.725405953
188.017,267.774657979
188.032,267.823747408
188.047,267.872674996
188.062,267.92144149
188.077,267.97004764
188.092,268.018494186
188.107,268.066781859
188.122,268.114911393
188.137,268.162883502
188.152,268.210698895
188.167,268.258358289
188.182,268.305862385
188.197,268.353211881
188.21,268.394123598
188.212,268.400407474
188.227,268.447449841
188.242,268.494339673
188.257,268.541077639
188.272,268.5876644
188.287,268.634100647
188.302,268.680387007
188.317,268.726524163
188.332,268.772512747
188.347,268.818353409
188.362,268.864046794
188.377,268.909593526
188.392,268.954994247
188.407,269.000249568
188.422,269.045360113
188.437,269.090326517
188.452,269.135149365
188.467,269.179829274
188.482,269.224366852
188.497,269.268762685
188.512,269.313017374
188.527,269.357131506
188.542,269.401105672
188.557,269.444940442
188.572,269.488636398
188.587,269.532194117
188.602,269.575614158
188.617,269.618897095
188.632,269.662043478
188.647,269.70505387
188.66,269.742219974
188.662,269.747928828
188.677,269.79066889
188.692,269.833274608
188.707,269.875746528
188.722,269.918085182
188.737,269.9602911
188.752,270.002364817
188.767,270.044306861
188.782,270.086117762
188.797,270.127798027
188.812,270.169348186
188.827,270.210768735
188.842,270.252060205
188.857,270.293223095
188.872,270.334257907
188.887,270.375165135
188.902,270.415945285
188.917,270.456598848
188.932,270.497126322
188.947,270.537528185
188.96,270.572441906
188.962,270.577804931
188.977,270.617957033
188.992,270.657984981
189.007,270.697889234
189.022,270.737670289
189.037,270.777328602
189.052,270.816864634
189.067,270.85627887
189.082,270.895571757
189.097,270.934743768
189.112,270.973795337
189.127,271.012726942
189.142,271.051539019
189.157,271.090232029
189.172,271.128806402
189.187,271.167262603
189.202,271.205601057
189.217,271.243822219
189.232,271.2819265
189.247,271.319914359
189.262,271.357786213
189.277,271.395542496
189.292,271.433183636
189.307,271.470710066
189.31,271.478201615
189.322,271.50812219
189.337,271.545420436
189.352,271.582605223
189.367,271.619676976
189.382,271.656636084
189.397,271.693482983
189.41,271.725326496
189.412,271.730218072
189.427,271.766841747
189.442,271.803354434
189.457,271.839756519
189.472,271.876048414
189.487,271.912230513
189.502,271.9483032
189.517,271.984266896
189.532,272.020121964
189.547,272.055868812
189.562,272.091507831
189.577,272.127039402
189.592,272.162463904
189.607,272.19778173
189.622,272.23299325
189.637,272.268098854
189.652,272.303098902
189.667,272.337993792
189.682,272.372783881
189.697,272.407469546
189.712,272.44205116
189.727,272.476529084
189.742,272.510903698
189.757,272.54517534
189.772,272.579344398
189.787,272.61341122
189.802,272.647376169
189.817,272.681239607
189.832,272.715001886
189.847,272.748663351
189.862,272.782224372
189.877,272.815685293
189.892,272.84904646
189.907,272.882308213
189.922,272.915470914
189.937,272.948534905
189.952,272.981500521
189.967,273.014368112
189.982,273.047138009
189.997,273.079810555
190.012,273.112386091
190.027,273.144864948
190.042,273.177247455
190.057,273.209533953
190.072,273.241724764
190.087,273.273820227
190.102,273.305820659
190.117,273.337726393
190.132,273.369537752
190.147,273.401255067
190.16,273.428667574
190.162,273.432878652
190.177,273.464408825
190.192,273.495845915
190.207,273.527190233
190.222,273.558442092
190.237,273.589601807
190.252,273.620669707
190.267,273.651646089
190.282,273.682531274
190.297,273.713325565
190.31,273.739940663
190.312,273.744029267
190.327,273.774642693
190.342,273.805166147
190.357,273.835599943
190.372,273.865944366
190.387,273.896199732
190.402,273.926366325
190.417,273.956444471
190.432,273.986434442
190.447,274.016336545
190.462,274.046151075
190.477,274.075878331
190.492,274.105518598
190.507,274.135072169
190.522,274.164539342
190.537,274.193920402
190.552,274.223215629
190.567,274.252425317
190.582,274.281549751
190.597,274.310589221
190.612,274.339544005
190.627,274.368414384
190.642,274.397200635
190.657,274.425903043
190.672,274.454521884
190.687,274.483057444
190.702,274.511509987
190.717,274.539879797
190.732,274.568167141
190.747,274.596372295
190.762,274.624495536
190.777,274.652537126
190.792,274.680497342
190.807,274.708376442
190.822,274.736174701
190.837,274.763892389
190.852,274.791529765
190.867,274.819087089
190.882,274.846564629
190.897,274.873962652
190.912,274.901281413
190.927,274.928521167
190.942,274.955682178
190.957,274.982764707
190.972,275.009769003
190.987,275.03669533
191.002,275.063543938
191.017,275.090315068
191.032,275.117008992
191.047,275.143625962
191.062,275.170166211
191.077,275.196629998
191.092,275.223017581
191.107,275.249329177
191.122,275.275565072
191.137,275.301725487
191.152,275.327810666
191.167,275.353820858
191.182,275.37975631
191.197,275.405617258
191.212,275.431403938
191.227,275.457116594
