# 10410 EDZE Essen Observations at 12Z 24 Apr 2019
Frequency [GHz],TB
175.31,272.447724712
175.322,272.434941341
175.337,272.418781982
175.352,272.402422146
175.367,272.385861508
175.382,272.369099742
175.397,272.352136532
175.412,272.334971564
175.427,272.317604534
175.442,272.30003514
175.457,272.282263089
175.472,272.264288092
175.487,272.246109868
175.502,272.227728139
175.517,272.209142637
175.532,272.190353096
175.547,272.171359259
175.562,272.152160876
175.577,272.1327577
175.592,272.113149493
175.607,272.093336021
175.622,272.073317061
175.637,272.053092391
175.652,272.032661798
175.667,272.012025077
175.682,271.991182026
175.697,271.970132454
175.712,271.948876173
175.727,271.927413002
175.742,271.90574277
175.757,271.883865308
175.772,271.861780459
175.787,271.839488068
175.802,271.81698799
175.817,271.794280086
175.832,271.771364224
175.847,271.748240278
175.862,271.72490813
175.877,271.701367669
175.892,271.677618791
175.907,271.653661397
175.922,271.629495401
175.937,271.605120716
175.952,271.580537269
175.967,271.555744989
175.982,271.530743817
175.997,271.505533698
176.012,271.480114584
176.027,271.454486436
176.042,271.428649221
176.057,271.402602915
176.072,271.376347498
176.087,271.349882961
176.102,271.323209299
176.117,271.296326518
176.132,271.269234628
176.147,271.241933646
176.162,271.214423601
176.177,271.186704524
176.192,271.158776456
176.207,271.130639445
176.222,271.102293546
176.237,271.073738822
176.252,271.044975342
176.267,271.016003184
176.282,270.986822432
176.297,270.957433177
176.31,270.931793911
176.312,270.92783552
176.327,270.898029565
176.342,270.868015428
176.357,270.837793229
176.372,270.807363096
176.387,270.776725164
176.402,270.745879576
176.417,270.714826482
176.432,270.683566038
176.447,270.65209841
176.46,270.624659007
176.462,270.620423767
176.477,270.588542289
176.492,270.556454161
176.507,270.524159574
176.522,270.49165873
176.537,270.458951833
176.552,270.426039098
176.567,270.392920744
176.582,270.359596998
176.597,270.326068095
176.612,270.292334276
176.627,270.258395786
176.642,270.224252881
176.657,270.189905821
176.672,270.155354873
176.687,270.120600312
176.702,270.085642418
176.717,270.050481476
176.732,270.015117781
176.747,269.979551632
176.762,269.943783334
176.777,269.907813199
176.792,269.871641545
176.807,269.835268696
176.822,269.798694983
176.837,269.76192074
176.852,269.724946311
176.867,269.687772041
176.882,269.650398285
176.897,269.612825402
176.912,269.575053755
176.927,269.537083716
176.942,269.498915658
176.957,269.460549962
176.972,269.421987015
176.987,269.383227207
177.002,269.344270934
