# 01004 ENAS Ny-Alesund Ii Observations at 12Z 08 May 2019
Frequency [GHz],TB
175.31,230.586922794
175.322,230.657777253
175.337,230.74646725
175.352,230.835292047
175.367,230.924250906
175.382,231.013343078
175.397,231.102567808
175.412,231.191924314
175.427,231.281411809
175.442,231.371029487
175.457,231.46077653
175.472,231.550652105
175.487,231.640655362
175.502,231.730785441
175.517,231.821041462
175.532,231.911422532
175.547,232.001927745
175.562,232.092556173
175.577,232.18330688
175.592,232.274178908
175.607,232.365171289
175.622,232.456283036
175.637,232.547513145
175.652,232.638860591
175.667,232.730324348
175.682,232.821903354
175.697,232.913596542
175.712,233.005402832
175.727,233.097321112
175.742,233.189350263
175.757,233.281489149
175.772,233.373736615
175.787,233.466091482
175.802,233.558552564
175.817,233.651118648
175.832,233.743788508
175.847,233.836560895
175.862,233.929434548
175.877,234.022408179
175.892,234.11548049
175.907,234.208650161
175.922,234.301915845
175.937,234.395276188
175.952,234.488729806
175.967,234.582275304
175.982,234.67591126
175.997,234.769636239
176.012,234.863448778
176.027,234.957347399
176.042,235.051330602
176.057,235.145396869
176.072,235.239544651
176.087,235.333772396
176.102,235.428078515
176.117,235.522461401
176.132,235.616919432
176.147,235.711450959
176.162,235.80605431
176.177,235.900727793
176.192,235.9954697
176.207,236.090278287
176.222,236.185151801
176.237,236.280088455
176.252,236.37508645
176.267,236.470143958
176.282,236.565259127
176.297,236.660430082
176.31,236.742955239
176.312,236.75565493
176.327,236.850931746
176.342,236.946258588
176.357,237.041633488
176.372,237.13705445
176.387,237.232519461
176.402,237.328026474
176.417,237.42357343
176.432,237.519158232
176.447,237.614778769
176.46,237.69767715
176.462,237.710432898
176.477,237.806118451
176.492,237.901833241
176.507,237.997575047
176.522,238.093341626
176.537,238.189130715
176.552,238.28494001
176.567,238.380767197
176.582,238.476609928
176.597,238.572465828
176.612,238.668332497
176.627,238.764207508
176.642,238.860088408
176.657,238.955972713
176.672,239.051857919
176.687,239.147741486
176.702,239.243620856
176.717,239.339493432
176.732,239.4353566
176.747,239.531207713
176.762,239.627044095
176.777,239.722863047
176.792,239.818661834
176.807,239.9144377
176.822,240.010187854
176.837,240.105909486
176.852,240.201599744
176.867,240.297255759
176.882,240.392874627
176.897,240.488453413
176.912,240.58398916
176.927,240.679478876
176.942,240.774919543
176.957,240.870308107
176.972,240.965641494
176.987,241.060916593
177.002,241.15613027
177.017,241.251279351
177.032,241.346360641
177.047,241.441370911
177.062,241.536306904
177.077,241.631165334
177.092,241.725942878
177.107,241.82063619
177.122,241.915241892
177.137,242.009756575
177.152,242.104176796
177.167,242.198499088
177.182,242.292719952
177.197,242.386835853
177.21,242.468315312
177.212,242.480843232
177.227,242.574738497
177.242,242.668518025
177.257,242.76217816
177.272,242.855715228
177.287,242.949125501
177.302,243.042405243
177.31,243.092099761
177.317,243.135550676
177.332,243.228557996
177.347,243.321423365
177.362,243.414142914
177.377,243.506712747
177.392,243.599128939
177.407,243.691387528
177.422,243.783484529
177.437,243.875415921
177.452,243.967177654
177.467,244.058765653
177.482,244.150175803
177.497,244.241403971
177.512,244.332445988
177.527,244.423297649
177.542,244.513954734
177.557,244.604412982
177.572,244.694668106
177.587,244.78471579
177.602,244.874551695
177.617,244.964171437
177.632,245.053570619
177.647,245.142744812
177.66,245.219843672
177.662,245.231689553
177.677,245.320400356
177.692,245.408872708
177.707,245.497102061
177.722,245.585083847
177.737,245.67281347
177.752,245.760286301
177.767,245.847497691
177.782,245.934442959
177.797,246.021117403
177.812,246.107516296
177.827,246.193634876
177.842,246.279468361
177.857,246.365011955
177.872,246.450260814
177.887,246.535210089
177.902,246.619854898
177.917,246.704190344
177.932,246.788211493
177.947,246.8719134
177.96,246.944192979
177.962,246.955291093
177.977,247.03833958
177.992,247.121053841
178.007,247.203428844
178.022,247.285459527
178.037,247.36714082
178.052,247.448467617
178.067,247.529434809
178.082,247.610037254
178.097,247.690269805
178.112,247.770127285
178.127,247.849604506
178.142,247.928696267
178.157,248.007397342
178.172,248.085702494
178.187,248.163606475
178.202,248.241104016
178.217,248.318189838
178.232,248.394858648
178.247,248.471105144
178.262,248.546924004
178.277,248.622309901
178.292,248.697257499
178.307,248.77176145
178.322,248.845816396
178.337,248.919416972
178.352,248.992557807
178.367,249.065233522
178.382,249.137438732
178.397,249.209168048
178.41,249.270944339
178.412,249.280416074
178.427,249.351177417
178.442,249.421446676
178.457,249.491218446
178.472,249.560487329
178.487,249.629247922
178.502,249.697494823
178.517,249.765222635
178.532,249.832425962
178.547,249.899099409
178.562,249.965237592
178.577,250.030835126
178.592,250.095886641
