# 10410 EDZE Essen Observations at 12Z 12 May 2019
Frequency [GHz],TB
175.31,263.09336985
175.322,263.134796965
175.337,263.186470928
175.352,263.238021257
175.367,263.289446352
175.382,263.340744604
175.397,263.391914396
175.412,263.442954107
175.427,263.493862105
175.442,263.544636754
175.457,263.59527641
175.472,263.64577942
175.487,263.696144127
175.502,263.746368865
175.517,263.796451963
175.532,263.846391742
175.547,263.896186516
175.562,263.945834594
175.577,263.995334277
175.592,264.044683859
175.607,264.093881629
175.622,264.14292587
175.637,264.191814857
175.652,264.24054686
175.667,264.289120142
175.682,264.337532962
175.697,264.385783571
175.712,264.433870214
175.727,264.481791132
175.742,264.529544559
175.757,264.577128724
175.772,264.62454185
175.787,264.671782156
175.802,264.718847853
175.817,264.76573715
175.832,264.812448249
175.847,264.858979346
175.862,264.905328636
175.877,264.951494306
175.892,264.997474539
175.907,265.043267513
175.922,265.088871404
175.937,265.13428438
175.952,265.179504608
175.967,265.224530251
175.982,265.269359465
175.997,265.313990404
176.012,265.358421221
176.027,265.40265006
176.042,265.446675067
176.057,265.490494382
176.072,265.534106141
176.087,265.57750848
176.102,265.62069953
176.117,265.66367742
176.132,265.706440276
176.147,265.748986223
176.162,265.791313383
176.177,265.833419876
176.192,265.875303819
176.207,265.91696333
176.222,265.958396523
176.237,265.999601512
176.252,266.04057641
176.267,266.081319328
176.282,266.121828376
176.297,266.162101665
176.31,266.196813017
176.312,266.202137304
176.327,266.241933402
176.342,266.28148807
176.357,266.320799416
176.372,266.35986555
176.387,266.398684583
176.402,266.437254625
176.417,266.475573788
176.432,266.513640186
176.447,266.551451933
176.46,266.584014672
176.462,266.589007144
176.477,266.626303938
176.492,266.663340435
176.507,266.700114757
176.522,266.736625027
176.537,266.772869373
176.552,266.808845926
176.567,266.844552818
176.582,266.879988185
176.597,266.915150169
176.612,266.950036912
176.627,266.984646563
176.642,267.018977274
176.657,267.053027202
176.672,267.08679451
176.687,267.120277363
176.702,267.153473934
176.717,267.186382401
176.732,267.219000948
176.747,267.251327763
176.762,267.283361044
176.777,267.315098993
176.792,267.34653982
176.807,267.377681742
176.822,267.408522983
176.837,267.439061775
176.852,267.469296358
176.867,267.499224982
176.882,267.528845903
176.897,267.558157386
176.912,267.587157708
176.927,267.615845153
176.942,267.644218015
176.957,267.672274598
176.972,267.700013217
176.987,267.727432199
177.002,267.754529878
177.017,267.781304603
177.032,267.807754733
177.047,267.833878638
177.062,267.859674703
177.077,267.885141322
177.092,267.910276905
177.107,267.935079872
177.122,267.959548659
177.137,267.983681714
177.152,268.0074775
177.167,268.030934495
177.182,268.054051189
177.197,268.07682609
177.21,268.096286723
177.212,268.09925772
177.227,268.121344617
177.242,268.143085334
177.257,268.16447844
177.272,268.185522524
177.287,268.206216188
177.302,268.226558052
177.31,268.237262729
177.317,268.246546756
177.332,268.266180956
177.347,268.285459325
177.362,268.304380556
177.377,268.322943363
