# 78954 TBPB Grantley Adams Observations at 12Z 16 May 2019
Frequency [GHz],TB
175.31,280.775618886
175.322,280.759787336
175.337,280.739950151
175.352,280.720059769
175.367,280.700116036
175.382,280.680118797
175.397,280.660067896
175.412,280.639963174
175.427,280.619804471
175.442,280.599591627
175.457,280.579324477
175.472,280.559002859
175.487,280.538626607
175.502,280.518195554
175.517,280.49770953
175.532,280.477168367
175.547,280.456571892
175.562,280.435919933
175.577,280.415212314
175.592,280.39444886
175.607,280.373629392
175.622,280.352753731
175.637,280.331821696
175.652,280.310833104
175.667,280.289787772
175.682,280.268685513
175.697,280.24752614
175.712,280.226309464
175.727,280.205035294
175.742,280.183703437
175.757,280.162313701
175.772,280.140865888
175.787,280.119359801
175.802,280.097795242
175.817,280.076172009
175.832,280.054489899
175.847,280.032748709
175.862,280.010948233
175.877,279.989088261
175.892,279.967168586
175.907,279.945188995
175.922,279.923149276
175.937,279.901049213
175.952,279.87888859
175.967,279.856667188
175.982,279.834384787
175.997,279.812041165
176.012,279.789636097
176.027,279.767169359
176.042,279.744640721
176.057,279.722049955
176.072,279.699396829
176.087,279.67668111
176.102,279.653902563
176.117,279.63106095
176.132,279.608156032
176.147,279.58518757
176.162,279.562155318
176.177,279.539059034
176.192,279.51589847
176.207,279.492673378
176.222,279.469383506
176.237,279.446028603
176.252,279.422608413
176.267,279.399122681
176.282,279.375571147
176.297,279.351953552
176.31,279.33143133
176.312,279.328269632
176.327,279.304519123
176.342,279.28070176
176.357,279.256817272
176.372,279.232865389
176.387,279.20884584
176.402,279.184758348
176.417,279.160602639
176.432,279.136378431
176.447,279.112085446
176.46,279.090975673
176.462,279.0877234
176.477,279.063292007
176.492,279.038790982
176.507,279.014220034
176.522,278.989578873
176.537,278.964867206
176.552,278.940084736
176.567,278.915231166
176.582,278.890306197
176.597,278.865309527
176.612,278.840240852
176.627,278.815099866
176.642,278.789886261
176.657,278.764599726
176.672,278.73923995
176.687,278.713806617
176.702,278.688299411
176.717,278.662718013
176.732,278.637062102
176.747,278.611331355
176.762,278.585525447
176.777,278.559644049
176.792,278.533686833
176.807,278.507653467
176.822,278.481543616
176.837,278.455356945
176.852,278.429093114
176.867,278.402751784
176.882,278.376332612
176.897,278.349835253
176.912,278.32325936
176.927,278.296604583
176.942,278.269870572
176.957,278.243056972
176.972,278.216163428
176.987,278.189189581
177.002,278.162135072
177.017,278.134999539
177.032,278.107782616
177.047,278.080483937
177.062,278.053103133
177.077,278.025639833
177.092,277.998093663
177.107,277.970464248
177.122,277.942751212
177.137,277.914954172
177.152,277.887072749
177.167,277.859106556
177.182,277.831055209
177.197,277.802918319
177.21,277.778463517
177.212,277.774695494
177.227,277.746386343
177.242,277.717990469
177.257,277.689507477
177.272,277.660936966
177.287,277.632278535
177.302,277.603531781
177.31,277.588163924
177.317,277.574696298
177.332,277.545771677
177.347,277.51675751
177.362,277.487653383
177.377,277.458458883
177.392,277.429173593
177.407,277.399797095
177.422,277.370328968
177.437,277.34076879
177.452,277.311116135
177.467,277.281370577
177.482,277.251531688
177.497,277.221599036
177.512,277.191572187
177.527,277.161450708
177.542,277.131234161
177.557,277.100922107
177.572,277.070514104
177.587,277.040009709
177.602,277.009408478
177.617,276.978709963
177.632,276.947913715
177.647,276.917019283
177.66,276.890164338
177.662,276.886026213
177.677,276.854934051
177.692,276.823742339
177.707,276.792450619
177.722,276.76105843
177.737,276.729565308
177.752,276.697970789
177.767,276.666274407
177.782,276.634475693
177.797,276.602574176
177.812,276.570569384
177.827,276.538460844
177.842,276.506248079
177.857,276.473930611
177.872,276.441507962
177.887,276.408979649
177.902,276.376345189
177.917,276.343604097
177.932,276.310755888
177.947,276.277800071
177.96,276.249150942
177.962,276.244736157
177.977,276.211563654
177.992,276.178282069
178.007,276.144890905
178.022,276.111389666
178.037,276.077777853
178.052,276.044054966
178.067,276.010220502
178.082,275.976273958
178.097,275.942214828
178.112,275.908042605
178.127,275.873756781
178.142,275.839356846
178.157,275.804842286
178.172,275.77021259
178.187,275.735467242
178.202,275.700605726
178.217,275.665627523
178.232,275.630532114
178.247,275.595318977
178.262,275.55998759
178.277,275.524537429
178.292,275.488967967
178.307,275.453278678
178.322,275.417469032
178.337,275.3815385
178.352,275.345486549
178.367,275.309312647
178.382,275.273016258
178.397,275.236596847
178.41,275.20493343
178.412,275.200053875
178.427,275.163386804
178.442,275.126595092
178.457,275.089678198
178.472,275.052635577
178.487,275.015466686
178.502,274.978170976
178.517,274.9407479
178.532,274.903196909
178.547,274.865517451
178.562,274.827708972
178.577,274.789770921
178.592,274.751702739
178.607,274.713503871
178.622,274.675173756
178.637,274.636711835
178.652,274.598117546
178.667,274.559390324
178.682,274.520529604
178.697,274.48153482
178.712,274.442405402
178.727,274.403140779
178.742,274.36374038
178.757,274.32420363
178.772,274.284529953
178.787,274.244718771
178.802,274.204769505
178.817,274.164681573
178.832,274.12445439
178.847,274.084087371
178.862,274.043579929
178.877,274.002931472
178.892,273.962141409
178.907,273.921209145
178.922,273.880134082
178.937,273.838915622
178.952,273.797553162
178.967,273.756046098
178.982,273.714393823
178.997,273.672595727
179.012,273.630651196
179.027,273.588559615
179.042,273.546320366
179.057,273.503932826
179.072,273.461396371
179.087,273.418710372
179.102,273.375874198
179.117,273.332887212
179.132,273.289748775
179.147,273.246458245
179.16,273.20881626
179.162,273.203014975
179.177,273.159418314
179.192,273.115667606
179.207,273.071762191
179.222,273.027701406
179.237,272.98348458
179.252,272.939111041
179.267,272.89458011
179.282,272.849891101
179.297,272.805043325
179.312,272.760036087
179.327,272.714868686
179.342,272.669540413
179.357,272.624050556
179.372,272.578398394
179.387,272.5325832
179.402,272.48660424
179.417,272.440460774
179.432,272.394152051
179.447,272.347677316
179.462,272.301035804
179.477,272.254226742
179.492,272.207249348
179.507,272.160102832
179.522,272.112786394
179.537,272.065299225
179.552,272.017640505
179.567,271.969809404
179.582,271.921805083
179.597,271.87362669
179.612,271.825273363
179.627,271.776744227
179.642,271.728038397
179.657,271.679154972
179.672,271.630093042
179.687,271.580851681
179.702,271.531429951
179.717,271.481826897
179.732,271.432041552
179.747,271.382072932
179.762,271.33192004
179.777,271.281581859
179.792,271.231057359
179.807,271.180345489
179.822,271.129445185
179.837,271.07835536
179.852,271.027074911
179.867,270.975602714
179.882,270.923937628
179.897,270.872078487
179.91,270.826976014
179.912,270.820024107
179.927,270.767773281
179.942,270.715324779
179.957,270.66267735
179.972,270.609829718
179.987,270.55678058
180.002,270.503528612
180.017,270.450072461
180.032,270.39641075
180.047,270.342542072
180.062,270.288464994
180.077,270.234178053
180.092,270.179679757
180.107,270.124968582
180.122,270.070042974
180.137,270.014901348
180.152,269.959542085
180.167,269.90396353
180.182,269.848163997
180.197,269.792141763
180.212,269.735895067
180.227,269.679422112
180.242,269.622721064
180.257,269.565790048
180.272,269.508627148
180.287,269.451230409
180.302,269.393597832
180.317,269.335727375
180.332,269.277616953
180.347,269.219264434
180.362,269.160667641
180.377,269.101824349
180.392,269.042732284
180.407,268.983389122
180.422,268.92379249
180.437,268.863939962
180.452,268.803829058
180.467,268.743457245
180.482,268.682821934
180.497,268.62192048
180.512,268.560750178
180.527,268.499308266
180.542,268.437591921
180.557,268.375598259
180.56,268.36316599
180.572,268.31332433
180.587,268.250767123
180.602,268.18792356
180.617,268.124790496
180.632,268.061364717
180.647,267.997642941
180.66,267.942175381
180.662,267.933621813
180.677,267.869297905
180.692,267.804667718
180.707,267.739727674
180.722,267.674474119
180.737,267.608903321
180.752,267.543011467
180.767,267.476794664
180.782,267.410248934
180.797,267.343370215
180.812,267.276154357
180.827,267.208597124
180.842,267.140694189
180.857,267.072441134
180.872,267.003833446
180.887,266.934866519
180.902,266.865535648
180.917,266.795836032
180.932,266.725762768
180.947,266.655310848
180.962,266.584475164
180.977,266.513250499
180.992,266.441631527
181.007,266.369612813
181.022,266.297188808
181.037,266.22435385
181.052,266.151102158
181.067,266.077427834
181.082,266.003324856
181.097,265.928787079
181.112,265.853808232
181.127,265.778381916
181.142,265.702501598
181.157,265.626160615
181.172,265.549352163
181.187,265.472069303
181.202,265.394304949
181.217,265.316051874
181.232,265.2373027
181.247,265.1580499
181.262,265.078285791
181.277,264.998002533
181.292,264.917192125
181.307,264.835846401
181.31,264.819512288
181.322,264.753957026
181.337,264.671515495
181.352,264.588513125
181.367,264.504941055
181.382,264.420790239
181.397,264.336051442
181.412,264.250715238
181.427,264.164772003
181.442,264.078211909
181.457,263.991024924
181.472,263.9032008
181.487,263.814729076
181.502,263.725599063
181.517,263.635799845
181.532,263.545320273
181.547,263.454148952
181.562,263.362274243
181.577,263.269684252
181.592,263.17636682
181.607,263.082309524
181.622,262.987499659
181.637,262.89192424
181.652,262.795569986
181.667,262.698423316
181.682,262.600470336
181.697,262.501696834
181.712,262.402088267
181.727,262.301629754
181.742,262.200306058
181.757,262.098101586
181.772,261.995000367
181.787,261.890986044
181.802,261.786041865
181.817,261.680150661
181.832,261.573294841
181.847,261.465456372
181.862,261.356616765
181.877,261.246757058
181.892,261.135857805
181.907,261.023899048
181.922,260.910860309
181.937,260.796720565
181.952,260.68145823
181.967,260.56505113
181.982,260.447476486
181.997,260.328710887
182.012,260.208730265
182.027,260.087509871
182.042,259.965024245
182.057,259.841247185
182.06,259.816334442
182.072,259.716151722
182.087,259.58971008
182.102,259.461893643
182.117,259.33267292
182.132,259.202017501
182.147,259.069896016
182.162,258.936276088
182.177,258.801124283
182.192,258.664406059
182.207,258.526085704
182.222,258.386126277
182.237,258.244489538
182.252,258.101135875
182.267,257.956024223
182.282,257.809111973
182.297,257.66035488
182.312,257.509706951
182.327,257.35712033
182.342,257.202545169
182.357,257.045929479
182.372,256.887218973
182.387,256.726356886
182.402,256.563283777
182.417,256.397937302
182.432,256.230251967
182.447,256.060158842
182.462,255.88758525
182.477,255.712454401
182.492,255.534684995
182.507,255.354190758
182.522,255.170879924
182.537,254.984654647
182.552,254.795410322
182.567,254.603034824
182.582,254.407407631
182.597,254.208398823
182.612,254.005867936
182.627,253.799662648
182.642,253.589617269
182.657,253.375551009
182.672,253.157265977
182.687,252.934544875
182.702,252.707148343
182.717,252.474811878
182.732,252.237242273
182.747,251.994113486
182.762,251.745061845
182.777,251.489680475
182.792,251.227512803
182.807,250.958045001
182.822,250.680697151
182.837,250.394812942
182.852,250.099647609
182.867,249.794353827
182.882,249.477965192
182.897,249.149376885
182.912,248.807323038
182.927,248.450350255
182.942,248.076786728
182.957,247.684706277
182.972,247.271886726
182.987,246.835762039
183.002,246.373367889
183.017,245.881280779
183.032,245.35555166
183.047,244.791636547
183.062,244.18432926
183.077,243.527705916
183.092,242.815098375
183.107,242.039126378
183.122,241.191838834
183.137,240.265048445
183.152,239.2509981
183.167,238.143582622
183.182,236.940477528
183.197,235.646703394
183.212,234.280351485
183.227,232.881256944
183.242,231.522746383
183.257,230.323225117
183.367,230.586965488
183.382,231.833644515
183.397,233.204701342
183.412,234.594135133
183.427,235.938446779
183.442,237.204346052
183.457,238.377732084
183.472,239.455852855
183.487,240.442218524
183.502,241.343469332
183.517,242.167522269
183.532,242.922518654
183.547,243.616259081
183.562,244.25592792
183.577,244.847985451
183.592,245.398153745
183.607,245.911452185
183.622,246.392256688
183.637,246.844367761
183.652,247.271079111
183.667,247.675242495
183.682,248.059326773
183.697,248.425470465
183.712,248.775527837
183.727,249.111108904
183.742,249.433613948
183.757,249.744263147
183.772,250.04412196
183.787,250.33412283
183.802,250.615083726
183.817,250.887723978
183.832,251.152677812
183.847,251.410505917
183.862,251.66170534
183.877,251.906717964
183.892,252.145937773
183.907,252.379717088
183.922,252.608371929
183.937,252.832186626
183.952,253.051417796
183.967,253.266297768
183.982,253.477037554
183.997,253.683829403
184.012,253.886849033
184.027,254.086257549
184.042,254.282203122
184.057,254.474822443
184.072,254.664241995
184.087,254.850579156
184.102,255.03394317
184.117,255.214435987
184.132,255.392153012
184.147,255.567183749
184.162,255.739612376
184.177,255.909518246
184.192,256.076976332
184.207,256.24205762
184.222,256.404829452
184.237,256.565355836
184.252,256.72369772
184.267,256.879913232
184.282,257.034057895
184.297,257.186184828
184.312,257.336344911
184.327,257.484586945
184.342,257.630957791
184.357,257.775502497
184.372,257.91826441
184.387,258.059285282
184.402,258.198605363
184.417,258.336263486
184.432,258.472297146
184.447,258.606742572
184.462,258.739634794
184.477,258.871007701
184.492,259.000894098
184.507,259.12932576
184.522,259.256333478
184.537,259.381947102
184.552,259.506195588
184.56,259.571912993
184.567,259.629107033
184.582,259.750708712
184.597,259.871027113
184.612,259.990087969
184.627,260.107916289
184.642,260.224536384
184.657,260.339971898
184.672,260.454245831
184.687,260.567380563
184.702,260.679397879
184.717,260.790318989
184.732,260.900164549
184.747,261.008954682
184.762,261.116708994
184.777,261.223446598
184.792,261.329186122
184.807,261.433945735
184.822,261.537743155
184.837,261.640595668
184.852,261.742520142
184.867,261.843533038
184.882,261.943650427
184.897,262.042888
184.912,262.14126108
184.927,262.238784635
184.942,262.335473286
184.957,262.431341322
184.972,262.526402707
184.987,262.62067109
185.002,262.714159815
185.017,262.806881931
185.032,262.898850197
185.047,262.990077094
185.062,263.080574832
185.077,263.170355357
185.092,263.259430358
185.107,263.347811274
185.122,263.435509303
185.137,263.522535404
185.152,263.60890031
185.167,263.694614526
185.182,263.779688342
185.197,263.864131833
185.212,263.947954869
185.227,264.031167116
185.242,264.113778043
185.257,264.195796929
185.272,264.277232863
185.287,264.358094751
185.302,264.438391322
185.31,264.480987967
185.317,264.518131128
185.332,264.597322551
185.347,264.675973807
185.362,264.754092948
185.377,264.831687867
185.392,264.908766301
185.407,264.985335834
185.422,265.061403901
185.437,265.136977791
185.452,265.21206465
185.467,265.286671483
185.482,265.36080516
185.497,265.434472414
185.512,265.507679848
185.527,265.580433937
185.542,265.652741027
185.557,265.724607343
185.572,265.796038986
185.587,265.86704194
185.602,265.937622072
185.617,266.007785134
185.632,266.077536765
185.647,266.146882495
185.662,266.215827748
185.677,266.284377837
185.692,266.352537977
185.707,266.420313276
185.722,266.487708746
185.737,266.554729297
185.752,266.621379747
185.767,266.687664815
185.782,266.753589132
185.797,266.819157233
185.812,266.884373568
185.827,266.949242497
185.842,267.013768294
185.857,267.07795515
185.872,267.141807172
185.887,267.205328386
185.902,267.268522738
185.917,267.331394096
185.932,267.393946251
185.947,267.45618292
185.96,267.50986899
185.962,267.518107744
185.977,267.579724293
185.992,267.641036064
186.007,267.702046486
186.022,267.762758919
186.037,267.823176656
186.052,267.883302923
186.06,267.915252182
186.067,267.943140884
186.082,268.002693636
186.097,268.061964217
186.112,268.120955602
186.127,268.179670709
186.142,268.238112394
186.157,268.296283458
186.172,268.354186646
186.187,268.411824645
186.202,268.469200092
186.217,268.526315569
186.232,268.583173606
186.247,268.639776683
186.262,268.69612723
186.277,268.752227628
186.292,268.808080211
186.307,268.863687267
186.322,268.919051037
186.337,268.974173717
186.352,269.029057461
186.367,269.083704379
186.382,269.138116539
186.397,269.19229597
186.412,269.246244658
186.427,269.299964552
186.442,269.353457562
186.457,269.40672556
186.472,269.459770383
186.487,269.512593831
186.502,269.565197669
186.517,269.617583628
186.532,269.669753406
186.547,269.721708669
186.562,269.773451049
186.577,269.824982149
186.592,269.876303541
186.607,269.927416767
186.622,269.978323341
186.637,270.029024747
186.652,270.079522444
186.667,270.129817862
186.682,270.179912405
186.697,270.229807453
186.71,270.272889506
186.712,270.27950436
186.727,270.329004456
186.742,270.378309046
186.757,270.427419413
186.772,270.476336819
186.787,270.5250625
186.802,270.573597676
186.817,270.62194354
186.832,270.670101271
186.847,270.718072023
186.862,270.765856934
186.877,270.813457122
186.892,270.860873687
186.907,270.908107711
186.922,270.955160259
186.937,271.002032379
186.952,271.048725103
186.967,271.095239446
186.982,271.141576409
186.997,271.187736977
187.012,271.233722121
187.027,271.279532796
187.042,271.325169946
