# 48698 WSSS Singapore Observations at 12Z 29 May 2019
Frequency [GHz],TB
175.31,275.435595232
175.322,275.415914823
175.337,275.391259433
175.352,275.366542869
175.367,275.341764916
175.382,275.31692536
175.397,275.292023984
175.412,275.267060571
175.427,275.242034902
175.442,275.216946759
175.457,275.191795919
175.472,275.166582161
175.487,275.141305262
175.502,275.115964996
175.517,275.09056114
175.532,275.065093464
175.547,275.039561742
175.562,275.013965745
175.577,274.98830524
175.592,274.962579997
175.607,274.936789782
175.622,274.910934361
175.637,274.885013498
175.652,274.859026957
175.667,274.832974498
175.682,274.806855882
175.697,274.780670869
175.712,274.754419215
175.727,274.728100677
175.742,274.701715011
175.757,274.67526197
175.772,274.648741305
175.787,274.622152769
175.802,274.59549611
175.817,274.568771076
175.832,274.541977415
175.847,274.51511487
175.862,274.488183187
175.877,274.461182108
175.892,274.434111372
175.907,274.40697072
175.922,274.37975989
175.937,274.352478618
175.952,274.325126638
175.967,274.297703685
175.982,274.270209489
175.997,274.242643782
176.012,274.215006292
176.027,274.187296747
176.042,274.15951487
176.057,274.131660388
176.072,274.103733022
176.087,274.075732492
176.102,274.047658519
176.117,274.019510819
176.132,273.991289108
176.147,273.9629931
176.162,273.934622508
176.177,273.906177043
176.192,273.877656413
176.207,273.849060325
176.222,273.820388486
176.237,273.791640598
176.252,273.762816365
176.267,273.733915485
176.282,273.704937658
176.297,273.675882579
176.31,273.650638788
176.312,273.646749944
176.327,273.617539445
176.342,273.588250774
176.357,273.558883619
176.372,273.529437667
176.387,273.499912604
176.402,273.470308112
176.417,273.440623874
176.432,273.410859568
176.447,273.381014871
176.46,273.35508419
176.462,273.35108946
176.477,273.321083007
176.492,273.290995183
176.507,273.260825657
176.522,273.230574097
176.537,273.200240168
176.552,273.169823531
176.567,273.139323848
176.582,273.108740777
176.597,273.078073975
176.612,273.047323094
176.627,273.016487788
176.642,272.985567705
176.657,272.954562493
176.672,272.923471797
176.687,272.892295259
176.702,272.861032519
176.717,272.829683215
176.732,272.798246983
176.747,272.766723456
176.762,272.735112264
176.777,272.703413035
176.792,272.671625394
176.807,272.639748966
176.822,272.60778337
176.837,272.575728224
176.852,272.543583144
176.867,272.511347742
176.882,272.479021628
176.897,272.446604409
176.912,272.414095691
176.927,272.381495074
176.942,272.348802159
176.957,272.31601654
176.972,272.283137812
176.987,272.250165566
177.002,272.217099388
177.017,272.183938864
177.032,272.150683575
177.047,272.1173331
177.062,272.083887015
177.077,272.050344892
177.092,272.016706302
177.107,271.98297081
177.122,271.949137979
177.137,271.915207371
177.152,271.881178541
177.167,271.847051043
177.182,271.812824427
177.197,271.778498241
177.21,271.748667986
177.212,271.744072028
177.227,271.709545327
177.242,271.674917676
177.257,271.640188608
177.272,271.605357651
177.287,271.570424333
177.302,271.535388175
177.31,271.516660008
177.317,271.500248696
177.332,271.46500541
177.347,271.42965783
177.362,271.394205462
177.377,271.35864781
177.392,271.322984374
177.407,271.287214648
177.422,271.251338126
