# 01004 ENAS Ny-Alesund Ii Observations at 12Z 10 Jun 2019
Frequency [GHz],TB
175.31,261.226458469
175.322,261.253193349
175.337,261.286452077
175.352,261.319531885
175.367,261.35243139
175.382,261.385149212
175.397,261.417683973
175.412,261.450034282
175.427,261.482198757
175.442,261.514176005
175.457,261.545964646
175.472,261.577563286
175.487,261.608970534
175.502,261.640184997
175.517,261.671205282
175.532,261.70203
175.547,261.732657746
175.562,261.763087139
175.577,261.793316767
175.592,261.823345251
175.607,261.853171179
175.622,261.882793168
175.637,261.912209813
175.652,261.941419718
175.667,261.970421488
175.682,261.999213725
175.697,262.027795036
175.712,262.056164024
175.727,262.084319298
175.742,262.112259461
175.757,262.139983119
175.772,262.167488882
175.787,262.194775359
175.802,262.221841158
175.817,262.248684895
175.832,262.27530518
175.847,262.301700632
175.862,262.327869865
175.877,262.353811501
175.892,262.379524158
175.907,262.405006459
175.922,262.430257032
175.937,262.455274505
175.952,262.480057504
175.967,262.504604672
175.982,262.528914636
175.997,262.552986042
176.012,262.576817531
176.027,262.600407747
176.042,262.623755347
176.057,262.646858976
176.072,262.669717295
176.087,262.692328967
176.102,262.714692656
176.117,262.736807031
176.132,262.758670771
176.147,262.780282549
176.162,262.801641052
176.177,262.822744967
176.192,262.843592989
176.207,262.864183823
176.222,262.884516166
176.237,262.90458873
176.252,262.924400234
176.267,262.9439494
176.282,262.963234951
176.297,262.982255628
176.31,262.998524983
176.312,263.001010166
176.327,263.019497317
176.342,263.037715838
176.357,263.055664483
176.372,263.073342027
176.387,263.090747244
176.402,263.107878917
176.417,263.124735836
176.432,263.141316805
176.447,263.157620625
176.46,263.171525507
176.462,263.173646116
176.477,263.189392097
176.492,263.204857409
176.507,263.220040886
176.522,263.234941377
176.537,263.249557745
176.552,263.263888859
176.567,263.277933596
176.582,263.29169084
176.597,263.305159494
176.612,263.318338463
176.627,263.331226664
176.642,263.343823027
176.657,263.356126489
176.672,263.368136
176.687,263.379850522
176.702,263.391269023
176.717,263.402390492
176.732,263.413213913
176.747,263.423738301
176.762,263.433962671
176.777,263.443886053
176.792,263.453507484
176.807,263.462826024
176.822,263.471840741
176.837,263.480550708
176.852,263.488955025
176.867,263.497052793
176.882,263.504843129
176.897,263.512325168
176.912,263.519498054
176.927,263.526360946
176.942,263.532913016
176.957,263.53915346
176.972,263.545081469
176.987,263.550696262
177.002,263.555997069
177.017,263.56098314
177.032,263.565653729
177.047,263.570008116
177.062,263.574045586
177.077,263.57776545
177.092,263.581167024
177.107,263.584249649
177.122,263.587012674
177.137,263.58945547
177.152,263.591577418
177.167,263.593377924
177.182,263.5948564
177.197,263.596012281
177.21,263.596752676
177.212,263.596845018
177.227,263.597354077
177.242,263.597538939
177.257,263.597399108
177.272,263.596934098
177.287,263.596143452
177.302,263.595026711
177.31,263.594297633
177.317,263.593583453
177.332,263.591813258
177.347,263.589715736
177.362,263.587290505
177.377,263.58453721
177.392,263.581455501
177.407,263.578045064
177.422,263.574305583
177.437,263.570236779
177.452,263.565838376
177.467,263.561110123
177.482,263.55605179
177.497,263.550663156
177.512,263.544944033
177.527,263.538894234
177.542,263.532513606
177.557,263.525802007
177.572,263.518759312
177.587,263.511385421
177.602,263.50368024
177.617,263.495643713
177.632,263.487275789
177.647,263.478576437
177.66,263.470768898
177.662,263.469545645
177.677,263.460183424
177.692,263.450489797
177.707,263.440464815
177.722,263.430108536
177.737,263.419421047
177.752,263.408402446
177.767,263.397052852
177.782,263.385372402
177.797,263.373361261
177.812,263.361019591
177.827,263.34834759
177.842,263.335345473
177.857,263.32201346
177.872,263.308351804
177.887,263.294360771
177.902,263.280040637
177.917,263.265391711
177.932,263.2504143
177.947,263.235108752
177.96,263.221578779
177.962,263.219475405
177.977,263.203514643
177.992,263.187226841
178.007,263.17061241
178.022,263.153671766
178.037,263.136405349
178.052,263.118813609
178.067,263.100897016
178.082,263.082656056
178.097,263.064091228
178.112,263.045203051
178.127,263.025992054
178.142,263.006458789
178.157,262.986603812
178.172,262.966427703
178.187,262.945931053
178.202,262.925114461
178.217,262.903978557
178.232,262.882523965
178.247,262.860751335
178.262,262.838661324
178.277,262.816254602
178.292,262.793531859
178.307,262.770493787
178.322,262.747141098
178.337,262.723474506
178.352,262.699494751
178.367,262.675202566
178.382,262.650598712
178.397,262.625683948
178.41,262.603840255
178.412,262.600459042
178.427,262.574924786
178.442,262.549081963
178.457,262.522931375
178.472,262.496473834
178.487,262.469710154
178.502,262.442641159
178.517,262.415267683
178.532,262.387590558
178.547,262.359610632
178.562,262.331328756
178.577,262.302745786
178.592,262.273862582
178.607,262.244680006
178.622,262.215198933
178.637,262.185420235
178.652,262.155344788
178.667,262.124973468
178.682,262.094307165
178.697,262.063346758
178.712,262.03209313
178.727,262.00054717
178.742,261.968709767
178.757,261.936581806
178.772,261.90416417
178.787,261.871457747
178.802,261.83846342
178.817,261.805182074
178.832,261.771614581
178.847,261.737761823
178.862,261.703624667
178.877,261.669203993
178.892,261.63450065
178.907,261.599515508
178.922,261.564249415
178.937,261.528703219
178.952,261.492877764
178.967,261.45677388
178.982,261.420392392
178.997,261.383734121
179.012,261.346799874
179.027,261.309590451
179.042,261.272106642
179.057,261.234349226
179.072,261.19631897
179.087,261.158016636
179.102,261.119442965
179.117,261.080598694
179.132,261.041484538
179.147,261.00210121
179.16,260.967751791
179.162,260.962449399
179.177,260.922529783
179.192,260.882343027
179.207,260.841889779
179.222,260.801170669
179.237,260.760186316
179.252,260.718937311
179.267,260.677424245
179.282,260.635647674
179.297,260.593608142
179.312,260.551306179
179.327,260.508742285
179.342,260.465916952
179.357,260.422830641
179.372,260.379483796
179.387,260.335876843
179.402,260.292010183
