# 48698 WSSS Singapore Observations at 12Z 14 Jun 2019
Frequency [GHz],TB
175.31,274.057511336
175.322,274.037106491
175.337,274.011548374
175.352,273.985932247
175.367,273.960257944
175.382,273.934525297
175.397,273.908734143
175.412,273.882884301
175.427,273.856975621
175.442,273.831007919
175.457,273.804981053
175.472,273.778894829
175.487,273.752749071
175.502,273.726543616
175.517,273.700278309
175.532,273.673952953
175.547,273.647567391
175.562,273.621121436
175.577,273.594614939
175.592,273.568047696
175.607,273.541419546
175.622,273.514730315
175.637,273.487979812
175.652,273.461167885
175.667,273.434294317
175.682,273.407358964
175.697,273.380361623
175.712,273.353302134
175.727,273.32618031
175.742,273.298995964
175.757,273.271748923
175.772,273.24443899
175.787,273.217065962
175.802,273.189629722
175.817,273.162130021
175.832,273.134566699
175.847,273.106939569
175.862,273.079248443
175.877,273.051493127
175.892,273.023673445
175.907,272.995789187
175.922,272.967840191
175.937,272.93982625
175.952,272.911747164
175.967,272.883602761
175.982,272.855392846
175.997,272.827117212
176.012,272.798775675
176.027,272.770368032
176.042,272.741894106
176.057,272.71335368
176.072,272.684746551
176.087,272.656072567
176.102,272.627331493
176.117,272.598523123
176.132,272.569647288
176.147,272.540703765
176.162,272.51169235
176.177,272.482612852
176.192,272.453465093
176.207,272.424248822
176.222,272.394963857
176.237,272.365610018
176.252,272.33618706
176.267,272.306694793
176.282,272.27713301
176.297,272.247501509
176.31,272.221764315
176.312,272.217800072
176.327,272.18802851
176.342,272.158186593
176.357,272.128274117
176.372,272.098290876
176.387,272.068236647
176.402,272.038111222
176.417,272.007914408
176.432,271.977645961
176.447,271.947305683
176.46,271.920952509
176.462,271.91689336
176.477,271.886408768
176.492,271.85585169
176.507,271.825221899
176.522,271.794519214
176.537,271.76374338
176.552,271.732894198
176.567,271.701971413
176.582,271.670974856
176.597,271.639904259
176.612,271.608759414
176.627,271.577540112
176.642,271.546246127
176.657,271.514877207
176.672,271.483433145
176.687,271.451913707
176.702,271.420318678
176.717,271.388647821
176.732,271.356900906
176.747,271.325077698
176.762,271.293177972
176.777,271.261201509
176.792,271.22914805
176.807,271.197017385
176.822,271.164809251
176.837,271.132523446
176.852,271.100159709
176.867,271.06771783
176.882,271.035197526
176.897,271.002598611
176.912,270.969920811
176.927,270.937163895
176.942,270.904327617
176.957,270.871411751
176.972,270.83841602
176.987,270.805340206
177.002,270.772184075
177.017,270.73894736
177.032,270.70562981
177.047,270.672231179
177.062,270.63875124
177.077,270.605189729
177.092,270.571546367
177.107,270.537820954
177.122,270.504013194
177.137,270.470122854
177.152,270.436149675
177.167,270.402093402
177.182,270.367953771
177.197,270.333730522
177.21,270.304002536
177.212,270.29942339
177.227,270.265032143
177.242,270.230556482
177.257,270.195996179
177.272,270.161350943
177.287,270.126620524
177.302,270.09180462
177.31,270.07320112
177.317,270.056903023
177.332,270.021915409
177.347,269.986841543
177.362,269.951681138
177.377,269.916433908
177.392,269.881099597
177.407,269.845677935
177.422,269.810168617
177.437,269.774571382
177.452,269.73888595
177.467,269.703112036
177.482,269.66724936
177.497,269.631297627
177.512,269.595256562
177.527,269.559125871
177.542,269.522905262
177.557,269.486594455
177.572,269.450193134
177.587,269.413701023
177.602,269.377117819
177.617,269.340443249
177.632,269.303676957
177.647,269.266818693
177.66,269.234800211
177.662,269.229868125
177.677,269.192824949
177.692,269.155688868
177.707,269.118459583
