# 78954 TBPB Grantley Adams Observations at 12Z 21 Jun 2019
Frequency [GHz],TB
175.31,279.839358399
175.322,279.818951257
175.337,279.793372435
175.352,279.767715745
175.367,279.741980961
175.382,279.716167855
175.397,279.6902762
175.412,279.664305764
175.427,279.638256315
175.442,279.612127619
175.457,279.585919441
175.472,279.559631543
175.487,279.533263688
175.502,279.506815633
175.517,279.480287138
175.532,279.453677957
175.547,279.426987845
175.562,279.400216555
175.577,279.373363837
175.592,279.34642944
175.607,279.319413112
175.622,279.292314597
175.637,279.265133639
175.652,279.237869981
175.667,279.210523361
175.682,279.183093518
175.697,279.155580189
175.712,279.127983107
175.727,279.100302005
175.742,279.072536614
175.757,279.044686663
175.772,279.016751878
175.787,278.988731984
175.802,278.960626705
175.817,278.932435761
175.832,278.904158871
175.847,278.875795753
175.862,278.847346122
175.877,278.818809691
175.892,278.790186172
175.907,278.761475274
175.922,278.732676704
175.937,278.703790168
175.952,278.674815368
175.967,278.645752007
175.982,278.616599783
175.997,278.587358393
176.012,278.558027533
176.027,278.528606896
176.042,278.499096173
176.057,278.469495052
176.072,278.439803221
176.087,278.410020365
176.102,278.380146165
176.117,278.350180303
176.132,278.320122457
176.147,278.289972304
176.162,278.259729516
176.177,278.229393767
176.192,278.198964726
176.207,278.168442062
176.222,278.137825439
176.237,278.10711452
176.252,278.076308968
176.267,278.045408441
176.282,278.014412595
176.297,277.983321086
176.31,277.956297461
176.312,277.952133565
176.327,277.920849683
176.342,277.889469087
176.357,277.857991424
176.372,277.826416337
176.387,277.794743466
176.402,277.762972451
176.417,277.731102928
176.432,277.699134532
176.447,277.667066894
176.46,277.63919438
176.462,277.634899645
176.477,277.602632412
176.492,277.57026482
176.507,277.537796491
176.522,277.505227048
176.537,277.472556106
176.552,277.439783284
176.567,277.406908193
176.582,277.373930446
176.597,277.340849651
176.612,277.307665414
176.627,277.274377341
176.642,277.240985031
176.657,277.207488086
176.672,277.173886101
176.687,277.140178672
176.702,277.106365391
176.717,277.072445847
176.732,277.038419629
176.747,277.00428632
176.762,276.970045503
176.777,276.935696759
176.792,276.901239665
176.807,276.866673797
176.822,276.831998727
176.837,276.797214025
176.852,276.76231926
176.867,276.727313997
176.882,276.692197799
176.897,276.656970226
176.912,276.621630836
176.927,276.586179185
176.942,276.550614825
176.957,276.514937307
176.972,276.479146179
176.987,276.443240987
177.002,276.407221272
177.017,276.371086576
177.032,276.334836436
177.047,276.298470387
177.062,276.261987962
177.077,276.225388691
177.092,276.188672101
177.107,276.151837718
177.122,276.114885063
177.137,276.077813655
177.152,276.040623013
177.167,276.00331265
177.182,275.965882079
177.197,275.928330807
177.21,275.895688357
177.212,275.890658342
177.227,275.852864187
177.242,275.814947844
177.257,275.77690881
177.272,275.738746581
177.287,275.70046065
177.302,275.662050508
177.31,275.641514133
177.317,275.623515641
177.332,275.584855535
177.347,275.546069671
177.362,275.507157528
177.377,275.468118583
177.392,275.428952308
177.407,275.389658176
177.422,275.350235653
177.437,275.310684204
177.452,275.271003291
177.467,275.231192374
177.482,275.191250908
177.497,275.151178348
177.512,275.110974142
177.527,275.070637739
177.542,275.030168583
177.557,274.989566115
177.572,274.948829773
177.587,274.907958993
177.602,274.866953206
177.617,274.825811841
177.632,274.784534325
177.647,274.74312008
177.66,274.707116687
177.662,274.701568526
177.677,274.659879078
177.692,274.618051149
177.707,274.57608415
177.722,274.533977487
