# 10410 EDZE Essen Observations at 12Z 27 Jun 2019
Frequency [GHz],TB
175.31,276.155359946
175.322,276.17702888
175.337,276.203922333
175.352,276.230600228
175.367,276.257061019
175.382,276.283303162
175.397,276.309325112
175.412,276.335125322
175.427,276.360702243
175.442,276.386054321
175.457,276.411180006
175.472,276.436077742
175.487,276.460745973
175.502,276.485183144
175.517,276.509387696
175.532,276.533358068
175.547,276.557092704
175.562,276.58059004
175.577,276.603848516
175.592,276.62686657
175.607,276.649642638
175.622,276.67217516
175.637,276.69446257
175.652,276.716503307
175.667,276.738295807
175.682,276.759838507
175.697,276.781129845
175.712,276.802168258
175.727,276.822952186
175.742,276.843480065
175.757,276.863750339
175.772,276.883761445
175.787,276.903511826
175.802,276.922999927
175.817,276.942224189
175.832,276.961183061
175.847,276.979874989
175.862,276.998298423
175.877,277.016451815
175.892,277.034333616
175.907,277.051942284
175.922,277.069276276
175.937,277.086334053
175.952,277.103114078
175.967,277.119614817
175.982,277.135834737
175.997,277.151772314
176.012,277.167426022
176.027,277.182794337
176.042,277.197875745
176.057,277.212668732
176.072,277.227171788
176.087,277.241383406
176.102,277.255302084
176.117,277.268926329
176.132,277.282254646
176.147,277.295285545
176.162,277.308017547
176.177,277.320449175
176.192,277.332578954
176.207,277.344405418
176.222,277.355927106
176.237,277.367142563
176.252,277.378050339
176.267,277.388648992
176.282,277.398937085
176.297,277.408913184
176.31,277.417305673
176.312,277.41857587
176.327,277.427923725
176.342,277.436955338
176.357,277.445669306
176.372,277.454064236
176.387,277.462138738
176.402,277.469891433
176.417,277.477320951
176.432,277.484425926
176.447,277.491205003
176.46,277.496815548
176.462,277.497656836
176.477,277.503780088
176.492,277.509573427
176.507,277.515035534
176.522,277.520165099
176.537,277.524960821
176.552,277.529421404
176.567,277.533545571
176.582,277.537332048
176.597,277.540779573
176.612,277.543886895
176.627,277.546652772
176.642,277.549075976
176.657,277.551155287
176.672,277.552889496
176.687,277.554277407
176.702,277.555317835
176.717,277.556009607
176.732,277.55635156
176.747,277.556342544
176.762,277.555981426
176.777,277.555267074
176.792,277.554198382
176.807,277.552774247
176.822,277.550993584
176.837,277.548855318
176.852,277.54635839
176.867,277.543501753
176.882,277.540284375
176.897,277.536705234
176.912,277.532763328
176.927,277.528457664
176.942,277.523787267
176.957,277.518751173
176.972,277.513348437
176.987,277.507578125
177.002,277.501439319
177.017,277.494931118
177.032,277.488052633
177.047,277.480802995
177.062,277.473181346
177.077,277.465186846
177.092,277.456818672
177.107,277.448076016
177.122,277.438958085
177.137,277.429464104
177.152,277.419593313
177.167,277.40934497
177.182,277.39871835
177.197,277.387712745
177.21,277.377867461
177.212,277.376327462
177.227,277.364561827
177.242,277.352415183
177.257,277.339886888
177.272,277.326976323
177.287,277.31368288
177.302,277.300005975
177.31,277.292554633
177.317,277.285945036
177.332,277.271499513
177.347,277.256668872
177.362,277.241452598
177.377,277.225850194
177.392,277.209861181
177.407,277.193485098
177.422,277.176721503
177.437,277.159569972
177.452,277.142030101
177.467,277.124101502
177.482,277.105783809
177.497,277.087076669
177.512,277.067979755
177.527,277.048492754
177.542,277.028615371
177.557,277.008347334
177.572,276.987688385
177.587,276.966638292
177.602,276.945196833
177.617,276.92336381
177.632,276.901139044
177.647,276.878522372
177.66,276.858604139
177.662,276.855513654
177.677,276.832112764
177.692,276.808319599
177.707,276.784134071
177.722,276.759556113
177.737,276.734585678
177.752,276.709222733
177.767,276.683467269
177.782,276.657319291
177.797,276.630778825
177.812,276.603845913
177.827,276.576520621
177.842,276.548803024
177.857,276.520693221
177.872,276.492191331
177.887,276.463297485
177.902,276.434011833
177.917,276.404334547
177.932,276.374265812
177.947,276.343805832
177.96,276.317090878
177.962,276.312954827
177.977,276.281713034
177.992,276.25008071
178.007,276.218058123
178.022,276.185645565
178.037,276.152843336
178.052,276.119651757
178.067,276.086071164
178.082,276.052101909
178.097,276.017744359
178.112,275.982998896
178.127,275.947865916
178.142,275.912345833
178.157,275.876439072
178.172,275.840146072
178.187,275.803467291
178.202,275.766403197
178.217,275.728954271
178.232,275.691121007
178.247,275.652903915
178.262,275.614303514
178.277,275.575320336
178.292,275.535954929
178.307,275.496207847
178.322,275.456079657
178.337,275.415570941
178.352,275.374682286
178.367,275.333414292
178.382,275.291767569
178.397,275.249742738
178.41,275.213015853
178.412,275.207340426
178.427,275.16456127
178.442,275.121405917
178.457,275.077875022
178.472,275.033969246
178.487,274.989689259
178.502,274.945035738
178.517,274.900009364
178.532,274.854610829
178.547,274.808840825
178.562,274.762700056
178.577,274.716189224
178.592,274.669309041
178.607,274.622060219
178.622,274.574443478
178.637,274.526459536
178.652,274.47810912
178.667,274.429392955
178.682,274.380311768
178.697,274.330866288
178.712,274.281057249
178.727,274.230885377
178.742,274.180351409
178.757,274.129456071
178.772,274.078200096
178.787,274.026584212
178.802,273.974609146
178.817,273.922275624
178.832,273.869584369
178.847,273.8165361
178.862,273.763131532
178.877,273.709371378
178.892,273.655256346
178.907,273.600787139
178.922,273.545964453
178.937,273.490788981
178.952,273.435261408
178.967,273.379382413
178.982,273.323152667
178.997,273.266572835
179.012,273.209643573
179.027,273.152365526
179.042,273.094739336
