# 01004 ENAS Ny-Alesund Ii Observations at 12Z 03 Jul 2019
Frequency [GHz],TB
175.31,267.320716867
175.322,267.311057731
175.337,267.29886015
175.352,267.286525059
175.367,267.274052347
175.382,267.261441902
175.397,267.248693617
175.412,267.235807388
175.427,267.222783114
175.442,267.209620697
175.457,267.19632004
175.472,267.182881052
175.487,267.169303642
175.502,267.155587723
175.517,267.141733213
175.532,267.127740029
175.547,267.113608093
175.562,267.09933733
175.577,267.084927667
175.592,267.070379034
175.607,267.055691364
175.622,267.040864593
175.637,267.02589866
175.652,267.010793505
175.667,266.995549071
175.682,266.980165307
175.697,266.964642161
175.712,266.948979585
175.727,266.933177533
175.742,266.917235962
175.757,266.901154833
175.772,266.884934106
175.787,266.868573748
175.802,266.852073724
175.817,266.835434005
175.832,266.818654563
175.847,266.801735372
175.862,266.784676409
175.877,266.767477654
175.892,266.750139087
175.907,266.732660693
175.922,266.715042457
175.937,266.697284368
175.952,266.679386416
175.967,266.661348593
175.982,266.643170894
175.997,266.624853316
176.012,266.606395856
176.027,266.587798516
176.042,266.569061298
176.057,266.550184207
176.072,266.531167248
176.087,266.512010429
176.102,266.49271376
176.117,266.473277252
176.132,266.453700919
176.147,266.433984774
176.162,266.414128834
176.177,266.394133116
176.192,266.37399764
176.207,266.353722425
176.222,266.333307493
176.237,266.312752867
176.252,266.292058571
176.267,266.271224631
176.282,266.250251073
176.297,266.229137923
176.31,266.210726969
176.312,266.207885211
176.327,266.186492966
176.342,266.164961217
176.357,266.143289996
176.372,266.121479333
176.387,266.099529262
176.402,266.077439815
176.417,266.055211025
176.432,266.032842926
176.447,266.010335551
176.46,265.990716529
176.462,265.987688937
176.477,265.964903116
176.492,265.941978124
176.507,265.918913995
176.522,265.895710765
176.537,265.872368468
176.552,265.848887139
176.567,265.825266813
176.582,265.801507523
176.597,265.777609304
176.612,265.753572188
176.627,265.729396209
176.642,265.705081399
176.657,265.680627789
176.672,265.656035411
176.687,265.631304294
176.702,265.606434467
176.717,265.581425959
176.732,265.556278796
176.747,265.530993003
176.762,265.505568607
176.777,265.480005629
176.792,265.454304091
176.807,265.428464014
176.822,265.402485417
176.837,265.376368315
176.852,265.350112725
176.867,265.323718659
176.882,265.297186129
176.897,265.270515144
176.912,265.243705712
176.927,265.216757837
176.942,265.189671522
176.957,265.162446767
176.972,265.13508357
176.987,265.107581925
177.002,265.079941827
177.017,265.052163264
177.032,265.024246222
177.047,264.996190687
177.062,264.96799664
177.077,264.939664057
177.092,264.911192913
177.107,264.882583181
177.122,264.853834827
177.137,264.824947816
177.152,264.79592211
177.167,264.766757664
177.182,264.737454434
177.197,264.708012367
177.21,264.682383565
177.212,264.678431411
177.227,264.648711507
177.242,264.618852591
177.257,264.588854599
177.272,264.558717458
177.287,264.528441095
177.302,264.498025428
177.31,264.48174675
177.317,264.467470373
177.332,264.436775843
177.347,264.405941742
177.362,264.374967973
177.377,264.343854434
177.392,264.312601014
177.407,264.281207601
177.422,264.249674077
177.437,264.218000318
177.452,264.186186196
177.467,264.154231576
177.482,264.122136318
177.497,264.089900276
177.512,264.057523302
177.527,264.025005237
177.542,263.99234592
177.557,263.959545183
177.572,263.926602851
177.587,263.893518745
177.602,263.860292679
177.617,263.82692446
177.632,263.793413892
177.647,263.759760769
177.66,263.730479255
177.662,263.72596488
177.677,263.692026008
177.692,263.657943931
177.707,263.623718417
177.722,263.58934923
177.737,263.554836129
177.752,263.520178861
177.767,263.48537717
177.782,263.450430795
177.797,263.415339463
177.812,263.380102899
177.827,263.344720818
177.842,263.309192929
177.857,263.273518935
177.872,263.23769853
177.887,263.201731403
177.902,263.165617234
177.917,263.129355696
177.932,263.092946456
177.947,263.056389174
177.96,263.024586176
177.962,263.0196835
177.977,262.982829079
177.992,262.945825549
178.007,262.908672539
178.022,262.871369672
178.037,262.833916562
178.052,262.796312816
178.067,262.758558036
178.082,262.720651812
178.097,262.682593731
178.112,262.644383368
178.127,262.606020296
178.142,262.567504074
178.157,262.52883426
178.172,262.490010398
178.187,262.451032029
178.202,262.411898686
178.217,262.372609892
178.232,262.333165164
178.247,262.293564011
178.262,262.253805935
178.277,262.213890431
178.292,262.173816984
178.307,262.133585073
178.322,262.093194171
178.337,262.05264374
178.352,262.011933237
178.367,261.971062111
178.382,261.930029803
178.397,261.888835748
178.41,261.853002953
178.412,261.84747937
178.427,261.805960091
178.442,261.764277321
178.457,261.722430464
178.472,261.680418917
178.487,261.638242071
178.502,261.595899308
178.517,261.553390002
178.532,261.510713521
178.547,261.467869227
178.562,261.424856474
178.577,261.381674607
178.592,261.338322966
178.607,261.294800885
178.622,261.251107688
178.637,261.207242695
178.652,261.163205217
178.667,261.11899456
178.682,261.074610023
178.697,261.030050896
178.712,260.985316466
178.727,260.940406011
178.742,260.895318803
178.757,260.850054108
178.772,260.804611185
178.787,260.758989288
178.802,260.713187662
178.817,260.667205549
178.832,260.621042184
178.847,260.574696794
178.862,260.528168602
178.877,260.481456826
178.892,260.434560675
178.907,260.387479355
178.922,260.340212065
178.937,260.292757999
178.952,260.245116345
178.967,260.197286287
178.982,260.149267001
178.997,260.10105766
179.012,260.05265743
179.027,260.004065474
179.042,259.955280949
179.057,259.906303006
179.072,259.857130792
179.087,259.80776345
179.102,259.758200118
179.117,259.708439927
179.132,259.658482008
179.147,259.608325482
179.16,259.564695164
179.162,259.557969472
179.177,259.507413091
179.192,259.456655451
179.207,259.40569566
179.222,259.35453282
179.237,259.303166031
179.252,259.251594388
179.267,259.199816984
179.282,259.147832905
179.297,259.095641239
179.312,259.043241066
179.327,258.990631463
179.342,258.937811506
179.357,258.884780266
179.372,258.831536811
179.387,258.77808021
179.402,258.724409522
179.417,258.67052381
179.432,258.61642213
179.447,258.562103537
179.462,258.507567085
179.477,258.452811823
179.492,258.3978368
179.507,258.342641061
179.522,258.28722365
179.537,258.231583609
179.552,258.175719979
179.567,258.119631797
179.582,258.0633181
179.597,258.006777924
179.612,257.950010303
179.627,257.893014268
179.642,257.835788851
179.657,257.778333082
179.672,257.720645991
179.687,257.662726605
179.702,257.604573952
179.717,257.546187059
179.732,257.487564951
179.747,257.428706654
179.762,257.369611194
179.777,257.310277596
179.792,257.250704883
179.807,257.190892082
179.822,257.130838216
179.837,257.07054231
179.852,257.01000339
179.867,256.949220482
179.882,256.88819261
179.897,256.826918802
179.91,256.773615149
179.912,256.765398085
179.927,256.703629488
179.942,256.641612038
179.957,256.579344767
179.972,256.516826705
179.987,256.454056886
180.002,256.391034342
180.017,256.327758109
180.032,256.264227224
180.047,256.200440727
180.062,256.136397657
180.077,256.072097058
180.092,256.007537974
180.107,255.942719452
180.122,255.877640543
180.137,255.812300296
180.152,255.746697769
180.167,255.680832017
180.182,255.614702101
180.197,255.548307085
180.212,255.481646036
180.227,255.414718022
180.242,255.347522119
180.257,255.280057403
180.272,255.212322956
180.287,255.144317862
180.302,255.076041211
180.317,255.007492096
180.332,254.938669617
180.347,254.869572875
180.362,254.800200978
180.377,254.73055304
180.392,254.660628179
180.407,254.590425517
180.422,254.519944185
180.437,254.449183319
180.452,254.378142059
180.467,254.306819553
180.482,254.235214955
180.497,254.163327428
180.512,254.091156138
180.527,254.018700264
180.542,253.945958987
180.557,253.872931499
180.56,253.858291586
180.572,253.799617
180.587,253.726014699
180.602,253.652123812
180.617,253.577943565
180.632,253.503473195
180.647,253.428711948
180.66,253.363683005
180.662,253.35365908
180.677,253.278313857
180.692,253.202675557
180.707,253.126743471
180.722,253.050516899
180.737,252.973995155
180.752,252.897177565
180.767,252.820063471
180.782,252.742652225
180.797,252.664943197
180.812,252.586935769
180.827,252.508629341
180.842,252.430023327
180.857,252.351117159
180.872,252.271910288
180.887,252.19240218
180.902,252.112592322
180.917,252.032480221
180.932,251.952065402
180.947,251.871347414
180.962,251.790325827
180.977,251.709000233
180.992,251.62737025
181.007,251.545435518
181.022,251.463195707
181.037,251.38065051
181.052,251.29779965
181.067,251.214642879
181.082,251.13117998
181.097,251.047410765
181.112,250.963335083
181.127,250.878952814
181.142,250.794263876
181.157,250.709268222
181.172,250.623965845
181.187,250.538356779
181.202,250.452441099
181.217,250.366218925
181.232,250.279690421
181.247,250.1928558
181.262,250.105715324
181.277,250.018269305
181.292,249.930518113
181.307,249.842462169
181.31,249.824814451
181.322,249.754101956
181.337,249.665438017
181.352,249.576470957
181.367,249.487201448
181.382,249.397630233
181.397,249.307758123
181.412,249.217586006
181.427,249.127114848
181.442,249.036345694
181.457,248.945279678
181.472,248.853918018
181.487,248.762262027
181.502,248.670313111
181.517,248.578072778
181.532,248.485542639
181.547,248.392724415
181.562,248.299619939
181.577,248.20623116
181.592,248.112560154
181.607,248.018609121
181.622,247.924380397
181.637,247.829876456
181.652,247.735099916
181.667,247.640053547
181.682,247.544740276
181.697,247.449163193
181.712,247.353325561
181.727,247.257230819
181.742,247.16088259
181.757,247.064284693
181.772,246.967441146
181.787,246.870356176
181.802,246.773034232
181.817,246.675479984
181.832,246.577698344
181.847,246.479694467
181.862,246.381473766
181.877,246.28304192
181.892,246.184404888
181.907,246.085568916
181.922,245.986540552
181.937,245.887326658
181.952,245.787934421
181.967,245.688371367
181.982,245.588645377
181.997,245.488764696
182.012,245.388737953
182.027,245.288574171
182.042,245.188282789
182.057,245.087873669
182.06,245.067778616
182.072,244.987357124
182.087,244.886743925
182.102,244.786045325
182.117,244.685273073
182.132,244.58443944
182.147,244.483557226
182.162,244.382639794
182.177,244.281701081
182.192,244.180755621
182.207,244.079818568
182.222,243.978905716
182.237,243.878033524
182.252,243.777219136
182.267,243.676480405
182.282,243.575835919
182.297,243.475305019
182.312,243.374907831
182.327,243.274665284
182.342,243.174599138
182.357,243.074732009
182.372,242.975087389
182.387,242.875689677
182.402,242.7765642
182.417,242.677737236
182.432,242.579236041
182.447,242.481088872
182.462,242.383325004
182.477,242.285974758
182.492,242.189069521
182.507,242.092641761
182.522,241.996725052
182.537,241.901354081
182.552,241.806564674
182.567,241.7123938
182.582,241.618879584
182.597,241.526061315
182.612,241.433979454
182.627,241.342675627
182.642,241.252192634
182.657,241.162574433
182.672,241.073866138
182.687,240.986114002
182.702,240.899365398
182.717,240.813668792
182.732,240.72907372
182.747,240.645630746
182.762,240.563391424
182.777,240.482408247
182.792,240.402734594
182.807,240.324424667
182.822,240.247533422
182.837,240.172116493
182.852,240.098230101
182.867,240.02593097
182.882,239.95527622
182.897,239.886323258
182.912,239.819129664
182.927,239.753753064
182.942,239.690250997
182.957,239.628680774
182.972,239.569099333
182.987,239.511563082
183.002,239.456127739
183.017,239.402848168
183.032,239.351778205
183.047,239.302970485
183.062,239.256476264
183.077,239.212345242
183.092,239.170625376
183.107,239.131362707
183.122,239.094601178
183.137,239.060382458
183.152,239.028745776
183.167,238.999727749
183.182,238.973362234
183.197,238.949680169
183.212,238.928709443
183.227,238.910474764
183.242,238.894997547
183.257,238.882295813
183.367,238.874797971
183.382,238.885448257
183.397,238.898869334
183.412,238.915042217
183.427,238.933944559
183.442,238.955550746
183.457,238.979832018
183.472,239.006756601
183.487,239.036289843
183.502,239.068394372
183.517,239.103030248
183.532,239.140155136
183.547,239.179724475
183.562,239.221691652
183.577,239.266008186
183.592,239.312623902
183.607,239.361487115
183.622,239.41254481
183.637,239.465742817
183.652,239.521025982
183.667,239.578338343
183.682,239.63762329
183.697,239.698823722
183.712,239.761882208
183.727,239.826741121
183.742,239.893342787
183.757,239.961629608
183.772,240.031544191
183.787,240.103029457
183.802,240.176028754
183.817,240.250485952
183.832,240.326345535
183.847,240.403552683
183.862,240.482053349
183.877,240.561794325
183.892,240.642723304
183.907,240.724788932
183.922,240.807940856
183.937,240.89212976
183.952,240.977307408
183.967,241.063426663
183.982,241.150441513
183.997,241.238307092
184.012,241.326979691
184.027,241.416416764
184.042,241.506576938
184.057,241.59742001
184.072,241.688906946
184.087,241.780999876
184.102,241.873662084
184.117,241.966858
184.132,242.060553185
184.147,242.154714316
184.162,242.249309169
184.177,242.344306601
184.192,242.439676531
184.207,242.535389918
184.222,242.631418741
184.237,242.727735972
184.252,242.824315558
184.267,242.921132393
184.282,243.018162298
184.297,243.115381991
184.312,243.21276907
184.327,243.310301978
184.342,243.40795999
184.357,243.505723179
184.372,243.603572397
184.387,243.701489249
184.402,243.799456068
184.417,243.897455896
184.432,243.995472454
184.447,244.093490125
184.462,244.191493931
184.477,244.289469508
184.492,244.387403088
184.507,244.485281475
184.522,244.583092029
184.537,244.680822642
184.552,244.778461721
184.56,244.830494618
184.567,244.875998169
184.582,244.973421365
184.597,245.070721152
184.612,245.167887811
184.627,245.264912054
184.642,245.361785
184.657,245.458498162
184.672,245.555043437
184.687,245.651413084
184.702,245.747599713
184.717,245.843596272
184.732,245.939396035
184.747,246.034992587
184.762,246.130379812
184.777,246.225551884
184.792,246.320503251
184.807,246.415228629
184.822,246.509722989
184.837,246.603981547
184.852,246.697999753
184.867,246.791773287
184.882,246.885298043
184.897,246.978570124
184.912,247.071585834
184.927,247.164341669
184.942,247.25683431
184.957,247.349060613
184.972,247.441017606
184.987,247.532702481
185.002,247.624112584
185.017,247.715245412
185.032,247.806098607
185.047,247.89666995
