# 48698 WSSS Singapore Observations at 12Z 10 Jul 2019
Frequency [GHz],TB
175.31,277.364143128
175.322,277.338644091
175.337,277.30668202
175.352,277.27462154
175.367,277.242462307
175.382,277.210203974
175.397,277.177846184
175.412,277.145388587
175.427,277.112830832
175.442,277.080172558
175.457,277.047413408
175.472,277.014553027
175.487,276.981591045
175.502,276.948527104
175.517,276.915360836
175.532,276.882091876
175.547,276.848719856
175.562,276.8152444
175.577,276.78166514
175.592,276.747981696
175.607,276.714193698
175.622,276.680300761
175.637,276.646302508
175.652,276.612198561
175.667,276.57798853
175.682,276.543672029
175.697,276.509248676
175.712,276.474718072
175.727,276.440079835
175.742,276.405333564
175.757,276.370478869
175.772,276.335515353
175.787,276.300442613
175.802,276.265260251
175.817,276.229967864
175.832,276.194565043
175.847,276.159051387
175.862,276.123426484
175.877,276.087689929
175.892,276.051841306
175.907,276.0158802
175.922,275.979806196
175.937,275.943618877
175.952,275.907317822
175.967,275.870902612
175.982,275.834372824
175.997,275.797728027
176.012,275.760967799
176.027,275.724091713
176.042,275.687099335
176.057,275.64999023
176.072,275.612763969
176.087,275.575420112
176.102,275.537958225
176.117,275.500377864
176.132,275.462678587
176.147,275.424859955
176.162,275.386921518
176.177,275.348862835
176.192,275.310683451
176.207,275.272382917
176.222,275.233960782
176.237,275.195416592
176.252,275.156749892
176.267,275.117960221
176.282,275.079047122
176.297,275.040010134
176.31,275.006077509
176.312,275.000848795
176.327,274.961562639
176.342,274.9221512
176.357,274.882614012
176.372,274.842950601
176.387,274.803160501
176.402,274.763243238
176.417,274.723198337
176.432,274.683025319
176.447,274.642723711
176.46,274.607691267
176.462,274.602293033
176.477,274.561732804
176.492,274.521042539
176.507,274.480221759
176.522,274.439269974
176.537,274.398186699
176.552,274.356971446
176.567,274.315623724
176.582,274.274143044
176.597,274.232528911
176.612,274.190780832
176.627,274.148898309
176.642,274.106880849
176.657,274.064727951
176.672,274.022439118
176.687,273.980013847
176.702,273.937451635
176.717,273.894751981
176.732,273.851914377
176.747,273.808938321
176.762,273.765823301
176.777,273.722568814
176.792,273.679174344
176.807,273.635639386
176.822,273.591963427
176.837,273.548145953
176.852,273.504186451
176.867,273.460084406
176.882,273.415839301
176.897,273.371450621
176.912,273.326917848
176.927,273.282240458
176.942,273.237417939
176.957,273.192449769
176.972,273.147335424
176.987,273.102074385
177.002,273.056666124
177.017,273.011110123
177.032,272.965405859
177.047,272.919552803
177.062,272.873550431
177.077,272.827398217
177.092,272.781095636
177.107,272.73464216
177.122,272.68803726
177.137,272.641280413
177.152,272.594371086
177.167,272.547308754
177.182,272.500092885
177.197,272.452722954
177.21,272.411543984
177.212,272.405198428
177.227,272.35751878
177.242,272.30968348
177.257,272.261691999
177.272,272.213543807
177.287,272.165238373
177.302,272.116775171
177.31,272.090863437
177.317,272.068153669
177.332,272.019373339
177.347,271.970433654
177.362,271.92133408
177.377,271.872074094
177.392,271.822653167
177.407,271.77307077
177.422,271.723326377
177.437,271.673419461
177.452,271.623349497
177.467,271.57311596
177.482,271.522718324
177.497,271.472156066
177.512,271.421428665
177.527,271.370535597
177.542,271.319476341
177.557,271.268250379
177.572,271.216857189
177.587,271.165296254
177.602,271.113567058
177.617,271.061669088
177.632,271.009601826
177.647,270.957364761
177.66,270.911954891
177.662,270.904957383
177.677,270.852379181
177.692,270.799629646
177.707,270.746708274
177.722,270.693614557
177.737,270.640347995
177.752,270.586908087
177.767,270.533294333
177.782,270.479506235
177.797,270.4255433
177.812,270.371405035
177.827,270.317090948
177.842,270.26260055
177.857,270.207933359
177.872,270.153088887
177.887,270.098066657
177.902,270.042866188
177.917,269.987487007
177.932,269.93192864
177.947,269.876190616
177.96,269.827738646
177.962,269.820272468
177.977,269.764173737
177.992,269.707893956
178.007,269.65143267
178.022,269.594789424
178.037,269.537963769
178.052,269.480955254
178.067,269.423763437
178.082,269.366387878
178.097,269.30882814
178.112,269.251083788
178.127,269.193154396
178.142,269.135039536
178.157,269.076738788
178.172,269.018251736
178.187,268.959577966
178.202,268.900717066
178.217,268.841668639
178.232,268.782432281
178.247,268.723007596
178.262,268.663394196
178.277,268.603591692
178.292,268.543599707
178.307,268.483417861
178.322,268.423045783
178.337,268.362483109
178.352,268.301729477
178.367,268.240784531
178.382,268.179647921
178.397,268.1183193
178.41,268.065012253
178.412,268.056798332
178.427,267.99508468
178.442,267.933178015
178.457,267.871078016
178.472,267.808784366
178.487,267.746296753
178.502,267.683614874
178.517,267.620738427
178.532,267.55766712
178.547,267.494400667
178.562,267.430938786
178.577,267.367281203
178.592,267.303427652
178.607,267.23937787
178.622,267.175131601
178.637,267.110688599
178.652,267.046048621
178.667,266.981211433
178.682,266.916176805
178.697,266.850944517
178.712,266.785514355
178.727,266.719886109
178.742,266.654059581
178.757,266.588034576
178.772,266.521810906
178.787,266.455388395
178.802,266.388766868
178.817,266.321946161
178.832,266.254926117
178.847,266.187706583
178.862,266.120287414
178.877,266.052668479
178.892,265.984849644
178.907,265.916830789
178.922,265.848611801
178.937,265.780192571
178.952,265.711573001
178.967,265.642752996
178.982,265.573732472
178.997,265.504511349
179.012,265.43508956
179.027,265.365467037
179.042,265.295643727
179.057,265.225619578
179.072,265.155394549
179.087,265.084968605
179.102,265.014341715
179.117,264.94351386
179.132,264.872485024
179.147,264.8012552
179.16,264.739360108
179.162,264.729824386
179.177,264.658192588
179.192,264.586359815
179.207,264.514326088
179.222,264.44209143
179.237,264.369655872
179.252,264.297019449
179.267,264.224182202
179.282,264.151144182
179.297,264.077905439
179.312,264.004466034
179.327,263.93082603
179.342,263.856985494
179.357,263.782944501
179.372,263.70870313
179.387,263.63426146
179.402,263.55961958
179.417,263.484777579
179.432,263.409735552
179.447,263.334493596
179.462,263.259051811
179.477,263.183410299
179.492,263.107569166
179.507,263.031528522
179.522,262.955288473
179.537,262.878849134
179.552,262.802210614
179.567,262.725373028
179.582,262.64833649
179.597,262.571101113
179.612,262.493667011
179.627,262.416034295
179.642,262.338203078
179.657,262.260173471
179.672,262.18194558
179.687,262.103519512
179.702,262.024895368
179.717,261.946073249
179.732,261.867053249
179.747,261.787835458
179.762,261.708419964
179.777,261.628806846
179.792,261.548996178
179.807,261.468988027
179.822,261.388782453
179.837,261.308379511
179.852,261.227779242
179.867,261.146981682
179.882,261.065986856
179.897,260.984794779
179.91,260.914268762
179.912,260.903405455
179.927,260.821818877
179.942,260.740035022
179.957,260.658053858
179.972,260.575875338
179.987,260.4934994
180.002,260.410925967
180.017,260.328154946
180.032,260.245186227
180.047,260.162019683
180.062,260.078655167
180.077,259.995092515
180.092,259.911331541
180.107,259.827372041
180.122,259.743213786
180.137,259.658856527
180.152,259.574299991
180.167,259.48954388
180.182,259.404587872
180.197,259.31943162
180.212,259.234074748
180.227,259.148516854
180.242,259.062757507
180.257,258.976796248
180.272,258.890632585
180.287,258.804265996
180.302,258.717695928
180.317,258.630921796
180.332,258.543942977
180.347,258.456758818
180.362,258.369368627
180.377,258.281771678
180.392,258.193967205
180.407,258.105954405
180.422,258.017732438
180.437,257.929300421
180.452,257.840657431
180.467,257.751802504
180.482,257.662734634
180.497,257.573452768
180.512,257.483955813
180.527,257.394242631
180.542,257.304312035
180.557,257.214162793
180.56,257.196106595
180.572,257.123793626
180.587,257.033203207
180.602,256.94239016
180.617,256.851353061
180.632,256.760090432
180.647,256.668600748
180.66,256.589124808
180.662,256.576882431
180.677,256.48493385
180.692,256.392753322
180.707,256.300339113
180.722,256.207689432
180.737,256.114802436
180.752,256.021676225
180.767,255.928308846
180.782,255.834698289
180.797,255.740842488
180.812,255.646739322
180.827,255.552386613
180.842,255.457782125
180.857,255.362923565
180.872,255.267808583
180.887,255.172434772
180.902,255.076799666
180.917,254.980900744
180.932,254.884735423
180.947,254.788301065
180.962,254.691594975
180.977,254.594614398
180.992,254.497356521
181.007,254.399818478
181.022,254.30199734
181.037,254.203890125
181.052,254.105493793
181.067,254.006805247
181.082,253.907821335
181.097,253.80853885
181.112,253.708954528
181.127,253.609065052
181.142,253.50886705
181.157,253.408357097
181.172,253.307531716
181.187,253.206387376
181.202,253.104920498
181.217,253.003127447
181.232,252.901004545
181.247,252.79854806
181.262,252.695754213
181.277,252.59261918
181.292,252.489139091
181.307,252.385310028
181.31,252.364501991
181.322,252.281128032
181.337,252.176589102
181.352,252.071689193
181.367,251.966424223
181.382,251.860790068
181.397,251.754782569
181.412,251.648397532
181.427,251.541630725
181.442,251.434477886
181.457,251.326934721
181.472,251.218996908
181.487,251.110660094
181.502,251.001919903
181.517,250.892771934
181.532,250.783211763
181.547,250.673234949
181.562,250.56283703
181.577,250.45201353
181.592,250.340759961
181.607,250.229071822
181.622,250.116944607
181.637,250.004373801
181.652,249.89135489
181.667,249.777883357
181.682,249.663954693
181.697,249.549564391
181.712,249.434707958
181.727,249.319380912
181.742,249.203578791
181.757,249.087297152
181.772,248.97053158
181.787,248.853277687
181.802,248.735531122
181.817,248.617287571
181.832,248.498542766
181.847,248.379292488
181.862,248.25953257
181.877,248.139258909
181.892,248.018467467
181.907,247.897154279
181.922,247.775315458
181.937,247.652947205
181.952,247.530045813
181.967,247.406607677
181.982,247.2826293
181.997,247.1581073
182.012,247.033038423
182.027,246.907419547
182.042,246.781247695
182.057,246.654520041
182.06,246.629107577
182.072,246.527233923
182.087,246.39938685
182.102,246.270976515
182.117,246.142000808
182.132,246.012457822
182.147,245.882345867
182.162,245.751663486
182.177,245.620409462
182.192,245.488582831
182.207,245.356182902
182.222,245.223209261
182.237,245.089661793
182.252,244.955540691
182.267,244.820846474
182.282,244.68558
182.297,244.549742482
182.312,244.413335503
182.327,244.276361033
182.342,244.138821444
182.357,244.000719529
182.372,243.862058514
182.387,243.722842079
182.402,243.583074374
182.417,243.442760035
182.432,243.301904201
182.447,243.160512534
182.462,243.018591231
182.477,242.876147043
182.492,242.733187292
182.507,242.589719883
182.522,242.445753319
182.537,242.301296713
182.552,242.156359799
182.567,242.010952936
182.582,241.865087115
182.597,241.718773958
182.612,241.57202571
182.627,241.424855224
182.642,241.27727594
182.657,241.129301852
182.672,240.980947453
182.687,240.832227674
182.702,240.683157792
182.717,240.53375331
182.732,240.384029809
182.747,240.234002748
182.762,240.083687215
182.777,239.933097611
182.792,239.782247246
182.807,239.631147836
182.822,239.479808867
182.837,239.328236794
182.852,239.17643404
182.867,239.024397735
182.882,238.872118136
182.897,238.719576632
182.912,238.566743234
182.927,238.413573406
182.942,238.260004044
182.957,238.105948368
182.972,237.951289397
182.987,237.795871588
183.002,237.639490049
183.017,237.481876564
183.032,237.322681336
183.047,237.161449002
183.062,236.997586827
183.077,236.830322194
183.092,236.65864521
183.107,236.481230447
183.122,236.296329099
183.137,236.101618772
183.152,235.893992282
183.167,235.669258704
183.182,235.421720496
183.197,235.14358603
183.212,234.824204252
183.227,234.449269881
183.242,234.000822235
183.257,233.461411639
183.367,233.595796689
183.382,234.107555103
183.397,234.532211753
183.412,234.88825676
183.427,235.192830161
183.442,235.459238252
183.457,235.697316807
183.472,235.914252875
183.487,236.115307677
183.502,236.304358376
183.517,236.484285248
183.532,236.657245053
183.547,236.824864412
183.562,236.98837765
183.577,237.148726031
183.592,237.30662997
183.607,237.462642125
183.622,237.617186837
183.637,237.770589694
183.652,237.923099887
183.667,238.074907247
183.682,238.226155327
183.697,238.376951496
183.712,238.527374795
183.727,238.677482056
183.742,238.827312712
183.757,238.976892577
183.772,239.126236837
183.787,239.27535241
183.802,239.424239829
183.817,239.572894731
183.832,239.721309046
183.847,239.869471943
183.862,240.017370578
183.877,240.164990698
183.892,240.312317112
183.907,240.459334068
183.922,240.606025552
183.937,240.752375518
183.952,240.898368071
183.967,241.04398761
183.982,241.189218932
183.997,241.334047318
184.012,241.478458589
184.027,241.622439151
184.042,241.765976024
184.057,241.909056862
184.072,242.051669962
184.087,242.193804265
184.102,242.335449358
184.117,242.476595467
184.132,242.617233444
184.147,242.75735476
184.162,242.896951488
184.177,243.036016288
184.192,243.174542392
184.207,243.312523588
184.222,243.4499542
184.237,243.586829072
184.252,243.723143551
184.267,243.858893468
184.282,243.99407512
184.297,244.128685256
184.312,244.262721053
184.327,244.396180107
184.342,244.529060411
184.357,244.66136034
184.372,244.793078635
184.387,244.924214389
184.402,245.054767028
184.417,245.184736299
184.432,245.314122254
184.447,245.442925236
184.462,245.571145867
184.477,245.69878503
184.492,245.825843861
184.507,245.952323734
184.522,246.078226245
184.537,246.203553209
184.552,246.328306638
184.56,246.394608043
184.567,246.452488739
184.582,246.576101895
184.597,246.699148661
184.612,246.821631751
184.627,246.943554028
184.642,247.064918495
184.657,247.185728287
184.672,247.30598666
184.687,247.425696985
184.702,247.54486274
