# 78954 TBPB Grantley Adams Observations at 12Z 11 Jul 2019
Frequency [GHz],TB
175.31,284.616966503
175.322,284.603305049
175.337,284.586174204
175.352,284.568983338
175.367,284.551732464
175.382,284.53442159
175.397,284.517050729
175.412,284.499619888
175.427,284.482129078
175.442,284.464578307
175.457,284.446967583
175.472,284.429296914
175.487,284.411566307
175.502,284.393775769
175.517,284.375925305
175.532,284.358014921
175.547,284.340044622
175.562,284.322014411
175.577,284.303924293
175.592,284.285774268
175.607,284.267564339
175.622,284.249294508
175.637,284.230964775
175.652,284.212575138
175.667,284.194125597
175.682,284.175616149
175.697,284.157046792
175.712,284.138417521
175.727,284.119728332
175.742,284.100979217
175.757,284.082170171
175.772,284.063301185
175.787,284.044372251
175.802,284.025383358
175.817,284.006334495
175.832,283.98722565
175.847,283.96805681
175.862,283.948827959
175.877,283.929539084
175.892,283.910190164
175.907,283.890781184
175.922,283.871312123
175.937,283.851782961
175.952,283.832193675
175.967,283.812544243
175.982,283.792834638
175.997,283.773064835
176.012,283.753234805
176.027,283.733344522
176.042,283.713393951
176.057,283.693383063
176.072,283.673311823
176.087,283.653180195
176.102,283.632988144
176.117,283.61273563
176.132,283.592422613
176.147,283.572049051
176.162,283.551614901
176.177,283.531120117
176.192,283.510564653
176.207,283.489948458
176.222,283.469271484
176.237,283.448533677
176.252,283.427734982
176.267,283.406875343
176.282,283.385954702
176.297,283.364972999
176.31,283.346739416
176.312,283.343930171
176.327,283.322826155
176.342,283.301660884
176.357,283.280434289
176.372,283.2591463
176.387,283.237796844
176.402,283.216385848
176.417,283.194913232
176.432,283.17337892
176.447,283.151782828
176.46,283.133016178
176.462,283.130124874
176.477,283.10840497
176.492,283.08662303
176.507,283.064778963
176.522,283.042872674
176.537,283.020904069
176.552,282.99887305
176.567,282.976779515
176.582,282.954623364
176.597,282.932404489
176.612,282.910122782
176.627,282.887778134
176.642,282.865370431
176.657,282.842899556
176.672,282.820365392
176.687,282.797767816
176.702,282.775106706
176.717,282.752381934
176.732,282.72959337
176.747,282.706740883
176.762,282.683824336
176.777,282.660843592
176.792,282.637798509
176.807,282.614688944
176.822,282.591514749
176.837,282.568275774
176.852,282.544971867
176.867,282.521602872
176.882,282.498168628
176.897,282.474668973
176.912,282.451103743
176.927,282.427472769
176.942,282.403775878
176.957,282.380012896
176.972,282.356183644
176.987,282.33228794
177.002,282.308325599
177.017,282.284296434
177.032,282.260200251
177.047,282.236036857
177.062,282.211806051
177.077,282.187507633
177.092,282.163141395
177.107,282.13870713
177.122,282.114204624
177.137,282.08963366
177.152,282.064994019
177.167,282.040285477
177.182,282.015507806
177.197,281.990660775
177.21,281.969070396
177.212,281.965744149
177.227,281.940757689
177.242,281.915701153
177.257,281.890574293
177.272,281.86537686
177.287,281.840108599
177.302,281.814769251
177.31,281.801225776
177.317,281.789358555
177.332,281.763876244
177.347,281.738322047
177.362,281.712695689
177.377,281.686996892
177.392,281.661225373
177.407,281.635380845
177.422,281.609463016
177.437,281.58347159
177.452,281.557406268
177.467,281.531266745
177.482,281.505052712
177.497,281.478763856
177.512,281.452399859
177.527,281.425960399
177.542,281.399445149
177.557,281.372853777
177.572,281.346185949
177.587,281.319441322
177.602,281.292619551
177.617,281.265720287
177.632,281.238743174
177.647,281.211687852
177.66,281.188176363
177.662,281.184553958
177.677,281.15734112
177.692,281.130048965
177.707,281.102677113
177.722,281.07522518
177.737,281.047692775
177.752,281.020079504
177.767,280.992384967
177.782,280.964608759
177.797,280.936750468
177.812,280.90880968
177.827,280.880785972
177.842,280.852678919
177.857,280.824488088
177.872,280.796213042
177.887,280.767853336
177.902,280.739408524
177.917,280.710878149
177.932,280.682261752
177.947,280.653558867
177.96,280.628612709
177.962,280.624769022
177.977,280.595891739
177.992,280.566926535
178.007,280.53787292
178.022,280.508730398
178.037,280.479498468
178.052,280.450176622
178.067,280.420764345
178.082,280.391261118
178.097,280.361666412
178.112,280.331979696
178.127,280.302200429
178.142,280.272328066
178.157,280.242362053
178.172,280.212301832
178.187,280.182146835
178.202,280.151896491
178.217,280.121550218
178.232,280.091107432
178.247,280.060567537
178.262,280.029929933
178.277,279.999194013
178.292,279.968359161
178.307,279.937424754
178.322,279.906390163
178.337,279.875254751
178.352,279.844017873
178.367,279.812678877
178.382,279.781237103
178.397,279.749691883
178.41,279.722268495
178.412,279.718042542
178.427,279.686288396
178.442,279.654428754
178.457,279.622462916
178.472,279.590390176
178.487,279.558209815
178.502,279.525921112
178.517,279.493523332
178.532,279.461015736
178.547,279.428397572
178.562,279.395668082
178.577,279.3628265
178.592,279.329872049
178.607,279.296803944
178.622,279.26362139
178.637,279.230323584
178.652,279.196909713
178.667,279.163378955
178.682,279.129730479
178.697,279.095963443
178.712,279.062076996
178.727,279.028070277
178.742,278.993942415
178.757,278.95969253
178.772,278.92531973
178.787,278.890823115
178.802,278.856201772
178.817,278.821454779
178.832,278.786581203
178.847,278.751580102
178.862,278.716450519
178.877,278.681191489
178.892,278.645802036
178.907,278.610281172
178.922,278.574627897
178.937,278.5388412
178.952,278.502920058
178.967,278.466863437
178.982,278.43067029
178.997,278.394339559
179.012,278.357870172
179.027,278.321261047
179.042,278.284511087
179.057,278.247619183
179.072,278.210584215
179.087,278.173405047
179.102,278.136080532
179.117,278.098609509
179.132,278.060990803
179.147,278.023223225
179.16,277.990369976
179.162,277.985305575
179.177,277.947236634
179.192,277.909015173
179.207,277.870639946
179.222,277.832109695
179.237,277.793423145
179.252,277.754579008
179.267,277.715575977
179.282,277.676412735
179.297,277.637087945
179.312,277.597600257
179.327,277.557948303
179.342,277.518130701
179.357,277.478146051
179.372,277.437992937
179.387,277.397669926
179.402,277.357175568
179.417,277.316508395
179.432,277.275666924
179.447,277.234649651
179.462,277.193455056
179.477,277.1520816
179.492,277.110527726
179.507,277.068791859
179.522,277.026872402
179.537,276.984767742
179.552,276.942476245
179.567,276.899996257
179.582,276.857326105
179.597,276.814464094
179.612,276.771408509
179.627,276.728157616
179.642,276.684709656
179.657,276.641062851
179.672,276.597215401
179.687,276.553165482
179.702,276.508911249
179.717,276.464450834
179.732,276.419782345
179.747,276.374903866
179.762,276.329813459
179.777,276.28450916
179.792,276.23898898
179.807,276.193250907
179.822,276.147292901
179.837,276.101112897
179.852,276.054708805
179.867,276.008078506
179.882,275.961219856
179.897,275.914130681
179.91,275.873131894
179.912,275.866808781
179.927,275.819251927
179.942,275.771457861
179.957,275.723424294
179.972,275.67514891
179.987,275.62662936
180.002,275.577863265
180.017,275.528848214
180.032,275.479581766
180.047,275.430061444
180.062,275.380284741
180.077,275.330249113
180.092,275.279951985
180.107,275.229390746
180.122,275.178562747
180.137,275.127465307
180.152,275.076095704
180.167,275.024451182
180.182,274.972528943
180.197,274.920326155
180.212,274.867839941
180.227,274.815067387
180.242,274.762005537
180.257,274.708651393
180.272,274.655001915
180.287,274.601054017
180.302,274.546804572
180.317,274.492250406
180.332,274.437388298
180.347,274.382214982
180.362,274.326727142
180.377,274.270921415
180.392,274.214794387
180.407,274.158342594
180.422,274.101562518
180.437,274.04445059
180.452,273.987003187
180.467,273.929216631
180.482,273.871087186
180.497,273.812611061
180.512,273.753784404
180.527,273.694603305
180.542,273.635063793
180.557,273.575161833
180.56,273.563137588
180.572,273.514893329
180.587,273.454254117
180.602,273.393239969
180.617,273.331846589
180.632,273.27006961
180.647,273.207904597
180.66,273.153710892
180.662,273.14534704
180.677,273.082392359
180.692,273.019035895
180.707,272.955272914
180.722,272.891098603
180.737,272.826508069
180.752,272.761496338
180.767,272.69605835
180.782,272.630188961
180.797,272.563882939
180.812,272.497134963
180.827,272.429939621
180.842,272.362291407
180.857,272.29418472
180.872,272.225613862
180.887,272.156573036
180.902,272.087056341
180.917,272.017057776
180.932,271.94657123
180.947,271.875590487
180.962,271.804109218
180.977,271.732120982
180.992,271.659619223
181.007,271.586597265
181.022,271.513048313
181.037,271.438965449
181.052,271.364341629
181.067,271.28916968
181.082,271.2134423
181.097,271.13715205
181.112,271.060291357
181.127,270.982852507
181.142,270.904827644
181.157,270.826208768
181.172,270.746987729
181.187,270.667156225
181.202,270.586705803
181.217,270.505627849
181.232,270.42391359
181.247,270.341554089
181.262,270.258540242
181.277,270.174862774
181.292,270.090512237
181.307,270.005479007
181.31,269.988389578
181.322,269.919753277
181.337,269.83332506
181.352,269.746184179
181.367,269.658320268
181.382,269.569722766
181.397,269.480380916
181.412,269.390283758
181.427,269.299420129
181.442,269.207778658
181.457,269.115347762
181.472,269.022115644
181.487,268.928070287
181.502,268.833199452
181.517,268.737490676
181.532,268.640931265
181.547,268.543508294
181.562,268.4452086
181.577,268.346018782
181.592,268.245925195
181.607,268.144913948
181.622,268.042970901
181.637,267.940081658
181.652,267.836231571
181.667,267.731405729
181.682,267.625588958
181.697,267.51876582
181.712,267.410920608
181.727,267.30203734
181.742,267.192099762
181.757,267.081091341
181.772,266.968995263
181.787,266.855794431
181.802,266.741471462
181.817,266.626008685
181.832,266.509388135
181.847,266.391591558
181.862,266.272600399
181.877,266.152395809
181.892,266.030958635
181.907,265.908269424
181.922,265.784308417
181.937,265.659055547
181.952,265.532490438
181.967,265.404592404
181.982,265.275340443
181.997,265.144713238
182.012,265.012689153
182.027,264.87924623
182.042,264.744362187
182.057,264.608014415
182.06,264.5805672
182.072,264.470179972
182.087,264.33083558
182.102,264.189957623
182.117,264.047522137
182.132,263.903504806
182.147,263.757880955
182.162,263.610625538
182.177,263.461713133
182.192,263.311117926
182.207,263.158813697
182.222,263.004773809
182.237,262.848971179
182.252,262.691378267
182.267,262.531967039
182.282,262.370708946
182.297,262.20757488
182.312,262.042535139
182.327,261.875559373
182.342,261.706616533
182.357,261.5356748
182.372,261.362701514
182.387,261.187663081
182.402,261.010524875
182.417,260.831251116
182.432,260.649804735
182.447,260.466147214
182.462,260.280238403
182.477,260.092036309
182.492,259.901496847
182.507,259.708573564
182.522,259.513217302
182.537,259.315375832
182.552,259.114993408
182.567,258.91201027
182.582,258.706362061
182.597,258.497979157
182.612,258.286785889
182.627,258.072699652
182.642,257.855629865
182.657,257.635476779
182.672,257.412130086
182.687,257.185467323
182.702,256.955352008
182.717,256.72163149
182.732,256.484134447
182.747,256.242667986
182.762,255.997014268
182.777,255.746926575
182.792,255.492124739
182.807,255.232289793
182.822,254.967057733
182.837,254.696012212
182.852,254.41867598
182.867,254.134500836
182.882,253.842855813
182.897,253.543013258
182.912,253.23413242
182.927,252.915240036
182.942,252.585207354
182.957,252.242722874
182.972,251.88625997
182.987,251.514038362
183.002,251.123978247
183.017,250.713645639
183.032,250.280187266
183.047,249.820253169
183.062,249.329904997
183.077,248.804508153
183.092,248.238606486
183.107,247.625779879
183.122,246.95848864
183.137,246.227915946
183.152,245.423834048
183.167,244.53454738
183.182,243.547016641
183.197,242.447361327
183.212,241.222111686
183.227,239.860931669
183.242,238.362374674
183.257,236.74659272
183.367,237.140538141
183.382,238.723717064
