# 10410 EDZE Essen Observations at 12Z 18 Jul 2019
Frequency [GHz],TB
175.31,274.272817766
175.322,274.256824383
175.337,274.236697524
175.352,274.216420498
175.367,274.195993268
175.382,274.17541581
175.397,274.154688111
175.412,274.133810151
175.427,274.112781913
175.442,274.091603397
175.457,274.0702746
175.472,274.04879552
175.487,274.027166168
175.502,274.005386553
175.517,273.983456691
175.532,273.961376598
175.547,273.939146304
175.562,273.916765835
175.577,273.894235226
175.592,273.871554517
175.607,273.848723742
175.622,273.825742958
175.637,273.802612211
175.652,273.779331559
175.667,273.755901062
175.682,273.732320783
175.697,273.708590791
175.712,273.684711166
175.727,273.660681979
175.742,273.636503316
175.757,273.612175266
175.772,273.587697918
175.787,273.563071367
175.802,273.538295714
175.817,273.513371068
175.832,273.488297533
175.847,273.463075223
175.862,273.437704262
175.877,273.412184762
175.892,273.386516857
175.907,273.360700674
175.922,273.334736351
175.937,273.308624026
175.952,273.28236384
175.967,273.255955945
175.982,273.229400489
175.997,273.202697633
176.012,273.175847526
176.027,273.148850346
176.042,273.121706255
176.057,273.094415425
176.072,273.066978029
176.087,273.039394255
176.102,273.011664281
176.117,272.983788294
176.132,272.955766494
176.147,272.927599066
176.162,272.899286218
176.177,272.870828151
176.192,272.842225071
176.207,272.813477188
176.222,272.784584716
176.237,272.75554788
176.252,272.72636689
176.267,272.697041979
176.282,272.667573372
176.297,272.637961305
176.31,272.612181645
176.312,272.608206005
176.327,272.578307718
176.342,272.548266685
176.357,272.518083153
176.372,272.487757361
176.387,272.457289572
176.402,272.426680035
176.417,272.395929003
176.432,272.365036744
176.447,272.334003517
176.46,272.306994232
176.462,272.302829588
176.477,272.27151523
176.492,272.240060712
176.507,272.208466307
176.522,272.176732296
176.537,272.144858954
176.552,272.112846566
176.567,272.080695419
176.582,272.048405794
176.597,272.015977982
176.612,271.983412274
176.627,271.950708969
176.642,271.917868355
176.657,271.884890735
176.672,271.851776407
176.687,271.818525668
176.702,271.78513883
176.717,271.751616195
176.732,271.717958065
176.747,271.684164756
176.762,271.650236571
176.777,271.616173824
176.792,271.581976832
176.807,271.547645902
176.822,271.513181354
176.837,271.478583503
176.852,271.443852666
176.867,271.408989163
176.882,271.373993314
176.897,271.338865433
176.912,271.30360585
176.927,271.268214881
176.942,271.232692855
176.957,271.197040085
176.972,271.161256902
176.987,271.125343629
177.002,271.089300582
177.017,271.053128097
177.032,271.01682649
177.047,270.980396087
177.062,270.943837215
177.077,270.907150193
177.092,270.870335351
177.107,270.83339301
177.122,270.796323492
177.137,270.759127118
177.152,270.721804215
177.167,270.684355098
177.182,270.646780096
177.197,270.609079521
177.21,270.576304366
177.212,270.571253697
177.227,270.53330294
177.242,270.495227568
177.257,270.457027895
177.272,270.418704237
177.287,270.380256904
177.302,270.341686214
177.31,270.321064844
177.317,270.30299247
177.332,270.264175985
177.347,270.225237068
177.362,270.186176025
177.377,270.146993148
177.392,270.107688748
177.407,270.068263125
177.422,270.028716573
177.437,269.989049388
177.452,269.949261866
177.467,269.909354292
177.482,269.869326958
177.497,269.829180152
177.512,269.788914149
177.527,269.748529241
177.542,269.708025696
177.557,269.667403795
177.572,269.626663804
177.587,269.585806
177.602,269.544830643
177.617,269.503737996
177.632,269.462528322
177.647,269.421201879
177.66,269.385291365
177.662,269.379758913
177.677,269.338199683
177.692,269.296524428
177.707,269.254733392
177.722,269.212826818
177.737,269.17080494
177.752,269.128667987
177.767,269.08641619
177.782,269.044049773
177.797,269.001568951
177.812,268.958973948
177.827,268.91626497
177.842,268.873442228
177.857,268.830505924
177.872,268.787456258
177.887,268.744293425
177.902,268.701017615
177.917,268.657629015
177.932,268.614127809
177.947,268.570514173
177.96,268.532624874
177.962,268.526788277
177.977,268.482950288
177.992,268.439000374
178.007,268.394938691
178.022,268.350765396
178.037,268.306480634
178.052,268.262084548
178.067,268.217577281
178.082,268.172958964
178.097,268.12822973
178.112,268.083389699
178.127,268.03843899
178.142,267.993377721
178.157,267.948205994
178.172,267.902923917
178.187,267.857531588
178.202,267.812029099
178.217,267.766416534
178.232,267.720693981
178.247,267.674861512
178.262,267.6289192
178.277,267.582867109
178.292,267.536705301
178.307,267.490433831
178.322,267.444052747
178.337,267.397562091
178.352,267.350961903
178.367,267.304252216
178.382,267.257433053
178.397,267.210504438
178.41,267.169744447
178.412,267.163466383
178.427,267.116318902
178.442,267.069061995
178.457,267.021695659
178.472,266.974219891
178.487,266.926634668
178.502,266.878939979
178.517,266.831135794
178.532,266.783222084
178.547,266.735198808
178.562,266.687065924
178.577,266.638823384
178.592,266.590471129
178.607,266.542009104
178.622,266.493437233
178.637,266.444755447
178.652,266.395963664
178.667,266.347061803
178.682,266.298049767
178.697,266.248927459
178.712,266.199694774
178.727,266.150351603
178.742,266.100897827
178.757,266.051333324
178.772,266.001657966
178.787,265.951871612
178.802,265.901974126
178.817,265.851965355
178.832,265.801845146
178.847,265.751613335
178.862,265.701269757
178.877,265.650814236
178.892,265.600246589
