# 48698 WSSS Singapore Observations at 12Z 21 Aug 2019
Frequency [GHz],TB
175.31,278.266009348
175.322,278.246114823
175.337,278.221191585
175.352,278.196206979
175.367,278.171160824
175.382,278.146052928
175.397,278.120883104
175.412,278.095651167
175.427,278.070356925
175.442,278.045000189
175.457,278.019580766
175.472,277.994098457
175.487,277.968553067
175.502,277.942944396
175.517,277.917272253
175.532,277.891536431
175.547,277.865736729
175.562,277.83987294
175.577,277.813944866
175.592,277.787952291
175.607,277.761895014
175.622,277.735772815
175.637,277.709585491
175.652,277.683332823
175.667,277.657014602
175.682,277.630630602
175.697,277.60418061
175.712,277.577664402
175.727,277.551081753
175.742,277.524432449
175.757,277.497716259
175.772,277.47093295
175.787,277.4440823
175.802,277.417164073
175.817,277.390178041
175.832,277.363123967
175.847,277.336001609
175.862,277.308810733
175.877,277.281551098
175.892,277.254222464
175.907,277.226824583
175.922,277.19935721
175.937,277.171820097
175.952,277.144212998
175.967,277.116535654
175.982,277.088787817
175.997,277.060969223
176.012,277.033079623
176.027,277.005118754
176.042,276.977086351
176.057,276.948982152
176.072,276.920805891
176.087,276.8925573
176.102,276.864236106
176.117,276.835842041
176.132,276.807374828
176.147,276.778834192
176.162,276.750219848
176.177,276.721531524
176.192,276.692768929
176.207,276.663931783
176.222,276.635019794
176.237,276.606032673
176.252,276.576970129
176.267,276.547831867
176.282,276.518617593
176.297,276.489326997
176.31,276.463879859
176.312,276.459959792
176.327,276.43051567
176.342,276.400994321
176.357,276.371395436
176.372,276.341718707
176.387,276.311963822
176.402,276.282130462
176.417,276.252218308
176.432,276.222227046
176.447,276.192156347
176.46,276.16603057
176.462,276.162005886
176.477,276.131775335
176.492,276.101464365
176.507,276.071072644
176.522,276.040599833
176.537,276.010045594
176.552,275.979409587
176.567,275.948691465
176.582,275.917890891
176.597,275.887007505
176.612,275.856040965
176.627,275.82499091
176.642,275.793856986
176.657,275.762638834
176.672,275.731336091
176.687,275.699948388
176.702,275.668475363
176.717,275.636916643
176.732,275.605271853
176.747,275.573540621
176.762,275.54172256
176.777,275.509817293
176.792,275.477824437
176.807,275.445743601
176.822,275.413574395
176.837,275.381316425
176.852,275.348969294
176.867,275.316532603
176.882,275.284005947
176.897,275.251388922
176.912,275.218681121
176.927,275.185882131
176.942,275.152991531
176.957,275.120008916
176.972,275.086933852
176.987,275.05376592
177.002,275.020504694
177.017,274.987149741
177.032,274.953700629
177.047,274.920156922
177.062,274.886518172
177.077,274.852783945
177.092,274.81895379
177.107,274.785027258
177.122,274.751003892
177.137,274.716883244
177.152,274.68266484
177.167,274.648348229
177.182,274.613932939
177.197,274.579418504
177.21,274.549425425
177.212,274.544804444
177.227,274.510090288
177.242,274.47527555
177.257,274.440359751
177.272,274.405342399
177.287,274.370223006
177.302,274.335001079
177.31,274.316173952
177.317,274.299676113
177.332,274.264247615
177.347,274.228715073
177.362,274.193077984
177.377,274.157335832
177.392,274.121488098
177.407,274.08553427
177.422,274.049473818
177.437,274.01330622
177.452,273.97703094
177.467,273.940647448
177.482,273.904155204
177.497,273.867553664
177.512,273.830842284
177.527,273.794020516
177.542,273.757087803
177.557,273.720043591
177.572,273.682887316
177.587,273.645618418
177.602,273.608236327
177.617,273.570740465
177.632,273.533130257
177.647,273.495405129
177.66,273.462616602
177.662,273.457564491
177.677,273.419607752
177.692,273.381534328
177.707,273.343343617
177.722,273.305035019
177.737,273.266607931
177.752,273.228061746
177.767,273.189395847
177.782,273.150609624
177.797,273.111702452
177.812,273.072673709
177.827,273.033522765
177.842,272.994248988
177.857,272.954851741
177.872,272.915330384
177.887,272.875684269
177.902,272.835912751
177.917,272.79601518
177.932,272.75599089
177.947,272.715839224
177.96,272.680937565
177.962,272.675559515
177.977,272.635151096
177.992,272.594613292
178.007,272.553945424
178.022,272.513146811
178.037,272.472216763
178.052,272.431154592
178.067,272.389959602
178.082,272.348631098
178.097,272.30716837
178.112,272.265570717
178.127,272.223837424
178.142,272.181967772
178.157,272.139961049
178.172,272.097816523
178.187,272.055533465
178.202,272.01311115
178.217,271.970548836
178.232,271.927845779
178.247,271.885001238
178.262,271.842014464
178.277,271.798884697
178.292,271.755611183
178.307,271.71219316
178.322,271.668629861
178.337,271.624920517
178.352,271.581064348
178.367,271.537060577
178.382,271.492908426
178.397,271.448607101
178.41,271.410091344
178.412,271.404155811
178.427,271.359553763
178.442,271.314800161
178.457,271.269894188
178.472,271.22483505
178.487,271.179621925
178.502,271.134254003
178.517,271.088730459
178.532,271.043050473
178.547,270.997213217
178.562,270.951217849
178.577,270.905063545
178.592,270.858749457
178.607,270.812274743
178.622,270.765638556
178.637,270.718840039
178.652,270.671878341
178.667,270.624752598
178.682,270.57746195
178.697,270.530005525
178.712,270.482382454
178.727,270.434591862
178.742,270.386632871
178.757,270.338504592
178.772,270.290206146
178.787,270.241736639
178.802,270.193095177
178.817,270.144280864
178.832,270.095292798
178.847,270.046130076
178.862,269.996791787
178.877,269.947277023
178.892,269.897584864
178.907,269.847714396
178.922,269.797664698
178.937,269.747434839
178.952,269.697023895
178.967,269.646430935
178.982,269.59565502
178.997,269.544695219
179.012,269.493550582
179.027,269.442220169
179.042,269.390703032
179.057,269.338998223
179.072,269.287104782
179.087,269.235021759
179.102,269.182748192
179.117,269.130283121
179.132,269.077625575
179.147,269.024774591
179.16,268.978813187
179.162,268.971729201
179.177,268.918488427
179.192,268.865051293
179.207,268.81141682
179.222,268.757584031
179.237,268.70355194
179.252,268.649319562
179.267,268.594885906
179.282,268.540249984
179.297,268.485410799
179.312,268.430367361
179.327,268.375118667
179.342,268.319663719
179.357,268.264001514
179.372,268.208131049
179.387,268.152051316
179.402,268.095761306
179.417,268.03926001
179.432,267.982546418
179.447,267.925619505
179.462,267.868478266
179.477,267.811121676
179.492,267.753548719
179.507,267.695758368
179.522,267.637749602
179.537,267.579521394
179.552,267.521072715
179.567,267.462402537
179.582,267.403509833
179.597,267.344393564
179.612,267.285052693
179.627,267.225486189
179.642,267.165693016
179.657,267.105672128
179.672,267.045422486
179.687,266.984943049
179.702,266.924232769
179.717,266.863290596
179.732,266.802115487
179.747,266.74070639
179.762,266.679062253
179.777,266.617182019
179.792,266.555064636
179.807,266.49270904
179.822,266.430114178
179.837,266.367278984
179.852,266.304202393
179.867,266.240883342
179.882,266.177320758
179.897,266.113513572
179.91,266.058015327
179.912,266.04946071
179.927,265.985161095
179.942,265.920613651
179.957,265.855817293
179.972,265.790770936
179.987,265.725473499
180.002,265.65992388
180.017,265.594120994
180.032,265.52806374
180.047,265.461751016
180.062,265.395181716
180.077,265.328354735
180.092,265.261268956
180.107,265.193923257
180.122,265.126316521
180.137,265.058447616
180.152,264.990315414
180.167,264.92191877
180.182,264.853256546
180.197,264.784327584
180.212,264.715130729
180.227,264.645664821
180.242,264.575928684
180.257,264.505921139
180.272,264.435641007
180.287,264.365087082
180.302,264.294258169
180.317,264.223153052
180.332,264.151770508
180.347,264.080109309
180.362,264.008168203
180.377,263.935945946
180.392,263.863441262
180.407,263.790652883
180.422,263.717579507
180.437,263.64421984
180.452,263.570572559
180.467,263.496636331
180.482,263.422409808
180.497,263.347891623
180.512,263.273080397
180.527,263.19797473
180.542,263.122573207
180.557,263.046874386
180.56,263.031698819
180.572,262.970876819
180.587,262.894579018
180.602,262.817979492
180.617,262.741076717
180.632,262.663869146
180.647,262.586355207
180.66,262.51892741
180.662,262.508533303
180.677,262.430401816
180.692,262.351959093
180.707,262.273203455
180.722,262.194133188
180.737,262.114746556
180.752,262.035041783
