# 48698 WSSS Singapore Observations at 12Z 15 Sep 2019
Frequency [GHz],TB
175.31,278.841993476
175.322,278.82198076
175.337,278.79690522
175.352,278.771763192
175.367,278.74655448
175.382,278.721278875
175.397,278.695936171
175.412,278.670526139
175.427,278.64504857
175.442,278.61950327
175.457,278.593889986
175.472,278.568208524
175.487,278.542458662
175.502,278.516640153
175.517,278.49075279
175.532,278.464796348
175.547,278.438770592
175.562,278.412675305
175.577,278.386510226
175.592,278.360275142
175.607,278.33396982
175.622,278.307594016
175.637,278.281147484
175.652,278.254629986
175.667,278.228041277
175.682,278.201381126
175.697,278.174649259
175.712,278.147845457
175.727,278.120969423
175.742,278.094020959
175.757,278.066999765
175.772,278.039905614
175.787,278.012738223
175.802,277.98549734
175.817,277.958182699
175.832,277.930794045
175.847,277.903331088
175.862,277.875793568
175.877,277.848181222
175.892,277.820493753
175.907,277.792730906
175.922,277.764892395
175.937,277.736977922
175.952,277.708987238
175.967,277.680920023
175.982,277.652776002
175.997,277.624554892
176.012,277.596256394
176.027,277.567880203
176.042,277.539426028
176.057,277.51089357
176.072,277.48228253
176.087,277.453592603
176.102,277.424823472
176.117,277.395974843
176.132,277.367046395
176.147,277.338037801
176.162,277.308948757
176.177,277.279778954
176.192,277.250528051
176.207,277.221195729
176.222,277.191781655
176.237,277.16228552
176.252,277.132706971
176.267,277.103045675
176.282,277.073301299
176.297,277.043473499
176.31,277.017555
176.312,277.01356193
176.327,276.983566256
176.342,276.953486117
176.357,276.923321176
176.372,276.893071063
176.387,276.862735427
176.402,276.832313909
176.417,276.801806138
176.432,276.77121176
176.447,276.740530398
176.46,276.713869237
176.462,276.709761682
176.477,276.678905244
176.492,276.647960699
176.507,276.61692767
176.522,276.585805782
176.537,276.554594626
176.552,276.523293822
176.567,276.491902998
176.582,276.460421737
176.597,276.428849634
176.612,276.397186308
176.627,276.365431334
176.642,276.333584316
176.657,276.301644834
176.672,276.269612493
176.687,276.237486839
176.702,276.205267488
176.717,276.172954001
176.732,276.140545932
176.747,276.108042876
176.762,276.075444378
176.777,276.042750006
176.792,276.009959333
176.807,275.977071888
176.822,275.944087236
176.837,275.911004924
176.852,275.877824493
176.867,275.844545486
176.882,275.811167441
176.897,275.777689881
176.912,275.744112344
176.927,275.710434352
176.942,275.676655431
176.957,275.642775079
176.972,275.608792841
176.987,275.57470821
177.002,275.540520686
177.017,275.506229795
177.032,275.471835005
177.047,275.437335826
177.062,275.402731744
177.077,275.368022247
177.092,275.33320681
177.107,275.29828492
177.122,275.263256052
177.137,275.228119663
177.152,275.192875223
177.167,275.157522196
177.182,275.12206004
177.197,275.0864882
177.21,275.055570119
177.212,275.050806113
177.227,275.01501325
177.242,274.979109023
177.257,274.943092877
177.272,274.906964235
177.287,274.870722532
177.302,274.834367163
177.31,274.814930972
177.317,274.797897577
177.332,274.761313155
177.347,274.724613323
177.362,274.687797464
177.377,274.650864982
177.392,274.613815262
177.407,274.576647691
177.422,274.539361653
177.437,274.501956515
177.452,274.464431649
177.467,274.42678642
177.482,274.389020192
177.497,274.351132312
177.512,274.313122113
177.527,274.274988967
177.542,274.236732193
177.557,274.198351125
177.572,274.159845087
177.587,274.121213398
177.602,274.082455378
177.617,274.043570327
177.632,274.004557549
177.647,273.965416338
177.66,273.931389525
177.662,273.926145984
177.677,273.886745787
177.692,273.847214996
177.707,273.807552899
177.722,273.767758752
177.737,273.727831829
177.752,273.687771357
177.767,273.647576603
177.782,273.60724678
177.797,273.566781161
177.812,273.526178925
177.827,273.485439324
177.842,273.44456154
177.857,273.403544792
177.872,273.362388275
177.887,273.321091182
177.902,273.279652682
177.917,273.238071962
177.932,273.196348178
177.947,273.154480494
177.96,273.118078113
177.962,273.112468056
177.977,273.07031002
177.992,273.028005503
178.007,272.985553643
178.022,272.94295356
178.037,272.900204359
178.052,272.857305142
178.067,272.814255009
178.082,272.771053043
178.097,272.727698309
178.112,272.684189877
178.127,272.640526824
178.142,272.596708185
178.157,272.55273299
178.172,272.508600291
178.187,272.464309093
178.202,272.419858418
178.217,272.375247257
178.232,272.330474615
178.247,272.285539456
178.262,272.240440771
178.277,272.195177513
178.292,272.149748628
178.307,272.104153065
178.322,272.058389742
178.337,272.012457591
178.352,271.966355507
178.367,271.920082397
178.382,271.873637134
178.397,271.827018605
178.41,271.786474848
178.412,271.780225667
178.427,271.733257162
178.442,271.686111943
178.457,271.638788823
178.472,271.591286611
178.487,271.543604109
178.502,271.495740122
178.517,271.447693401
178.532,271.399462725
178.547,271.351046825
178.562,271.302444461
178.577,271.253654335
178.592,271.204675143
178.607,271.155505606
178.622,271.106144377
178.637,271.056590127
178.652,271.006841513
178.667,270.956897151
178.682,270.906755681
178.697,270.856415686
178.712,270.805875753
178.727,270.755134461
178.742,270.704190369
178.757,270.653042004
178.772,270.601687887
178.787,270.550126524
178.802,270.498356408
178.817,270.446375992
178.832,270.394183742
178.847,270.34177809
178.862,270.289157429
178.877,270.236320184
178.892,270.183264712
178.907,270.129989379
178.922,270.076492517
178.937,270.022772447
178.952,269.968827462
178.967,269.914655845
178.982,269.860255848
178.997,269.805625705
179.012,269.750763633
179.027,269.695667829
179.042,269.640336442
179.057,269.584767631
179.072,269.528959524
179.087,269.47291022
179.102,269.416617798
179.117,269.3600803
179.132,269.303295754
179.147,269.246262193
179.16,269.196630078
179.162,269.188977552
179.177,269.131439807
179.192,269.073646896
179.207,269.015596694
179.222,268.957287109
179.237,268.898715966
179.252,268.839881072
179.267,268.78078025
179.282,268.721411242
179.297,268.66177179
179.312,268.601859601
179.327,268.541672354
179.342,268.481207684
179.357,268.420463205
179.372,268.359436527
179.387,268.298125178
179.402,268.236526686
179.417,268.174638538
179.432,268.112458187
179.447,268.049983069
179.462,267.987210556
179.477,267.924138018
179.492,267.860762751
179.507,267.797082062
179.522,267.733093186
179.537,267.668793343
179.552,267.604179703
179.567,267.539249398
179.582,267.473999538
179.597,267.408427184
179.612,267.342529349
179.627,267.276303006
179.642,267.209745125
179.657,267.142852592
179.672,267.07562226
179.687,267.00805096
179.702,266.940135466
179.717,266.871872496
179.732,266.803258774
179.747,266.734290898
179.762,266.664965512
179.777,266.59527915
179.792,266.52522832
179.807,266.454809491
179.822,266.384019088
179.837,266.312853472
179.852,266.241308965
179.867,266.169381826
179.882,266.097068301
179.897,266.024364548
179.91,265.961035983
179.912,265.95126669
179.927,265.877770805
179.942,265.803872916
179.957,265.729568975
179.972,265.654854887
179.987,265.579726547
180.002,265.504179738
180.017,265.428210218
180.032,265.351813682
180.047,265.274985769
180.062,265.197722072
180.077,265.120018107
180.092,265.04186933
180.107,264.963271196
180.122,264.884219018
180.137,264.804708105
180.152,264.724733689
180.167,264.644290942
180.182,264.56337498
180.197,264.481980847
180.212,264.400103543
180.227,264.317737979
180.242,264.234879031
180.257,264.151521494
180.272,264.067660103
180.287,263.983289539
180.302,263.8984044
180.317,263.812999243
180.332,263.727068521
180.347,263.640606669
180.362,263.553608019
180.377,263.46606686
180.392,263.37797739
180.407,263.28933376
180.422,263.200130055
180.437,263.110360272
180.452,263.020018362
180.467,262.929098211
180.482,262.8375936
180.497,262.745498282
180.512,262.652805938
180.527,262.559510149
180.542,262.465604457
180.557,262.371082339
180.56,262.352103366
180.572,262.275937182
180.587,262.180162323
180.602,262.083751028
180.617,261.986696481
180.632,261.888991825
180.647,261.790630122
180.66,261.704846415
180.662,261.691604362
180.677,261.591907491
180.692,261.491532365
180.707,261.390471788
180.722,261.288718508
180.737,261.186265194
180.752,261.083104469
180.767,260.979228896
180.782,260.874630957
180.797,260.769303085
180.812,260.663237686
180.827,260.556427068
180.842,260.448863495
180.857,260.340539209
180.872,260.231446355
180.887,260.12157707
180.902,260.010923426
180.917,259.899477437
180.932,259.787231092
180.947,259.674176341
180.962,259.560305092
180.977,259.445609207
180.992,259.330080525
181.007,259.213710869
181.022,259.096492016
181.037,258.978415728
181.052,258.859473727
181.067,258.739657778
181.082,258.618959567
181.097,258.497370818
181.112,258.37488321
181.127,258.251488475
181.142,258.127178302
181.157,258.001944429
181.172,257.875778589
181.187,257.748672531
181.202,257.620618048
181.217,257.491606973
181.232,257.361631145
181.247,257.230682469
181.262,257.098752911
181.277,256.965834487
181.292,256.83191927
181.307,256.696999418
181.31,256.669894214
181.322,256.561067176
181.337,256.424114864
181.352,256.286134919
181.367,256.147119868
181.382,256.007062358
181.397,255.865955174
181.412,255.723791219
181.427,255.580563556
181.442,255.436265397
181.457,255.290890123
181.472,255.14443128
181.487,254.996882623
181.502,254.848238097
181.517,254.698491853
181.532,254.547638289
181.547,254.395672011
181.562,254.242587887
181.577,254.088381069
181.592,253.933046966
181.607,253.77658127
181.622,253.618979994
181.637,253.460239483
181.652,253.300356375
181.667,253.139327702
181.682,252.977150844
181.697,252.813823553
181.712,252.649343999
181.727,252.483710747
181.742,252.316922791
181.757,252.14897959
181.772,251.979881043
181.787,251.809627541
181.802,251.638219978
181.817,251.465659737
181.832,251.291948744
181.847,251.117089487
181.862,250.941084996
181.877,250.763938894
181.892,250.585655393
181.907,250.406239344
181.922,250.2256962
181.937,250.044032079
181.952,249.861253761
181.967,249.677368714
181.982,249.4923851
181.997,249.306311779
182.012,249.119158374
182.027,248.930935227
182.042,248.741653445
182.057,248.551324913
182.06,248.513134689
182.072,248.359962286
182.087,248.167579053
182.102,247.974189493
182.117,247.779808715
182.132,247.584452678
182.147,247.388138177
182.162,247.190882889
182.177,246.992705348
182.192,246.793624978
182.207,246.593662109
182.222,246.392837962
182.237,246.191174679
182.252,245.988695346
182.267,245.785423949
182.282,245.581385448
182.297,245.376605748
182.312,245.171111737
182.327,244.964931266
182.342,244.758093191
182.357,244.550627385
182.372,244.342564725
182.387,244.133937149
182.402,243.924777643
182.417,243.715120289
182.432,243.505000285
182.447,243.294453961
182.462,243.083518817
182.477,242.8722336
182.492,242.660638257
182.507,242.448774088
182.522,242.236683749
182.537,242.024411296
182.552,241.812002295
182.567,241.59950388
182.582,241.386964839
182.597,241.174435697
182.612,240.961968864
182.627,240.749618699
182.642,240.537441653
182.657,240.325496401
182.672,240.113844
182.687,239.902548004
182.702,239.691674638
182.717,239.481292952
182.732,239.271475015
182.747,239.062296031
182.762,238.853834496
182.777,238.646172394
182.792,238.439395227
182.807,238.23359219
182.822,238.028856178
182.837,237.825283749
182.852,237.62297506
182.867,237.422033646
182.882,237.222566101
