# 10410 EDZE Essen Observations at 12Z 26 Sep 2019
Frequency [GHz],TB
175.31,268.752016476
175.322,268.732177732
175.337,268.707304999
175.352,268.682349621
175.367,268.657311513
175.382,268.632190585
175.397,268.606986746
175.412,268.581699906
175.427,268.556329971
175.442,268.530876854
175.457,268.505340453
175.472,268.479720682
175.487,268.45401744
175.502,268.428230634
175.517,268.402360166
175.532,268.376405935
175.547,268.350367845
175.562,268.324245798
175.577,268.298039689
175.592,268.271749412
175.607,268.245374871
175.622,268.218915958
175.637,268.192372567
175.652,268.165744594
175.667,268.139031927
175.682,268.112234454
175.697,268.085352077
175.712,268.058384669
175.727,268.031332128
175.742,268.004194334
175.757,267.976971176
175.772,267.949662533
175.787,267.922268287
175.802,267.894788321
175.817,267.867222512
175.832,267.839570742
175.847,267.811832883
175.862,267.784008805
175.877,267.756098393
175.892,267.728101508
175.907,267.700018024
175.922,267.671847813
175.937,267.64359074
175.952,267.615246668
175.967,267.586815464
175.982,267.55829699
175.997,267.529691105
176.012,267.500997669
176.027,267.472216541
176.042,267.443347575
176.057,267.414390626
176.072,267.385345543
176.087,267.356212181
176.102,267.326990383
176.117,267.297680002
176.132,267.268280879
176.147,267.238792861
176.162,267.209215784
176.177,267.17954949
176.192,267.149793816
176.207,267.1199486
176.222,267.09001367
176.237,267.059988863
176.252,267.029874005
176.267,266.999668925
176.282,266.969373449
176.297,266.938987399
176.31,266.91257942
176.312,266.908510595
176.327,266.877942861
176.342,266.84728401
176.357,266.816533858
176.372,266.785692216
176.387,266.754758902
176.402,266.723733714
176.417,266.692616462
176.432,266.661406956
176.447,266.630104986
176.46,266.602901671
176.462,266.598710362
176.477,266.567222876
176.492,266.53564232
176.507,266.50396849
176.522,266.472201178
176.537,266.440340168
176.552,266.408385247
176.567,266.376336195
176.582,266.344192796
176.597,266.311954822
176.612,266.279622056
176.627,266.247194264
176.642,266.214671222
176.657,266.182052693
176.672,266.149338444
176.687,266.116528238
176.702,266.083621834
176.717,266.050618991
176.732,266.017519461
176.747,265.984322996
176.762,265.951029349
176.777,265.917638263
176.792,265.884149485
176.807,265.850562754
176.822,265.816877808
176.837,265.783094385
176.852,265.749212213
176.867,265.715231026
176.882,265.681150554
176.897,265.646970513
176.912,265.612690635
176.927,265.578310628
176.942,265.543830213
176.957,265.509249105
176.972,265.474567008
176.987,265.439783636
177.002,265.404898689
177.017,265.369911864
177.032,265.334822863
177.047,265.299631382
177.062,265.26433711
177.077,265.228939737
177.092,265.19343895
177.107,265.15783443
177.122,265.122125857
177.137,265.086312903
