# 01004 ENAS Ny-Alesund Ii Observations at 12Z 28 Sep 2019
Frequency [GHz],TB
175.31,241.464334719
175.322,241.528270429
175.337,241.608219485
175.352,241.688199963
175.367,241.768210492
175.382,241.848249673
175.397,241.928316103
175.412,242.008408356
175.427,242.088524994
175.442,242.168664569
175.457,242.248825602
175.472,242.329006619
175.487,242.409206113
175.502,242.489422565
175.517,242.569654442
175.532,242.649900201
175.547,242.73015827
175.562,242.810427071
175.577,242.890705005
175.592,242.970990456
175.607,243.051281796
175.622,243.131577371
175.637,243.211875522
175.652,243.292174565
175.667,243.372472796
175.682,243.452768509
175.697,243.533059966
175.712,243.613345413
175.727,243.693623091
175.742,243.773891214
175.757,243.854147973
175.772,243.934391551
175.787,244.014620115
175.802,244.094831806
175.817,244.17502475
175.832,244.255197053
175.847,244.335346816
175.862,244.415472113
175.877,244.495570979
175.892,244.575641478
175.907,244.655681605
175.922,244.735689377
175.937,244.815662763
175.952,244.89559974
175.967,244.975498245
175.982,245.055356203
175.997,245.135171523
176.012,245.214942093
176.027,245.294665792
176.042,245.374340458
176.057,245.453963931
176.072,245.533534025
176.087,245.61304853
176.102,245.69250522
176.117,245.771901863
176.132,245.851236179
176.147,245.9305059
176.162,246.009708719
176.177,246.088842317
176.192,246.167904351
176.207,246.246892459
176.222,246.325804272
176.237,246.404637383
176.252,246.483389375
176.267,246.562057811
176.282,246.640640241
176.297,246.719134177
176.31,246.787088754
176.312,246.797537133
176.327,246.875846588
176.342,246.954060007
176.357,247.032174834
176.372,247.1101885
176.387,247.188098405
176.402,247.265901935
176.417,247.343596464
176.432,247.421179322
176.447,247.498647855
176.46,247.565692684
176.462,247.575999359
176.477,247.653231125
176.492,247.730340421
176.507,247.807324491
176.522,247.884180566
176.537,247.960905861
176.552,248.03749756
176.567,248.113952834
176.582,248.190268828
176.597,248.266442687
176.612,248.342471505
176.627,248.418352388
176.642,248.494082405
176.657,248.569658607
176.672,248.645078027
176.687,248.720337685
176.702,248.795434575
176.717,248.870365673
176.732,248.945127941
176.747,249.019718314
176.762,249.094133712
176.777,249.168371043
176.792,249.242427182
176.807,249.316299001
176.822,249.389983339
176.837,249.463477028
176.852,249.536776877
176.867,249.609879676
176.882,249.682782203
176.897,249.755481212
176.912,249.827973438
176.927,249.900255605
176.942,249.972324417
176.957,250.044176554
176.972,250.115808691
176.987,250.187217477
177.002,250.258399551
177.017,250.329351525
177.032,250.400070007
177.047,250.470551576
177.062,250.540792814
177.077,250.610790259
177.092,250.680540461
177.107,250.750039942
177.122,250.819285203
177.137,250.888272741
177.152,250.956999031
177.167,251.025460545
177.182,251.093653724
177.197,251.161575006
177.21,251.220217412
177.212,251.229220809
177.227,251.296587544
177.242,251.363671607
177.257,251.430469373
177.272,251.496977217
177.287,251.563191494
177.302,251.629108547
177.31,251.664141515
177.317,251.694724715
177.332,251.760036305
177.347,251.825039639
177.362,251.889731015
177.377,251.954106719
177.392,252.018163032
177.407,252.081896218
177.422,252.145302542
177.437,252.208378252
177.452,252.271119589
177.467,252.333522785
177.482,252.39558407
177.497,252.457299667
177.512,252.518665771
177.527,252.579678601
177.542,252.640334345
177.557,252.7006292
177.572,252.760559357
177.587,252.820120988
177.602,252.879310282
177.617,252.938123408
177.632,252.996556532
177.647,253.054605825
177.66,253.104601772
177.662,253.112267454
177.677,253.169537574
177.692,253.226412361
177.707,253.282887956
177.722,253.338960531
177.737,253.394626246
177.752,253.449881253
177.767,253.504721725
177.782,253.559143815
177.797,253.613143694
177.812,253.666717529
177.827,253.719861494
177.842,253.772571768
177.857,253.82484452
177.872,253.876675946
177.887,253.928062241
177.902,253.978999593
177.917,254.029484212
177.932,254.079512316
177.947,254.12908012
177.96,254.171663646
177.962,254.178183862
177.977,254.226819777
177.992,254.274984128
178.007,254.32267316
178.022,254.369883159
178.037,254.416610411
178.052,254.462851216
178.067,254.508601886
178.082,254.553858751
178.097,254.598618155
178.112,254.642876466
178.127,254.686630052
178.142,254.729875315
178.157,254.772608662
178.172,254.814826534
178.187,254.856525376
178.202,254.897701669
178.217,254.938351907
178.232,254.978472598
178.247,255.018060296
178.262,255.057111563
178.277,255.09562298
178.292,255.133591165
178.307,255.171012767
178.322,255.207884449
178.337,255.2442029
178.352,255.279964855
178.367,255.315167066
178.382,255.349806319
178.397,255.383879429
178.41,255.412949068
178.412,255.41738324
178.427,255.450314637
178.442,255.482670545
178.457,255.514447898
178.472,255.545643687
178.487,255.576254937
178.502,255.606278704
178.517,255.635712086
178.532,255.664552215
178.547,255.692796273
178.562,255.720441472
178.577,255.74748507
178.592,255.773924364
178.607,255.799756697
178.622,255.824979462
178.637,255.849590086
178.652,255.873586043
178.667,255.896964855
178.682,255.919724096
178.697,255.941861387
178.712,255.963374391
178.727,255.984260826
178.742,256.004518462
178.757,256.024145112
178.772,256.04313865
178.787,256.061496997
178.802,256.079218129
178.817,256.096300082
178.832,256.112740936
178.847,256.12853884
178.862,256.143691982
178.877,256.158198629
178.892,256.172057091
178.907,256.185265735
178.922,256.197823
178.937,256.209727369
178.952,256.220977403
178.967,256.231571709
178.982,256.241508965
178.997,256.250787909
179.012,256.259407342
179.027,256.267366124
179.042,256.274663192
179.057,256.28129753
179.072,256.287268203
179.087,256.292574329
179.102,256.297215109
179.117,256.301189792
179.132,256.304497702
179.147,256.307138237
179.16,256.308886447
179.162,256.309110859
179.177,256.310415079
179.192,256.311050509
179.207,256.311016815
179.222,256.310313726
179.237,256.30894105
179.252,256.306898652
179.267,256.304186489
179.282,256.30080457
179.297,256.296752975
179.312,256.292031869
179.327,256.286641471
179.342,256.280582077
179.357,256.273854052
179.372,256.266457841
179.387,256.258393945
179.402,256.249662944
179.417,256.240265492
179.432,256.230202301
179.447,256.219474168
179.462,256.208081947
179.477,256.19602658
179.492,256.183309047
179.507,256.169930432
179.522,256.155891872
179.537,256.141194562
179.552,256.125839794
179.567,256.109828897
