# 48698 WSSS Singapore Observations at 12Z 19 Oct 2019
Frequency [GHz],TB
175.31,272.571511535
175.322,272.550423968
175.337,272.524007899
175.352,272.497528741
175.367,272.470986278
175.382,272.444380303
175.397,272.417710602
175.412,272.390976964
175.427,272.364179171
175.442,272.337317011
175.457,272.310390267
175.472,272.28339872
175.487,272.256342152
175.502,272.229220343
175.517,272.202033069
175.532,272.17478011
175.547,272.147461243
175.562,272.120076243
175.577,272.092624882
175.592,272.065106932
175.607,272.037522167
175.622,272.009870355
175.637,271.982151268
175.652,271.954364671
175.667,271.926510328
175.682,271.898588009
175.697,271.870597474
175.712,271.842538488
175.727,271.814410811
175.742,271.7862142
175.757,271.757948419
175.772,271.729613222
175.787,271.701208365
175.802,271.672733601
175.817,271.644188686
175.832,271.615573367
175.847,271.586887399
175.862,271.558130529
175.877,271.529302503
175.892,271.500403069
175.907,271.47143197
175.922,271.442388952
175.937,271.413273752
175.952,271.384086111
175.967,271.354825773
175.982,271.325492469
175.997,271.296085936
176.012,271.26660591
176.027,271.237052121
176.042,271.207424302
176.057,271.177722181
176.072,271.147945487
176.087,271.118093947
176.102,271.088167284
176.117,271.058165221
176.132,271.028087481
176.147,270.997933782
176.162,270.967703844
176.177,270.937397383
176.192,270.907014112
176.207,270.876553747
176.222,270.846015996
176.237,270.815400573
176.252,270.784707182
176.267,270.75393553
176.282,270.723085325
176.297,270.692156266
176.31,270.665287066
176.312,270.661148054
176.327,270.630060389
176.342,270.598892969
176.357,270.567645488
176.372,270.536317639
176.387,270.504909116
176.402,270.473419608
176.417,270.441848801
176.432,270.410196383
176.447,270.378462037
176.46,270.350892422
176.462,270.346645444
176.477,270.314746287
176.492,270.282764243
176.507,270.250698986
176.522,270.218550193
176.537,270.186317533
176.552,270.154000678
176.567,270.121599294
176.582,270.089113048
176.597,270.056541605
176.612,270.023884624
176.627,269.991141765
176.642,269.958312683
176.657,269.925397037
176.672,269.892394478
176.687,269.859304656
176.702,269.826127219
176.717,269.79286181
176.732,269.759508078
176.747,269.726065662
176.762,269.692534199
176.777,269.658913327
176.792,269.625202679
176.807,269.591401889
176.822,269.557510582
176.837,269.523528387
176.852,269.489454928
176.867,269.455289828
176.882,269.421032703
176.897,269.386683172
176.912,269.352240846
176.927,269.31770534
176.942,269.283076261
176.957,269.248353212
176.972,269.2135358
176.987,269.178623622
177.002,269.143616279
177.017,269.108513364
177.032,269.07331447
177.047,269.038019182
177.062,269.002627092
177.077,268.96713778
177.092,268.931550827
177.107,268.89586581
177.122,268.860082304
177.137,268.824199879
177.152,268.788218104
177.167,268.752136544
177.182,268.71595476
177.197,268.679672312
177.21,268.648145753
177.212,268.643288755
177.227,268.606803641
177.242,268.570216519
177.257,268.533526934
177.272,268.49673443
177.287,268.459838543
177.302,268.42283881
177.31,268.403062998
177.317,268.385734764
177.332,268.348525931
177.347,268.311211838
177.362,268.273792003
177.377,268.236265947
177.392,268.198633182
177.407,268.160893218
177.422,268.123045562
177.437,268.085089716
177.452,268.047025179
177.467,268.008851446
177.482,267.970568007
177.497,267.932174347
177.512,267.893669953
177.527,267.855054302
177.542,267.816326867
177.557,267.777487119
177.572,267.738534523
177.587,267.699468544
