# 10410 EDZE Essen Observations at 12Z 20 Oct 2019
Frequency [GHz],TB
175.31,267.937220495
175.322,267.920459754
175.337,267.89942416
175.352,267.878294451
175.367,267.857070591
175.382,267.835752542
175.397,267.814340264
175.412,267.792833718
175.427,267.771232865
175.442,267.74953767
175.457,267.727748091
175.472,267.705864087
175.487,267.683885622
175.502,267.661812659
175.517,267.639645151
175.532,267.617383068
175.547,267.595026364
175.562,267.572575002
175.577,267.55002894
175.592,267.527388137
175.607,267.504652552
175.622,267.481822146
175.637,267.458896876
175.652,267.435876699
175.667,267.412761572
175.682,267.389551453
175.697,267.366246299
175.712,267.342846064
175.727,267.319350703
175.742,267.295760174
175.757,267.272074427
175.772,267.248293417
175.787,267.224417095
175.802,267.200445413
175.817,267.176378323
175.832,267.152215776
175.847,267.127957719
175.862,267.103604102
175.877,267.079154871
175.892,267.054609974
175.907,267.029969356
175.922,267.005232959
175.937,266.980400731
175.952,266.955472612
175.967,266.930448542
175.982,266.905328463
175.997,266.880112313
176.012,266.854800031
176.027,266.829391551
176.042,266.80388681
176.057,266.778285741
176.072,266.752588276
176.087,266.726794347
176.102,266.700903882
176.117,266.674916811
176.132,266.648833059
176.147,266.622652551
176.162,266.596375214
176.177,266.570000963
176.192,266.543529723
176.207,266.516961412
176.222,266.490295946
176.237,266.463533239
176.252,266.436673205
176.267,266.409715757
176.282,266.382660801
176.297,266.355508248
176.31,266.331897016
176.312,266.328258
176.327,266.300909963
176.342,266.273464041
176.357,266.245920127
176.372,266.218278124
176.387,266.190537925
176.402,266.162699423
176.417,266.134762509
176.432,266.106727073
176.447,266.078592999
176.46,266.05413026
176.462,266.050360174
176.477,266.022028477
176.492,265.99359779
176.507,265.965067988
176.522,265.936438945
176.537,265.907710536
176.552,265.878882628
176.567,265.849955088
176.582,265.820927784
176.597,265.79180057
176.612,265.762573313
176.627,265.733245866
176.642,265.703818081
176.657,265.674289812
176.672,265.644660907
176.687,265.614931208
176.702,265.585100559
176.717,265.555168802
176.732,265.52513577
176.747,265.495001298
176.762,265.464765215
176.777,265.434427353
176.792,265.403987531
176.807,265.373445575
176.822,265.342801299
176.837,265.312054522
176.852,265.281205053
176.867,265.250252702
176.882,265.219197273
176.897,265.188038572
176.912,265.156776393
176.927,265.125410535
176.942,265.093940787
176.957,265.06236694
176.972,265.030688778
176.987,264.998906082
177.002,264.967018634
177.017,264.935026205
177.032,264.902928568
177.047,264.87072549
177.062,264.838416733
177.077,264.806002062
177.092,264.773481229
177.107,264.740853991
177.122,264.708120093
177.137,264.675279285
177.152,264.642331306
177.167,264.609275893
177.182,264.576112782
177.197,264.542841704
177.21,264.513919224
177.212,264.509462385
177.227,264.475974546
177.242,264.442377906
177.257,264.40867218
177.272,264.37485708
177.287,264.34093231
177.302,264.306897575
177.31,264.28870065
177.317,264.272752573
177.332,264.238496997
177.347,264.204130541
177.362,264.169652887
177.377,264.135063721
177.392,264.100362718
177.407,264.065549554
177.422,264.030623897
177.437,263.995585414
177.452,263.960433765
177.467,263.925168608
177.482,263.889789593
177.497,263.854296373
177.512,263.81868859
177.527,263.782965881
177.542,263.747127884
177.557,263.711174231
177.572,263.675104546
177.587,263.638918452
177.602,263.602615568
177.617,263.566195505
177.632,263.529657871
177.647,263.493002275
177.66,263.461138361
177.662,263.456228312
177.677,263.419335581
177.692,263.382323667
177.707,263.345192163
177.722,263.307940643
177.737,263.27056869
177.752,263.233075875
177.767,263.195461763
177.782,263.157725918
177.797,263.119867898
177.812,263.081887258
177.827,263.043783547
177.842,263.005556305
177.857,262.967205075
177.872,262.92872939
177.887,262.890128781
177.902,262.85140277
177.917,262.812550882
177.932,262.773572626
177.947,262.734467517
177.96,262.700473429
177.962,262.695235056
177.977,262.655874748
177.992,262.616386088
178.007,262.576768562
178.022,262.537021659
178.037,262.497144861
178.052,262.457137641
178.067,262.41699947
178.082,262.376729813
178.097,262.336328132
178.112,262.295793879
178.127,262.255126508
178.142,262.214325462
178.157,262.173390183
178.172,262.132320101
178.187,262.091114648
178.202,262.049773249
178.217,262.008295322
178.232,261.966680282
178.247,261.924927533
178.262,261.883036481
178.277,261.841006525
178.292,261.798837053
178.307,261.756527454
178.322,261.714077109
178.337,261.671485396
178.352,261.62875168
178.367,261.585875329
178.382,261.542855701
178.397,261.499692153
178.41,261.462166817
178.412,261.456384025
178.427,261.412930666
178.442,261.36933141
178.457,261.325585588
178.472,261.281692524
178.487,261.237651539
178.502,261.193461945
178.517,261.149123048
178.532,261.104634151
178.547,261.059994548
178.562,261.015203531
178.577,260.970260381
178.592,260.925164374
178.607,260.879914785
178.622,260.834510878
178.637,260.78895191
178.652,260.743237134
178.667,260.697365795
178.682,260.651337136
178.697,260.605150387
178.712,260.558804777
178.727,260.512299526
178.742,260.465633848
178.757,260.41880695
178.772,260.371818034
178.787,260.32466629
178.802,260.277350908
178.817,260.229871068
178.832,260.182225943
178.847,260.134414702
178.862,260.086436499
178.877,260.038290492
178.892,259.989975824
178.907,259.941491631
178.922,259.892837048
178.937,259.844011196
178.952,259.795013191
178.967,259.745842142
178.982,259.696497152
178.997,259.64697731
179.012,259.597281706
179.027,259.547409419
179.042,259.497359517
179.057,259.447131062
179.072,259.396723111
179.087,259.346134709
179.102,259.295364895
179.117,259.244412698
179.132,259.193277143
179.147,259.14195724
179.16,259.097330106
179.162,259.090451998
179.177,259.038760408
179.192,258.986881463
179.207,258.93481414
179.222,258.882557413
179.237,258.830110239
179.252,258.777471575
179.267,258.724640361
179.282,258.671615533
179.297,258.618396019
