# 01004 ENAS Ny-Alesund Ii Observations at 12Z 26 Oct 2019
Frequency [GHz],TB
175.31,249.391117436
175.322,249.435433108
175.337,249.490728671
175.352,249.54591259
175.367,249.600983112
175.382,249.655938474
175.397,249.710776911
175.412,249.765496641
175.427,249.820095884
175.442,249.874572819
175.457,249.928925653
175.472,249.983152557
175.487,250.037251696
175.502,250.091221241
175.517,250.145059332
175.532,250.198764107
175.547,250.252333701
175.562,250.305766214
175.577,250.359059778
175.592,250.412212474
175.607,250.465222396
175.622,250.518087624
175.637,250.570806218
175.652,250.62337624
175.667,250.675795743
175.682,250.728062759
175.697,250.780175323
175.712,250.832131451
175.727,250.883929153
175.742,250.935566425
175.757,250.987041265
175.772,251.038351649
175.787,251.089495551
175.802,251.140470934
175.817,251.19127575
175.832,251.241907943
175.847,251.29236545
175.862,251.342646195
175.877,251.392748102
175.892,251.442669067
175.907,251.492407
175.922,251.541959786
175.937,251.591325312
175.952,251.640501446
175.967,251.689486063
175.982,251.73827701
175.997,251.786872144
176.012,251.835269303
176.027,251.883466316
176.042,251.93146101
176.057,251.979251207
176.072,252.026834714
176.087,252.074209332
176.102,252.121372854
176.117,252.168323071
176.132,252.215057763
176.147,252.2615747
176.162,252.307871652
176.177,252.353946377
176.192,252.399796621
176.207,252.445420144
176.222,252.490814674
176.237,252.535977949
176.252,252.580907695
176.267,252.625601636
176.282,252.670057489
176.297,252.714272959
176.31,252.752396819
176.312,252.758245753
176.327,252.801973572
176.342,252.845454114
176.357,252.888685061
176.372,252.9316641
176.387,252.974388911
176.402,253.016857167
176.417,253.059066549
176.432,253.101014717
176.447,253.142699332
176.46,253.178611008
176.462,253.184118059
176.477,253.225268551
176.492,253.266148467
176.507,253.306755449
176.522,253.347087149
176.537,253.387141207
176.552,253.426915274
176.567,253.466406985
176.582,253.505613974
176.597,253.544533886
176.612,253.583164351
176.627,253.621503002
176.642,253.659547468
176.657,253.697295388
176.672,253.734744391
176.687,253.771892107
176.702,253.808736165
176.717,253.8452742
176.732,253.881503842
176.747,253.917422718
176.762,253.95302847
176.777,253.988318723
176.792,254.023291126
176.807,254.057943306
176.822,254.092272903
176.837,254.126277568
176.852,254.159954937
176.867,254.193302667
176.882,254.2263184
176.897,254.258999795
176.912,254.291344514
176.927,254.323350214
176.942,254.355014568
176.957,254.386335248
176.972,254.417309925
176.987,254.447936287
177.002,254.478212026
177.017,254.508134828
177.032,254.537702401
177.047,254.566912447
177.062,254.59576269
177.077,254.624250843
177.092,254.65237465
177.107,254.680131833
177.122,254.707520146
177.137,254.734537347
177.152,254.761181197
177.167,254.78744948
177.182,254.813339966
177.197,254.838850464
177.21,254.860650491
177.212,254.863978766
177.227,254.8887227
177.242,254.913080089
177.257,254.937048776
177.272,254.960626605
177.287,254.98381145
177.302,255.006601182
177.31,255.018593423
177.317,255.028993698
177.332,255.050986893
177.347,255.072578695
177.362,255.093767033
177.377,255.114549852
177.392,255.134925125
177.407,255.154890823
177.422,255.174444943
177.437,255.193585494
177.452,255.21231051
177.467,255.230618036
177.482,255.248506131
177.497,255.265972878
177.512,255.283016379
177.527,255.299634758
177.542,255.315826144
177.557,255.331588702
177.572,255.346920607
177.587,255.36182006
177.602,255.376285277
177.617,255.390314511
177.632,255.40390601
177.647,255.417058072
177.66,255.428099752
177.662,255.429768997
177.677,255.44203712
177.692,255.4538608
177.707,255.46523841
177.722,255.476168355
177.737,255.486649064
177.752,255.496678986
177.767,255.506256601
177.782,255.515380416
177.797,255.524048957
177.812,255.53226079
177.827,255.540014494
177.842,255.547308682
177.857,255.554141991
177.872,255.560513096
177.887,255.566420684
177.902,255.571863494
177.917,255.576840278
177.932,255.581349815
177.947,255.585390927
177.96,255.588513424
177.962,255.588962458
177.977,255.592063286
177.992,255.594692317
178.007,255.596848497
178.022,255.598530797
178.037,255.599738221
178.052,255.600469806
178.067,255.600724628
178.082,255.60050178
178.097,255.59980041
178.112,255.598619689
178.127,255.596958819
178.142,255.594817037
178.157,255.592193633
178.172,255.589087909
178.187,255.585499209
178.202,255.581426921
178.217,255.576870463
178.232,255.571829285
178.247,255.566302887
178.262,255.560290793
178.277,255.55379257
178.292,255.546807812
178.307,255.539336175
178.322,255.531377325
178.337,255.522930981
178.352,255.5139969
178.367,255.504574871
178.382,255.494664723
