# 48698 WSSS Singapore Observations at 12Z 05 Nov 2019
Frequency [GHz],TB
175.31,271.702382619
175.322,271.677793747
175.337,271.646992105
175.352,271.616117458
175.367,271.585169621
175.382,271.554148407
175.397,271.52305363
175.412,271.491885104
175.427,271.460642641
175.442,271.429326055
175.457,271.397935155
175.472,271.366469754
175.487,271.334929662
175.502,271.303314691
175.517,271.271624647
175.532,271.239859342
175.547,271.208018583
175.562,271.176102178
175.577,271.144109937
175.592,271.112041663
175.607,271.079897166
175.622,271.04767625
175.637,271.01537872
175.652,270.983004381
175.667,270.95055304
175.682,270.918024498
175.697,270.885418558
175.712,270.852735024
175.727,270.819973697
175.742,270.787134379
175.757,270.754216871
175.772,270.721220974
175.787,270.688146488
175.802,270.65499321
175.817,270.621760941
175.832,270.58844948
175.847,270.555058622
175.862,270.521588166
175.877,270.488037909
175.892,270.454407646
175.907,270.420697173
175.922,270.386906284
175.937,270.353034773
175.952,270.319082436
175.967,270.285049062
175.982,270.25093445
175.997,270.216738385
176.012,270.182460664
176.027,270.148101073
176.042,270.113659406
176.057,270.07913545
176.072,270.044528996
176.087,270.009839832
176.102,269.975067744
176.117,269.940212522
176.132,269.905273951
176.147,269.870251817
176.162,269.835145905
176.177,269.799956
176.192,269.764681888
176.207,269.729323349
176.222,269.693880169
176.237,269.658352129
176.252,269.62273901
176.267,269.587040593
176.282,269.55125666
176.297,269.515386988
176.31,269.484230417
176.312,269.479431358
176.327,269.443389546
176.342,269.407261331
176.357,269.371046492
176.372,269.334744801
176.387,269.298356036
176.402,269.261879972
176.417,269.225316382
176.432,269.18866504
176.447,269.151925718
176.46,269.12001363
176.462,269.115098189
176.477,269.078182223
176.492,269.041177592
176.507,269.004084064
176.522,268.96690141
176.537,268.929629395
176.552,268.892267789
176.567,268.854816358
176.582,268.817274868
176.597,268.779643084
176.612,268.741920769
176.627,268.704107688
176.642,268.666203602
176.657,268.628208275
176.672,268.590121465
176.687,268.551942934
176.702,268.513672441
176.717,268.475309742
176.732,268.436854597
176.747,268.398306762
176.762,268.359665991
176.777,268.320932041
176.792,268.282104663
176.807,268.24318361
176.822,268.204168634
176.837,268.165059488
176.852,268.125855918
176.867,268.086557675
176.882,268.047164506
176.897,268.007676156
176.912,267.968092374
176.927,267.928412901
176.942,267.888637482
176.957,267.848765859
176.972,267.808797773
176.987,267.768732962
177.002,267.728571167
177.017,267.688312126
177.032,267.647955574
177.047,267.607501245
177.062,267.566948875
177.077,267.526298196
177.092,267.485548938
177.107,267.444700832
177.122,267.403753607
177.137,267.36270699
177.152,267.321560705
177.167,267.280314479
177.182,267.238968033
177.197,267.197521091
177.21,267.161518899
177.212,267.15597337
177.227,267.114324591
177.242,267.072574469
177.257,267.030722722
177.272,266.98876906
177.287,266.946713199
177.302,266.904554848
177.31,266.882028387
177.317,266.862293716
177.332,266.819929509
177.347,266.777461935
177.362,266.734890695
177.377,266.692215492
177.392,266.649436026
177.407,266.606551995
177.422,266.563563095
177.437,266.52046902
177.452,266.477269463
177.467,266.433964114
177.482,266.39055266
177.497,266.347034788
177.512,266.303410183
177.527,266.259678524
177.542,266.215839494
177.557,266.171892767
177.572,266.127838019
177.587,266.083674923
177.602,266.039403149
177.617,265.995022364
177.632,265.950532235
177.647,265.905932424
177.66,265.86719027
177.662,265.86122259
177.677,265.816402391
177.692,265.771471482
177.707,265.726429516
177.722,265.681276141
177.737,265.636011004
177.752,265.590633748
177.767,265.545144014
177.782,265.499541441
177.797,265.453825661
177.812,265.407996307
177.827,265.362053007
177.842,265.315995386
177.857,265.269823065
177.872,265.223535664
