# 01004 ENAS Ny-Alesund Ii Observations at 12Z 08 Nov 2019
Frequency [GHz],TB
175.31,247.499589782
175.322,247.549742632
175.337,247.612369753
175.352,247.674924271
175.367,247.737404532
175.382,247.799808868
175.397,247.862135588
175.412,247.924382976
175.427,247.986549347
175.442,248.048632967
175.457,248.11063209
175.472,248.172544997
175.487,248.234369903
175.502,248.296105061
175.517,248.357748676
175.532,248.419298955
175.547,248.480754096
175.562,248.542112267
175.577,248.603371671
175.592,248.664530446
175.607,248.725586733
175.622,248.786538689
175.637,248.847384415
175.652,248.908122032
175.667,248.968749637
175.682,249.029265326
175.697,249.089667159
175.712,249.149953231
175.727,249.210121557
175.742,249.270170194
175.757,249.330097176
175.772,249.389900517
175.787,249.449578229
175.802,249.509128288
175.817,249.568548682
175.832,249.6278374
175.847,249.686992384
175.862,249.746011594
175.877,249.804892954
175.892,249.863634406
175.907,249.92223384
175.922,249.980689184
175.937,250.038998292
175.952,250.097159103
175.967,250.155169433
175.982,250.213027163
175.997,250.270730132
176.012,250.328276186
176.027,250.385663137
176.042,250.442888819
176.057,250.499951013
176.072,250.556847519
176.087,250.613576112
176.102,250.670134588
176.117,250.726520684
176.132,250.782732166
176.147,250.838766765
176.162,250.894622209
176.177,250.950296226
176.192,251.005786526
176.207,251.061090793
176.222,251.116206742
176.237,251.171132033
176.252,251.225864364
176.267,251.280401365
176.282,251.334740706
176.297,251.388880017
176.31,251.435637134
176.312,251.44281695
176.327,251.496549112
176.342,251.550074139
176.357,251.603389609
176.372,251.656493145
176.387,251.709382331
176.402,251.76205475
176.417,251.814507969
176.432,251.866739558
176.447,251.918747064
176.46,251.963637092
176.462,251.970528055
176.477,252.022080053
176.492,252.073400602
176.507,252.124487248
176.522,252.175337478
176.537,252.22594883
176.552,252.276318778
176.567,252.326444876
176.582,252.376324574
176.597,252.42595537
176.612,252.475334732
176.627,252.524460169
176.642,252.573329117
176.657,252.621939076
176.672,252.670287475
176.687,252.718371777
176.702,252.766189422
176.717,252.813737876
176.732,252.861014567
176.747,252.90801693
176.762,252.954742396
176.777,253.001188403
176.792,253.047352374
176.807,253.093231728
176.822,253.138823885
176.837,253.184126254
176.852,253.229136246
176.867,253.273851291
176.882,253.318268814
176.897,253.362386179
176.912,253.406200817
176.927,253.449710137
176.942,253.492911532
176.957,253.535802406
176.972,253.578380195
176.987,253.62064226
177.002,253.662586042
177.017,253.704208918
177.032,253.745508315
177.047,253.786481628
177.062,253.827126274
177.077,253.867439661
177.092,253.907419219
177.107,253.947062335
177.122,253.986366458
177.137,254.025328986
177.152,254.063947363
177.167,254.102219005
177.182,254.140141364
177.197,254.177711866
177.21,254.209986375
177.212,254.214927963
177.227,254.251787099
177.242,254.28828672
177.257,254.324424311
177.272,254.360197317
177.287,254.395603237
177.302,254.43063952
177.31,254.449173553
177.317,254.465303692
177.332,254.499593235
177.347,254.53350564
177.362,254.567038455
177.377,254.600189176
177.392,254.632955346
177.407,254.665334508
177.422,254.697324234
177.437,254.728922066
177.452,254.760125595
177.467,254.790932397
177.482,254.821340065
177.497,254.851346252
177.512,254.880948536
177.527,254.910144595
177.542,254.938932055
177.557,254.967308609
177.572,254.995271907
177.587,255.02281968
177.602,255.049949614
177.617,255.076659467
177.632,255.102946946
177.647,255.128809846
177.66,255.150879197
177.662,255.154245943
177.677,255.179253026
177.692,255.203828904
177.707,255.227971434
177.722,255.25167846
177.737,255.274947847
177.752,255.297777508
177.767,255.320165356
177.782,255.342109315
177.797,255.363607348
177.812,255.38465744
177.827,255.405257581
177.842,255.425405813
177.857,255.445100174
177.872,255.464338747
177.887,255.483119624
177.902,255.501440922
177.917,255.519300787
177.932,255.536697412
177.947,255.553628984
177.96,255.567925469
177.962,255.570093733
177.977,255.586089914
177.992,255.601615801
178.007,255.616669705
178.022,255.631249961
178.037,255.645354961
178.052,255.658983076
178.067,255.672132753
178.082,255.684802426
178.097,255.696990597
178.112,255.708695777
178.127,255.719916524
178.142,255.730651424
178.157,255.7408991
178.172,255.750658192
178.187,255.759927371
178.202,255.768705368
178.217,255.776990922
178.232,255.784782815
178.247,255.792079899
178.262,255.798881001
178.277,255.805185012
178.292,255.810990883
178.307,255.816297549
178.322,255.821104024
178.337,255.825409351
178.352,255.829212609
178.367,255.832512892
178.382,255.835309375
178.397,255.837601227
178.41,255.839178739
178.412,255.83938771
178.427,255.840668048
178.442,255.841441597
178.457,255.841707685
178.472,255.841465683
178.487,255.840715049
178.502,255.83945524
178.517,255.83768576
178.532,255.835406175
178.547,255.832616073
178.562,255.829315082
178.577,255.825502885
178.592,255.821179207
178.607,255.816343788
178.622,255.810996454
178.637,255.805137051
178.652,255.798765442
178.667,255.791881579
178.682,255.784485423
178.697,255.776576992
178.712,255.768156359
178.727,255.759223618
178.742,255.749778905
178.757,255.73982243
178.772,255.729354394
178.787,255.718375094
178.802,255.70688484
178.817,255.694884008
178.832,255.68237299
178.847,255.669352219
178.862,255.655822195
178.877,255.641783455
178.892,255.62723657
178.907,255.612182174
178.922,255.596620897
178.937,255.580553462
178.952,255.563980618
178.967,255.546903137
178.982,255.529321825
178.997,255.511237617
179.012,255.492651338
179.027,255.473564011
179.042,255.453976594
179.057,255.433890093
179.072,255.413305622
179.087,255.392224288
179.102,255.370647228
179.117,255.348575618
179.132,255.326010694
179.147,255.302953737
179.16,255.282574023
179.162,255.279406016
179.177,255.255368886
179.192,255.230843722
179.207,255.205831945
179.222,255.180334973
179.237,255.154354296
179.252,255.127891443
179.267,255.100947958
179.282,255.073525403
179.297,255.045625402
179.312,255.017249614
179.327,254.988399685
179.342,254.959077351
179.357,254.929284319
179.372,254.899022382
179.387,254.868293289
179.402,254.837098912
179.417,254.805441067
179.432,254.773321625
179.447,254.740742504
179.462,254.707705595
179.477,254.674212862
179.492,254.640266264
179.507,254.605867799
