# 10410 EDZE Essen Observations at 12Z 17 Nov 2019
Frequency [GHz],TB
175.31,256.341418026
175.322,256.389462775
175.337,256.449420137
175.352,256.509266205
175.367,256.568999072
175.382,256.628616819
175.397,256.688117515
175.412,256.747499216
175.427,256.806759964
175.442,256.865897791
175.457,256.924910714
175.472,256.983796739
175.487,257.042553859
175.502,257.101180053
175.517,257.159673289
175.532,257.218031521
175.547,257.276252693
175.562,257.334334734
175.577,257.39227556
175.592,257.450073076
175.607,257.507725174
175.622,257.565229734
175.637,257.622584622
175.652,257.679787692
175.667,257.736836788
175.682,257.793729737
175.697,257.850464357
175.712,257.907038452
175.727,257.963449816
175.742,258.019696227
175.757,258.075775453
175.772,258.13168525
175.787,258.18742336
175.802,258.242987516
175.817,258.298375434
175.832,258.353584822
175.847,258.408613376
175.862,258.463458776
175.877,258.518118694
175.892,258.572590789
175.907,258.626872708
175.922,258.680962085
175.937,258.734856545
175.952,258.788553699
175.967,258.842051147
175.982,258.895346478
175.997,258.94843727
176.012,259.001321087
176.027,259.053995486
176.042,259.106458008
176.057,259.158706187
176.072,259.210737544
176.087,259.262549588
176.102,259.31413982
176.117,259.365505728
176.132,259.416644789
176.147,259.467554473
176.162,259.518232234
176.177,259.56867552
176.192,259.618881767
176.207,259.668848401
176.222,259.718572838
176.237,259.768052486
176.252,259.817284739
176.267,259.866266985
176.282,259.914996601
176.297,259.963470955
176.31,260.005273541
176.312,260.011687405
176.327,260.0596433
176.342,260.107335983
176.357,260.154762782
176.372,260.201921023
176.387,260.248808018
176.402,260.295421074
176.417,260.341757489
176.432,260.387814552
176.447,260.433589545
176.46,260.473030935
176.462,260.479079741
176.477,260.524282408
176.492,260.569194804
176.507,260.61381418
176.522,260.658137782
176.537,260.702162848
176.552,260.745886608
176.567,260.789306288
176.582,260.832419106
176.597,260.875222274
176.612,260.917712999
176.627,260.959888482
176.642,261.001745918
176.657,261.043282498
176.672,261.084495406
176.687,261.125381824
176.702,261.165938928
176.717,261.206163888
176.732,261.246053873
176.747,261.285606046
176.762,261.324817567
176.777,261.363685594
176.792,261.402207279
176.807,261.440379774
176.822,261.478200227
176.837,261.515665784
176.852,261.552773589
176.867,261.589520783
176.882,261.625904509
176.897,261.661921905
176.912,261.697570109
176.927,261.73284626
176.942,261.767747494
176.957,261.80227095
176.972,261.836413766
176.987,261.870173078
177.002,261.903546027
177.017,261.936529753
177.032,261.969121397
177.047,262.001318102
177.062,262.033117016
177.077,262.064515284
177.092,262.095510059
177.107,262.126098495
177.122,262.156277747
177.137,262.186044979
177.152,262.215397355
177.167,262.244332044
177.182,262.272846222
177.197,262.300937069
177.21,262.324937864
177.212,262.328601768
177.227,262.355837512
177.242,262.382641499
177.257,262.409010932
177.272,262.434943022
177.287,262.460434988
177.302,262.485484056
177.31,262.498661508
177.317,262.510087461
177.332,262.534242445
177.347,262.55794626
177.362,262.581196168
177.377,262.603989439
177.392,262.626323354
177.407,262.648195204
177.422,262.669602293
177.437,262.690541932
177.452,262.711011448
177.467,262.731008178
177.482,262.750529472
177.497,262.769572692
177.512,262.788135216
177.527,262.806214431
177.542,262.823807743
177.557,262.84091257
177.572,262.857526347
177.587,262.87364652
177.602,262.889270557
177.617,262.904395937
177.632,262.919020159
177.647,262.933140737
177.66,262.944969273
177.662,262.946755205
177.677,262.959861112
177.692,262.972456028
177.707,262.98453754
177.722,262.996103255
177.737,263.0071508
177.752,263.017677821
177.767,263.027681986
177.782,263.037160983
177.797,263.046112522
177.812,263.054534334
177.827,263.062424172
177.842,263.069779814
177.857,263.076599058
177.872,263.082879728
177.887,263.088619671
177.902,263.093816756
177.917,263.098468881
177.932,263.102573967
177.947,263.10612996
177.96,263.108766097
177.962,263.109134832
177.977,263.111586584
177.992,263.11348324
178.007,263.114822854
178.022,263.115603506
178.037,263.115823304
178.052,263.115480387
178.067,263.114572918
178.082,263.113099094
178.097,263.111057137
178.112,263.108445303
178.127,263.105261875
178.142,263.101505168
178.157,263.097173528
178.172,263.092265332
178.187,263.086778989
178.202,263.080712939
178.217,263.074065655
178.232,263.066835643
178.247,263.059021441
178.262,263.05062162
178.277,263.041634785
178.292,263.032059576
178.307,263.021894665
178.322,263.011138761
178.337,262.999790604
178.352,262.987848971
178.367,262.975312675
178.382,262.962180564
178.397,262.94845152
178.41,262.936069325
178.412,262.934124461
178.427,262.919198344
178.442,262.903672159
178.457,262.887544934
178.472,262.870815733
178.487,262.853483658
178.502,262.835547846
178.517,262.817007472
178.532,262.79786175
178.547,262.77810993
178.562,262.757751297
178.577,262.736785179
178.592,262.715210936
178.607,262.69302797
178.622,262.67023572
178.637,262.646833661
178.652,262.622821308
178.667,262.598198213
178.682,262.572963966
178.697,262.547118196
178.712,262.520660568
178.727,262.493590788
178.742,262.465908598
178.757,262.437613777
178.772,262.408706144
178.787,262.379185554
178.802,262.349051902
178.817,262.318305118
178.832,262.28694517
178.847,262.254972065
178.862,262.222385846
178.877,262.189186593
178.892,262.155374423
178.907,262.12094949
178.922,262.085911983
178.937,262.05026213
178.952,262.014000194
178.967,261.977126471
178.982,261.939641298
178.997,261.901545042
179.012,261.862838108
179.027,261.823520935
179.042,261.783593997
179.057,261.743057801
179.072,261.701912889
179.087,261.660159835
179.102,261.617799247
179.117,261.574831766
179.132,261.531258066
179.147,261.487078849
179.16,261.448300969
179.162,261.442294854
179.177,261.396906848
179.192,261.350915629
179.207,261.304322026
179.222,261.257126896
179.237,261.209331129
179.252,261.160935639
179.267,261.111941374
179.282,261.062349305
179.297,261.012160433
179.312,260.961375787
179.327,260.909996419
179.342,260.85802341
179.357,260.805457866
179.372,260.752300916
179.387,260.698553716
179.402,260.644217444
179.417,260.589293303
179.432,260.533782516
179.447,260.477686333
179.462,260.421006019
179.477,260.363742868
179.492,260.305898188
179.507,260.247473311
179.522,260.188469586
179.537,260.128888384
179.552,260.068731091
179.567,260.007999114
179.582,259.946693876
179.597,259.884816816
179.612,259.822369391
179.627,259.759353073
179.642,259.695769349
179.657,259.631619721
179.672,259.566905706
179.687,259.501628834
179.702,259.435790648
179.717,259.369392705
179.732,259.302436574
179.747,259.234923835
179.762,259.166856079
179.777,259.098234911
179.792,259.029061944
179.807,258.959338803
179.822,258.88906712
179.837,258.81824854
179.852,258.746884714
179.867,258.674977306
179.882,258.602527983
179.897,258.529538423
179.91,258.465845118
179.912,258.456010314
179.927,258.381945349
179.942,258.307345228
179.957,258.23221166
179.972,258.156546359
179.987,258.080351049
180.002,258.003627457
180.017,257.926377319
180.032,257.848602377
180.047,257.770304378
180.062,257.691485078
180.077,257.612146236
180.092,257.53228962
180.107,257.451917003
180.122,257.371030166
180.137,257.289630892
180.152,257.207720976
180.167,257.125302217
180.182,257.042376419
180.197,256.958945398
180.212,256.875010971
180.227,256.790574968
180.242,256.705639222
180.257,256.620205578
180.272,256.534275886
180.287,256.447852006
180.302,256.360935807
180.317,256.273529166
180.332,256.185633972
180.347,256.097252122
180.362,256.008385524
180.377,255.919036098
180.392,255.829205774
180.407,255.738896495
180.422,255.648110216
180.437,255.556848906
180.452,255.465114547
180.467,255.372909134
180.482,255.280234679
180.497,255.187093208
180.512,255.093486763
180.527,254.999417404
180.542,254.904887207
180.557,254.809898266
180.56,254.790845614
180.572,254.714452694
180.587,254.618552623
180.602,254.522200206
180.617,254.425397614
180.632,254.328147041
180.647,254.230450704
180.66,254.145421701
180.662,254.132310841
180.677,254.033729713
180.692,253.934709605
180.707,253.835252828
180.722,253.735361716
180.737,253.63503863
180.752,253.534285958
180.767,253.433106113
180.782,253.331501536
180.797,253.229474697
180.812,253.127028094
180.827,253.024164253
180.842,252.920885731
180.857,252.817195115
180.872,252.713095019
180.887,252.608588092
180.902,252.50367701
