# 78954 TBPB Grantley Adams Observations at 12Z 26 Nov 2019
Frequency [GHz],TB
175.31,275.530588063
175.322,275.510253841
175.337,275.48477682
175.352,275.459233758
175.367,275.433624426
175.382,275.407948591
175.397,275.382206019
175.412,275.356396476
175.427,275.330519726
175.442,275.304575529
175.457,275.278563648
175.472,275.252483841
175.487,275.226335867
175.502,275.200119481
175.517,275.173834438
175.532,275.147480491
175.547,275.121057393
175.562,275.094564894
175.577,275.068002742
175.592,275.041370685
175.607,275.014668467
175.622,274.987895834
175.637,274.961052528
175.652,274.934138289
175.667,274.907152858
175.682,274.88009597
175.697,274.852967364
175.712,274.825766773
175.727,274.79849393
175.742,274.771148567
175.757,274.743730412
175.772,274.716239194
175.787,274.688674639
175.802,274.661036471
175.817,274.633324413
175.832,274.605538187
175.847,274.577677511
175.862,274.549742103
175.877,274.521731679
175.892,274.493645954
175.907,274.465484639
175.922,274.437247445
175.937,274.40893408
175.952,274.380544253
175.967,274.352077667
175.982,274.323534026
175.997,274.294913032
176.012,274.266214385
176.027,274.237437781
176.042,274.208582916
176.057,274.179649486
176.072,274.150637181
176.087,274.121545692
176.102,274.092374706
176.117,274.063123911
176.132,274.03379299
176.147,274.004381626
176.162,273.974889499
176.177,273.945316287
176.192,273.915661666
176.207,273.885925311
176.222,273.856106894
176.237,273.826206085
176.252,273.796222552
176.267,273.76615596
176.282,273.736005975
176.297,273.705772257
176.31,273.679501708
176.312,273.675454466
176.327,273.645052259
176.342,273.614565292
176.357,273.583993218
176.372,273.553335688
176.387,273.522592349
176.402,273.49176285
176.417,273.460846833
176.432,273.429843941
176.447,273.398753813
176.46,273.371738191
176.462,273.367576086
176.477,273.336310396
176.492,273.304956375
176.507,273.273513654
176.522,273.24198186
176.537,273.210360619
176.552,273.178649553
176.567,273.146848284
176.582,273.11495643
176.597,273.082973607
176.612,273.050899427
176.627,273.018733502
176.642,272.986475439
176.657,272.954124845
176.672,272.921681323
176.687,272.889144472
