# 78954 TBPB Grantley Adams Observations at 12Z 07 Dec 2019
Frequency [GHz],TB
175.31,284.055327413
175.322,284.043876963
175.337,284.029532121
175.352,284.01515194
175.367,284.000736387
175.382,283.986285431
175.397,283.971799038
175.412,283.957277173
175.427,283.9427198
175.442,283.928126883
175.457,283.913498384
175.472,283.898834263
175.487,283.88413448
175.502,283.869398993
175.517,283.854627759
175.532,283.839820734
175.547,283.824977874
175.562,283.81009913
175.577,283.795184456
175.592,283.780233801
175.607,283.765247116
175.622,283.750224349
175.637,283.735165445
175.652,283.720070351
175.667,283.70493901
175.682,283.689771365
175.697,283.674567356
175.712,283.659326923
175.727,283.644050005
175.742,283.628736537
175.757,283.613386454
175.772,283.59799969
175.787,283.582576177
175.802,283.567115845
175.817,283.551618622
175.832,283.536084437
175.847,283.520513212
175.862,283.504904874
175.877,283.489259342
175.892,283.473576539
175.907,283.457856381
175.922,283.442098787
175.937,283.42630367
175.952,283.410470943
175.967,283.39460052
175.982,283.378692307
175.997,283.362746214
176.012,283.346762146
176.027,283.330740006
176.042,283.314679696
176.057,283.298581117
176.072,283.282444165
176.087,283.266268738
176.102,283.250054728
176.117,283.233802027
176.132,283.217510525
176.147,283.20118011
176.162,283.184810667
176.177,283.168402079
176.192,283.151954227
176.207,283.13546699
176.222,283.118940245
176.237,283.102373866
176.252,283.085767725
176.267,283.069121692
176.282,283.052435634
176.297,283.035709417
176.31,283.021180771
176.312,283.018942903
176.327,283.002135952
176.342,282.985288422
176.357,282.96840017
176.372,282.951471047
176.387,282.934500903
176.402,282.917489588
176.417,282.900436945
176.432,282.883342818
176.447,282.866207047
176.46,282.851322234
176.462,282.849029469
176.477,282.831809918
176.492,282.814548227
176.507,282.797244225
176.522,282.779897738
176.537,282.76250859
176.552,282.745076601
176.567,282.727601591
176.582,282.710083372
176.597,282.692521759
176.612,282.674916559
176.627,282.65726758
176.642,282.639574623
176.657,282.62183749
176.672,282.604055977
176.687,282.586229878
176.702,282.568358983
176.717,282.550443082
176.732,282.532481957
176.747,282.514475389
176.762,282.496423158
176.777,282.478325036
176.792,282.460180795
176.807,282.441990204
176.822,282.423753025
176.837,282.405469021
176.852,282.387137948
176.867,282.36875956
176.882,282.350333608
176.897,282.331859838
176.912,282.313337993
176.927,282.294767813
176.942,282.276149032
176.957,282.257481383
176.972,282.238764594
176.987,282.21999839
177.002,282.201182489
177.017,282.18231661
177.032,282.163400463
177.047,282.144433758
177.062,282.125416199
177.077,282.106347486
177.092,282.087227316
177.107,282.06805538
177.122,282.048831366
177.137,282.029554957
177.152,282.010225834
177.167,281.99084367
177.182,281.971408136
177.197,281.951918898
177.21,281.934984523
177.212,281.932375617
177.227,281.912777951
177.242,281.893125552
177.257,281.873418068
177.272,281.853655141
177.287,281.833836409
177.302,281.813961507
177.31,281.803338464
177.317,281.794030064
177.332,281.774041702
177.347,281.75399604
177.362,281.733892693
177.377,281.71373127
177.392,281.693511373
177.407,281.673232602
177.422,281.65289455
177.437,281.632496805
177.452,281.612038949
177.467,281.59152056
177.482,281.570941211
177.497,281.550300466
177.512,281.529597888
177.527,281.508833031
177.542,281.488005445
177.557,281.467114673
177.572,281.446160255
177.587,281.425141721
177.602,281.404058598
177.617,281.382910407
177.632,281.361696661
177.647,281.340416869
177.66,281.321920573
177.662,281.319070532
177.677,281.297657146
177.692,281.276176199
177.707,281.254627176
177.722,281.233009552
177.737,281.211322798
177.752,281.189566375
177.767,281.167739742
177.782,281.145842347
177.797,281.123873634
177.812,281.101833038
177.827,281.079719989
177.842,281.057533908
177.857,281.035274211
177.872,281.012940305
177.887,280.99053159
177.902,280.968047459
177.917,280.945487298
177.932,280.922850484
177.947,280.900136388
177.96,280.880387832
177.962,280.877344372
177.977,280.854473791
177.992,280.831523991
178.007,280.808494313
178.022,280.785384085
178.037,280.762192632
178.052,280.738919266
178.067,280.715563295
178.082,280.692124015
178.097,280.668600716
178.112,280.644992677
178.127,280.621299171
178.142,280.597519461
178.157,280.573652799
178.172,280.549698432
178.187,280.525655593
178.202,280.50152351
178.217,280.4773014
178.232,280.452988471
178.247,280.42858392
178.262,280.404086935
178.277,280.379496695
178.292,280.354812369
178.307,280.330033115
178.322,280.305158081
178.337,280.280186407
178.352,280.255117219
178.367,280.229949635
178.382,280.204682761
178.397,280.179315695
178.41,280.157249151
