# 48698 WSSS Singapore Observations at 12Z 09 Dec 2019
Frequency [GHz],TB
175.31,270.50801289
175.322,270.486516703
175.337,270.459587988
175.352,270.432594115
175.367,270.405534894
175.382,270.378410133
175.397,270.351219641
175.412,270.323963224
175.427,270.296640689
175.442,270.26925184
175.457,270.241796482
175.472,270.21427442
175.487,270.186685455
175.502,270.15902939
175.517,270.131306027
175.532,270.103515165
175.547,270.075656604
175.562,270.047730144
175.577,270.019735581
175.592,269.991672713
175.607,269.963541336
175.622,269.935341245
175.637,269.907072235
175.652,269.878734099
175.667,269.85032663
175.682,269.821849619
175.697,269.793302857
175.712,269.764686134
175.727,269.73599924
175.742,269.707241961
175.757,269.678414086
175.772,269.6495154
175.787,269.620545688
175.802,269.591504735
175.817,269.562392324
175.832,269.533208238
175.847,269.503952257
175.862,269.474624162
175.877,269.445223732
175.892,269.415750746
175.907,269.38620498
175.922,269.356586212
175.937,269.326894216
175.952,269.297128767
175.967,269.267289637
175.982,269.237376599
175.997,269.207389423
176.012,269.177327881
176.027,269.14719174
176.042,269.116980768
176.057,269.086694731
176.072,269.056333396
176.087,269.025896527
176.102,268.995383887
176.117,268.964795238
176.132,268.934130341
176.147,268.903388955
176.162,268.87257084
176.177,268.841675752
176.192,268.810703448
176.207,268.779653682
176.222,268.748526209
176.237,268.717320781
176.252,268.686037149
176.267,268.654675063
176.282,268.623234271
176.297,268.591714522
176.31,268.564333341
176.312,268.56011556
176.327,268.528437132
176.342,268.49667898
176.357,268.464840846
176.372,268.432922471
176.387,268.400923594
176.402,268.368843954
176.417,268.336683287
176.432,268.304441328
176.447,268.27211781
176.46,268.244037917
176.462,268.239712467
176.477,268.207225029
176.492,268.174655224
176.507,268.142002782
176.522,268.109267428
176.537,268.076448887
176.552,268.043546883
176.567,268.010561137
176.582,267.977491369
176.597,267.944337298
176.612,267.911098641
176.627,267.877775113
176.642,267.844366427
176.657,267.810872297
176.672,267.777292432
176.687,267.74362654
176.702,267.70987433
176.717,267.676035505
176.732,267.64210977
176.747,267.608096825
176.762,267.573996372
176.777,267.539808107
176.792,267.505531728
176.807,267.471166928
176.822,267.4367134
176.837,267.402170835
176.852,267.367538921
176.867,267.332817344
176.882,267.298005791
176.897,267.263103943
176.912,267.22811148
176.927,267.193028083
176.942,267.157853427
176.957,267.122587188
176.972,267.087229036
176.987,267.051778643
177.002,267.016235678
177.017,266.980599805
177.032,266.944870688
177.047,266.90904799
177.062,266.873131369
177.077,266.837120483
177.092,266.801014985
177.107,266.764814529
177.122,266.728518763
177.137,266.692127337
177.152,266.655639894
177.167,266.619056077
177.182,266.582375526
177.197,266.54559788
177.21,266.513645098
177.212,266.508722772
177.227,266.471749836
177.242,266.434678702
177.257,266.397508995
177.272,266.360240342
177.287,266.322872363
177.302,266.285404678
177.31,266.265381012
177.317,266.247836903
177.332,266.210168651
177.347,266.172399533
177.362,266.134529157
177.377,266.096557127
177.392,266.058483046
177.407,266.020306511
177.422,265.982027119
177.437,265.943644462
177.452,265.905158131
177.467,265.86656771
177.482,265.827872785
177.497,265.789072934
177.512,265.750167734
177.527,265.711156759
177.542,265.67203958
177.557,265.632815761
177.572,265.593484868
177.587,265.554046459
177.602,265.514500091
177.617,265.474845316
177.632,265.435081684
177.647,265.39520874
177.66,265.360563413
177.662,265.355226026
177.677,265.315133079
177.692,265.274929434
177.707,265.234614621
177.722,265.194188166
177.737,265.153649592
177.752,265.112998417
177.767,265.072234157
177.782,265.03135632
177.797,264.990364413
177.812,264.949257939
177.827,264.908036394
177.842,264.866699273
177.857,264.825246064
177.872,264.783676252
177.887,264.741989317
177.902,264.700184735
177.917,264.658261977
177.932,264.616220508
177.947,264.574059792
177.96,264.537423626
177.962,264.531779284
177.977,264.489378437
177.992,264.446856698
178.007,264.404213509
178.022,264.361448308
178.037,264.318560526
178.052,264.275549591
178.067,264.232414925
178.082,264.189155944
178.097,264.145772059
178.112,264.102262677
178.127,264.058627197
178.142,264.014865015
178.157,263.970975519
178.172,263.926958093
178.187,263.882812116
178.202,263.838536958
178.217,263.794131987
178.232,263.749596561
178.247,263.704930036
178.262,263.660131759
178.277,263.615201072
178.292,263.570137311
178.307,263.524939804
178.322,263.479607874
178.337,263.434140838
178.352,263.388538005
178.367,263.342798678
178.382,263.296922153
178.397,263.250907719
178.41,263.210916436
178.412,263.204754659
178.427,263.158462249
178.442,263.112029756
178.457,263.065456442
178.472,263.01874156
178.487,262.971884358
178.502,262.924884073
178.517,262.877739937
178.532,262.830451175
178.547,262.783017002
178.562,262.735436627
178.577,262.687709249
178.592,262.639834061
178.607,262.591810248
178.622,262.543636985
178.637,262.49531344
178.652,262.446838771
178.667,262.398212131
178.682,262.34943266
178.697,262.300499492
178.712,262.251411751
178.727,262.202168554
178.742,262.152769006
178.757,262.103212204
178.772,262.053497237
178.787,262.003623184
178.802,261.953589113
178.817,261.903394084
178.832,261.853037146
178.847,261.80251734
178.862,261.751833695
178.877,261.700985231
178.892,261.649970959
178.907,261.598789876
178.922,261.547440973
178.937,261.495923227
178.952,261.444235606
178.967,261.392377067
178.982,261.340346555
178.997,261.288143006
179.012,261.235765342
179.027,261.183212475
179.042,261.130483308
179.057,261.077576728
179.072,261.024491612
179.087,260.971226827
179.102,260.917781226
179.117,260.864153649
179.132,260.810342927
179.147,260.756347874
179.16,260.709402135
179.162,260.702167296
179.177,260.647799983
179.192,260.593244713
179.207,260.538500252
179.222,260.483565352
179.237,260.428438751
179.252,260.373119175
179.267,260.317605336
179.282,260.26189593
179.297,260.205989642
179.312,260.149885142
179.327,260.093581086
179.342,260.037076113
179.357,259.980368851
179.372,259.923457912
179.387,259.866341891
179.402,259.809019372
179.417,259.75148892
179.432,259.693749086
179.447,259.635798406
179.462,259.5776354
179.477,259.519258571
179.492,259.460666407
179.507,259.40185738
179.522,259.342829943
179.537,259.283582536
179.552,259.22411358
179.567,259.164421479
179.582,259.104504621
179.597,259.044361375
179.612,258.983990094
179.627,258.923389111
179.642,258.862556745
179.657,258.801491292
179.672,258.740191033
179.687,258.67865423
179.702,258.616879125
179.717,258.554863943
179.732,258.492606887
179.747,258.430106144
179.762,258.367359878
179.777,258.304366237
179.792,258.241123346
179.807,258.177629312
179.822,258.113882219
179.837,258.049880133
179.852,257.985621098
179.867,257.921103137
179.882,257.856324253
179.897,257.791282424
179.91,257.73469857
179.912,257.72597561
179.927,257.660401749
179.942,257.594558753
179.957,257.528444516
179.972,257.462056907
179.987,257.395393774
180.002,257.328452938
180.017,257.261232202
180.032,257.19372934
180.047,257.125942107
180.062,257.057868231
180.077,256.989505417
180.092,256.920851344
180.107,256.851903667
180.122,256.782660017
180.137,256.713117998
180.152,256.643275188
180.167,256.573129141
180.182,256.502677383
180.197,256.431917415
180.212,256.36084671
180.227,256.289462716
180.242,256.21776285
180.257,256.145744506
180.272,256.073405046
180.287,256.000741807
180.302,255.927752094
180.317,255.854433188
180.332,255.780782336
180.347,255.706796758
180.362,255.632473645
180.377,255.557810157
180.392,255.482803422
180.407,255.407450539
180.422,255.331748576
180.437,255.25569457
180.452,255.179285524
180.467,255.102518411
180.482,255.025390171
180.497,254.947897711
180.512,254.870037903
180.527,254.791807589
180.542,254.713203574
180.557,254.63422263
180.56,254.618380924
180.572,254.554861494
180.587,254.475116867
180.602,254.394985416
180.617,254.31446377
180.632,254.233548524
180.647,254.152236233
180.66,254.081441727
180.662,254.070523417
180.677,253.988406558
180.692,253.9058821
180.707,253.822946447
180.722,253.739595965
180.737,253.655826981
180.752,253.57163578
180.767,253.487018608
180.782,253.40197167
180.797,253.316491128
180.812,253.230573105
180.827,253.144213679
180.842,253.057408885
180.857,252.970154716
180.872,252.88244712
180.887,252.794282001
180.902,252.705655217
180.917,252.616562581
180.932,252.526999861
180.947,252.436962776
180.962,252.346447
180.977,252.255448157
180.992,252.163961827
181.007,252.071983536
181.022,251.979508764
181.037,251.88653294
181.052,251.793051444
181.067,251.699059603
181.082,251.604552695
181.097,251.509525945
181.112,251.413974525
181.127,251.317893555
181.142,251.221278103
181.157,251.124123181
181.172,251.026423748
181.187,250.928174708
181.202,250.829370912
181.217,250.730007153
181.232,250.630078171
181.247,250.529578649
181.262,250.428503212
181.277,250.326846433
181.292,250.224602826
181.307,250.121766848
181.31,250.101128076
181.322,250.0183329
181.337,249.914295326
181.352,249.809648416
181.367,249.7043864
181.382,249.598503454
181.397,249.491993697
181.412,249.384851193
181.427,249.277069951
181.442,249.168643926
181.457,249.059567017
181.472,248.949833074
181.487,248.839435891
181.502,248.728369213
181.517,248.616626735
181.532,248.504202103
181.547,248.391088917
181.562,248.277280732
181.577,248.16277106
181.592,248.04755337
181.607,247.931621095
181.622,247.814967631
181.637,247.69758634
181.652,247.579470555
181.667,247.460613583
181.682,247.341008707
181.697,247.220649191
181.712,247.099528286
181.727,246.977639231
181.742,246.854975264
181.757,246.731529622
181.772,246.60729555
181.787,246.482266305
181.802,246.356435168
181.817,246.229795445
181.832,246.102340482
181.847,245.974063666
181.862,245.844958443
181.877,245.715018319
181.892,245.584236879
181.907,245.452607793
181.922,245.320124829
181.937,245.186781869
181.952,245.052572919
181.967,244.917492127
181.982,244.781533796
181.997,244.644692406
182.012,244.506962623
182.027,244.368339328
182.042,244.228817631
182.057,244.088392894
182.06,244.060199193
182.072,243.947060754
182.087,243.804817148
182.102,243.661658338
182.117,243.517580939
182.132,243.372581945
182.147,243.226658765
182.162,243.079809251
182.177,242.932031734
182.192,242.783325061
182.207,242.633688632
182.222,242.483122442
182.237,242.331627123
182.252,242.179203991
182.267,242.025855093
182.282,241.871583259
182.297,241.716392154
182.312,241.560286336
182.327,241.403271318
182.342,241.245353627
182.357,241.086540876
182.372,240.926841832
182.387,240.766266491
182.402,240.604826159
182.417,240.442533531
182.432,240.279402788
182.447,240.115449679
182.462,239.95069163
182.477,239.785147841
182.492,239.618839398
182.507,239.451789392
182.522,239.284023035
182.537,239.115567796
182.552,238.946453534
182.567,238.776712643
182.582,238.606380202
182.597,238.435494139
182.612,238.264095398
182.627,238.092228115
182.642,237.919939809
182.657,237.747281578
182.672,237.574308306
182.687,237.401078883
182.702,237.227656431
182.717,237.054108552
182.732,236.880507576
182.747,236.706930826
182.762,236.533460905
182.777,236.360185981
182.792,236.187200102
182.807,236.014603517
182.822,235.842503021
182.837,235.671012319
182.852,235.500252409
182.867,235.330351996
182.882,235.161447936
182.897,234.99368572
182.912,234.827220002
182.927,234.662215193
182.942,234.498846121
182.957,234.337298802
182.972,234.177771318
182.987,234.020474865
183.002,233.865634994
183.017,233.713493106
183.032,233.56430826
183.047,233.418359371
183.062,233.275947865
183.077,233.137400871
183.092,233.003075014
183.107,232.873360818
183.122,232.748687667
183.137,232.629529122
183.152,232.516408205
183.167,232.409901934
183.182,232.310644019
183.197,232.219324163
183.212,232.136682002
183.227,232.063493478
183.242,232.000547716
183.257,231.948613465
183.367,231.94807704
183.382,231.999573608
183.397,232.061908322
183.412,232.134305505
183.427,232.215977975
183.442,232.306158021
183.457,232.404118069
183.472,232.509182267
183.487,232.620731068
183.502,232.73820097
183.517,232.861081279
183.532,232.988909353
183.547,233.121265292
183.562,233.25776671
183.577,233.39806393
183.592,233.541835748
183.607,233.688785811
183.622,233.838639577
183.637,233.991141788
183.652,234.146054385
183.667,234.303154792
183.682,234.462234488
183.697,234.623097823
183.712,234.785561023
183.727,234.949451331
183.742,235.114606279
183.757,235.280873034
183.772,235.448107833
183.787,235.616175454
183.802,235.784948749
183.817,235.954308207
183.832,236.124141543
183.847,236.294343318
183.862,236.464814582
183.877,236.635462529
183.892,236.80620018
183.907,236.976946071
183.922,237.147623966
183.937,237.318162573
183.952,237.488495287
183.967,237.65855993
183.982,237.828298518
183.997,237.997657026
184.012,238.166585176
184.027,238.33503623
184.042,238.50296679
184.057,238.670336615
184.072,238.837108444
184.087,239.003247826
184.102,239.168722963
184.117,239.33350456
184.132,239.497565678
184.147,239.660881604
184.162,239.823429717
184.177,239.985189374
184.192,240.146141785
184.207,240.306269916
184.222,240.465558375
184.237,240.623993322
184.252,240.781562375
184.267,240.93825452
184.282,241.094060033
184.297,241.248970396
184.312,241.402978229
184.327,241.556077217
184.342,241.708262044
184.357,241.859528332
184.372,242.009872578
184.387,242.159292102
184.402,242.307784993
184.417,242.455350058
184.432,242.601986774
184.447,242.747695244
184.462,242.892476158
184.477,243.036330746
184.492,243.179260746
184.507,243.321268365
184.522,243.462356246
184.537,243.60252744
184.552,243.741785367
184.56,243.815684126
184.567,243.880133798
184.582,244.017576819
184.597,244.154118814
184.612,244.289764433
184.627,244.424518577
184.642,244.558386372
184.657,244.69137315
184.672,244.823484432
184.687,244.954725909
184.702,245.085103425
184.717,245.214622963
184.732,245.34329063
184.747,245.471112642
184.762,245.598095311
184.777,245.724245037
184.792,245.849568291
184.807,245.974071609
184.822,246.097761579
184.837,246.220644834
184.852,246.342728042
184.867,246.4640179
184.882,246.584521124
184.897,246.704244443
184.912,246.823194594
184.927,246.941378314
184.942,247.058802335
184.957,247.175473379
184.972,247.291398156
184.987,247.406583354
185.002,247.521035638
185.017,247.634761648
185.032,247.747767994
185.047,247.860061252
185.062,247.971647961
185.077,248.082534622
185.092,248.192727696
185.107,248.302233599
185.122,248.411058704
185.137,248.519209335
185.152,248.626691769
185.167,248.733512232
185.182,248.8396769
185.197,248.945191895
185.212,249.050063289
185.227,249.154297097
185.242,249.25789928
185.257,249.360875745
185.272,249.463232343
185.287,249.564974867
185.302,249.666109056
185.31,249.719800512
185.317,249.76664059
185.332,249.866575094
185.347,249.965918136
185.362,250.064675225
185.377,250.162851815
185.392,250.260453303
185.407,250.357485029
185.422,250.453952277
185.437,250.549860273
185.452,250.645214189
185.467,250.740019142
185.482,250.834280191
185.497,250.928002341
185.512,251.021190545
185.527,251.113849698
185.542,251.205984643
185.557,251.297600171
185.572,251.388701019
185.587,251.47929187
185.602,251.569377359
185.617,251.658962066
185.632,251.748050523
185.647,251.83664721
185.662,251.924756557
185.677,252.012382947
185.692,252.099530713
185.707,252.186204139
185.722,252.272407462
185.737,252.358144873
185.752,252.443420515
185.767,252.528238486
185.782,252.612602838
185.797,252.696517578
185.812,252.779986671
185.827,252.863014033
185.842,252.945603543
185.857,253.027759032
185.872,253.109484291
185.887,253.19078307
185.902,253.271659076
185.917,253.352115977
185.932,253.432157399
185.947,253.511786929
185.96,253.580468757
185.962,253.591008115
185.977,253.669824467
185.992,253.748239454
186.007,253.826256511
186.022,253.903879031
186.037,253.981110375
186.052,254.057953864
186.06,254.098779604
186.067,254.134412784
186.082,254.210490385
186.097,254.286189884
186.112,254.36151446
186.127,254.43646726
186.142,254.511051397
186.157,254.585269949
186.172,254.659125961
186.187,254.732622448
186.202,254.80576239
186.217,254.878548735
186.232,254.950984401
186.247,255.023072273
186.262,255.094815208
186.277,255.16621603
186.292,255.237277533
186.307,255.308002483
186.322,255.378393615
186.337,255.448453634
186.352,255.51818522
186.367,255.58759102
186.382,255.656673657
186.397,255.725435723
186.412,255.793879784
186.427,255.862008379
186.442,255.92982402
186.457,255.997329193
186.472,256.064526355
186.487,256.131417941
186.502,256.198006358
186.517,256.264293987
186.532,256.330283186
186.547,256.395976287
186.562,256.461375598
186.577,256.526483401
186.592,256.591301957
186.607,256.6558335
186.622,256.720080243
186.637,256.784044374
186.652,256.84772806
186.667,256.911133443
186.682,256.974262645
186.697,257.037117763
186.71,257.091372102
186.712,257.099700875
186.727,257.162014034
186.742,257.224059274
186.757,257.285838606
186.772,257.347354023
186.787,257.408607493
186.802,257.469600966
186.817,257.530336372
186.832,257.590815618
186.847,257.651040594
186.862,257.71101317
186.877,257.770735195
186.892,257.830208499
186.907,257.889434894
186.922,257.948416172
186.937,258.007154107
186.952,258.065650455
186.967,258.123906952
186.982,258.181925317
186.997,258.239707253
187.012,258.297254441
187.027,258.354568549
187.042,258.411651224
187.057,258.468504099
187.072,258.525128787
187.087,258.581526887
187.102,258.637699981
187.117,258.693649633
187.132,258.749377391
187.147,258.80488479
187.162,258.860173345
187.177,258.915244558
187.192,258.970099915
187.207,259.024740886
187.222,259.079168926
187.237,259.133385476
187.252,259.187391962
187.267,259.241189794
187.282,259.294780368
187.297,259.348165067
187.312,259.401345258
187.327,259.454322295
187.342,259.507097518
187.357,259.559672254
187.372,259.612047815
187.387,259.664225501
187.402,259.716206597
187.417,259.767992377
187.432,259.8195841
187.447,259.870983014
187.46,259.915373733
187.462,259.922190353
187.477,259.97320734
187.492,260.024035184
187.507,260.074675082
187.522,260.12512822
187.537,260.175395771
187.552,260.225478897
187.567,260.275378747
187.582,260.32509646
187.597,260.374633162
187.612,260.42398997
187.627,260.473167987
187.642,260.522168307
187.657,260.570992012
187.672,260.619640174
187.687,260.668113854
187.702,260.716414102
187.717,260.764541959
187.732,260.812498454
187.747,260.860284606
187.762,260.907901425
187.777,260.955349911
187.792,261.002631053
187.807,261.049745831
187.822,261.096695215
187.837,261.143480167
187.852,261.190101637
187.867,261.236560569
187.882,261.282857895
187.897,261.328994538
187.912,261.374971414
187.927,261.42078943
187.942,261.466449482
