# 01004 ENAS Ny-Alesund Ii Observations at 12Z 10 Dec 2019
Frequency [GHz],TB
175.31,194.546130656
175.322,194.604338996
175.337,194.677326206
175.352,194.750566209
175.367,194.824059872
175.382,194.897808059
175.397,194.971811632
175.412,195.046071457
175.427,195.120588401
175.442,195.195363331
175.457,195.270397112
175.472,195.345690612
175.487,195.421244696
175.502,195.497060233
175.517,195.573138082
175.532,195.649479117
175.547,195.726084202
175.562,195.802954202
175.577,195.880089986
175.592,195.957492415
175.607,196.035162353
175.622,196.11310067
175.637,196.191308227
175.652,196.269785889
175.667,196.348534514
175.682,196.427554966
175.697,196.506848109
175.712,196.5864148
175.727,196.666255898
175.742,196.746372265
175.757,196.826764752
175.772,196.907434219
175.787,196.988381518
175.802,197.069607504
175.817,197.151113024
175.832,197.232898934
175.847,197.314966077
175.862,197.397315302
175.877,197.479947452
175.892,197.562863374
175.907,197.646063905
175.922,197.729549883
175.937,197.813322146
175.952,197.897381529
175.967,197.981728864
175.982,198.066364973
175.997,198.151290693
176.012,198.236506839
176.027,198.322014237
176.042,198.407813706
176.057,198.493906057
176.072,198.580292103
176.087,198.666972652
176.102,198.753948512
176.117,198.84122048
176.132,198.928789359
176.147,199.016655937
176.162,199.104821011
176.177,199.193285363
176.192,199.282049774
176.207,199.371115028
176.222,199.460481893
176.237,199.550151138
176.252,199.640123527
176.267,199.730399826
176.282,199.820980782
176.297,199.911867147
176.31,199.990882946
176.312,200.003059664
176.327,200.094559071
176.342,200.186366105
176.357,200.278481489
176.372,200.370905948
176.387,200.463640195
176.402,200.55668494
176.417,200.650040889
176.432,200.743708735
176.447,200.837689169
176.46,200.919392256
176.462,200.931982875
176.477,201.026590529
176.492,201.121512795
176.507,201.216750345
176.522,201.312303822
176.537,201.408173879
176.552,201.504361155
176.567,201.600866274
176.582,201.69768986
176.597,201.794832532
176.612,201.892294891
176.627,201.990077531
176.642,202.088181043
176.657,202.186606004
176.672,202.285352977
176.687,202.384422525
176.702,202.483815196
176.717,202.583531533
176.732,202.683572052
176.747,202.783937282
176.762,202.884627727
176.777,202.98564388
176.792,203.086986225
176.807,203.188655238
176.822,203.290651379
176.837,203.392975098
