# 10410 EDZE Essen Observations at 12Z 25 Dec 2019
Frequency [GHz],TB
175.31,265.058944872
175.322,265.073229627
175.337,265.09092107
175.352,265.108428881
175.367,265.12575216
175.382,265.142889991
175.397,265.159841478
175.412,265.176605714
175.427,265.193181808
175.442,265.209568858
175.457,265.22576598
175.472,265.241772287
175.487,265.25758689
175.502,265.273208916
175.517,265.288637481
175.532,265.303871721
175.547,265.318910764
175.562,265.333753742
175.577,265.348399798
175.592,265.362848078
175.607,265.377097729
175.622,265.391147905
175.637,265.404997761
175.652,265.418646465
175.667,265.432093178
175.682,265.445337079
175.697,265.45837734
175.712,265.471213147
175.727,265.483843687
175.742,265.496268154
175.757,265.508485746
175.772,265.52049567
175.787,265.532297134
175.802,265.543889355
175.817,265.555271557
175.832,265.566442968
175.847,265.577402822
175.862,265.58815036
175.877,265.59868483
175.892,265.609005487
175.907,265.619111593
175.922,265.629002413
175.937,265.638677225
175.952,265.648135309
175.967,265.657375953
175.982,265.666398459
175.997,265.675202125
176.012,265.683786267
176.027,265.692150201
176.042,265.700293257
176.057,265.708214769
176.072,265.71591408
176.087,265.723390542
176.102,265.730643514
176.117,265.737672363
176.132,265.744476471
176.147,265.751055217
176.162,265.757407999
176.177,265.763534219
176.192,265.769433289
176.207,265.775104632
176.222,265.780547678
176.237,265.785761865
176.252,265.790746645
176.267,265.795501477
176.282,265.800025829
176.297,265.804319181
176.31,265.807852838
176.312,265.808381023
176.327,265.812210854
176.342,265.815808178
176.357,265.819172523
176.372,265.822303414
176.387,265.825200394
176.402,265.827863012
176.417,265.830290834
176.432,265.832483432
176.447,265.834440388
176.46,265.835945496
176.462,265.8361613
176.477,265.837645772
176.492,265.838893428
176.507,265.839903893
176.522,265.840676808
176.537,265.841211828
176.552,265.841508617
176.567,265.841566852
176.582,265.841386221
176.597,265.840966426
176.612,265.840307179
176.627,265.839408208
176.642,265.838269248
176.657,265.836890049
176.672,265.835270376
176.687,265.833410004
176.702,265.831308721
176.717,265.828966329
176.732,265.826382641
176.747,265.823557485
176.762,265.820490702
176.777,265.817182145
176.792,265.813631681
176.807,265.809839192
176.822,265.805804569
176.837,265.801527721
176.852,265.79700857
176.867,265.792247049
176.882,265.787243106
176.897,265.781996704
176.912,265.77650782
176.927,265.770776441
176.942,265.764802572
176.957,265.758586234
176.972,265.752127454
176.987,265.745426282
177.002,265.738482777
177.017,265.731297012
177.032,265.723869077
177.047,265.716199078
177.062,265.708287128
177.077,265.70013336
177.092,265.691737922
177.107,265.683100974
177.122,265.674222689
177.137,265.665103259
177.152,265.655742884
177.167,265.646141791
177.182,265.636300204
177.197,265.626218373
177.21,265.617286662
177.212,265.615896563
177.227,265.60533505
177.242,265.594534121
177.257,265.583494086
177.272,265.572215265
177.287,265.56069799
177.302,265.548942609
177.31,265.542575843
177.317,265.53694949
177.332,265.524719009
177.347,265.512251558
177.362,265.499547543
177.377,265.486607386
177.392,265.473431521
177.407,265.460020398
177.422,265.446374481
177.437,265.432494251
177.452,265.418380193
177.467,265.404032818
177.482,265.389452642
177.497,265.374640203
177.512,265.359596047
177.527,265.344320736
177.542,265.328814839
177.557,265.313078955
177.572,265.297113676
177.587,265.280919623
177.602,265.264497422
177.617,265.247847716
177.632,265.230971159
177.647,265.213868418
177.66,265.198863614
177.662,265.196540176
177.677,265.178987126
177.692,265.161209969
177.707,265.143209431
177.722,265.124986237
177.737,265.106541133
177.752,265.087874871
177.767,265.068988219
177.782,265.049881956
177.797,265.030556873
177.812,265.01101377
177.827,264.99125346
177.842,264.97127677
177.857,264.951084532
177.872,264.93067759
177.887,264.910056802
177.902,264.889223038
177.917,264.86817717
177.932,264.846920087
177.947,264.825452686
177.96,264.806678179
177.962,264.803775871
177.977,264.781890561
177.992,264.759797681
178.007,264.737498161
178.022,264.714992949
178.037,264.692282991
178.052,264.66936925
178.067,264.646252693
178.082,264.622934297
178.097,264.599415042
178.112,264.575695922
178.127,264.551777933
178.142,264.527662079
178.157,264.503349374
178.172,264.478840835
178.187,264.454137487
178.202,264.429240358
178.217,264.404150482
178.232,264.378868909
178.247,264.353396675
178.262,264.327734836
178.277,264.301884448
178.292,264.27584657
178.307,264.249622268
178.322,264.223212607
178.337,264.196618662
178.352,264.169841505
178.367,264.142882215
178.382,264.115741872
178.397,264.08842156
178.41,264.06459922
178.412,264.060922365
178.427,264.033245368
178.442,264.005391664
178.457,263.97736234
178.472,263.949158485
178.487,263.920781194
178.502,263.892231555
178.517,263.863510661
178.532,263.834619604
178.547,263.805559474
178.562,263.776331363
178.577,263.746936359
178.592,263.717375551
178.607,263.687650022
178.622,263.65776086
178.637,263.627709146
178.652,263.597495959
178.667,263.567122374
178.682,263.536589468
178.697,263.505898309
178.712,263.475049963
178.727,263.444045495
178.742,263.412885963
178.757,263.381572418
178.772,263.350105911
178.787,263.318487487
178.802,263.286718182
178.817,263.254799031
178.832,263.222731062
178.847,263.190515296
178.862,263.158152743
178.877,263.125644417
178.892,263.092991315
178.907,263.060194433
178.922,263.027254757
178.937,262.994173265
178.952,262.960950927
178.967,262.927588709
178.982,262.894087563
178.997,262.860448435
179.012,262.826672262
179.027,262.792759966
179.042,262.758712476
179.057,262.724530693
179.072,262.69021552
179.087,262.655767843
179.102,262.621188542
179.117,262.586478487
179.132,262.551638534
179.147,262.516669531
179.16,262.48625932
179.162,262.481572314
179.177,262.446347708
179.192,262.41099653
179.207,262.375519577
179.222,262.339917647
179.237,262.304191511
179.252,262.268341941
179.267,262.232369694
179.282,262.196275508
179.297,262.160060113
179.312,262.123724231
179.327,262.087268566
179.342,262.050693806
179.357,262.014000638
179.372,261.977189724
179.387,261.940261717
179.402,261.903217259
179.417,261.866056975
179.432,261.828781482
179.447,261.791391378
179.462,261.753887246
179.477,261.716269662
179.492,261.678539187
179.507,261.640696362
179.522,261.60274172
179.537,261.564675778
179.552,261.526499038
179.567,261.488211993
179.582,261.449815112
179.597,261.411308862
179.612,261.372693685
179.627,261.333970018
179.642,261.295138276
179.657,261.256198863
179.672,261.21715217
179.687,261.177998573
179.702,261.138738432
179.717,261.099372093
179.732,261.05989989
179.747,261.020322138
179.762,260.980639145
179.777,260.940851198
179.792,260.90095857
179.807,260.860961526
179.822,260.820860306
179.837,260.780655148
179.852,260.740346267
179.867,260.699933864
179.882,260.659418133
179.897,260.618799245
179.91,260.583512891
179.912,260.578077361
179.927,260.537252627
179.942,260.496325177
179.957,260.455295125
179.972,260.414162578
179.987,260.372927623
180.002,260.33159034
180.017,260.290150786
180.032,260.248609006
180.047,260.20696504
180.062,260.165218901
180.077,260.123370598
180.092,260.081420119
180.107,260.039367445
180.122,259.99721254
180.137,259.954955347
180.152,259.912595807
180.167,259.870133841
180.182,259.827569358
180.197,259.784902249
180.212,259.742132397
180.227,259.699259666
180.242,259.656283911
180.257,259.613204971
180.272,259.570022669
180.287,259.52673682
180.302,259.483347216
180.317,259.439853649
180.332,259.396255886
180.347,259.352553679
180.362,259.308746776
180.377,259.264834905
180.392,259.22081778
180.407,259.176695102
180.422,259.132466563
180.437,259.08813183
180.452,259.043690567
180.467,258.99914242
180.482,258.954487018
180.497,258.909723983
180.512,258.86485292
180.527,258.819873412
180.542,258.77478504
180.557,258.729587366
180.56,258.720534674
180.572,258.684279935
180.587,258.63886228
180.602,258.593333925
180.617,258.547694369
180.632,258.501943105
180.647,258.456079606
180.66,258.41624004
180.662,258.410103336
180.677,258.364013738
180.692,258.317810246
180.707,258.271492277
180.722,258.225059229
180.737,258.178510494
180.752,258.131845439
180.767,258.085063424
180.782,258.038163788
180.797,257.991145858
180.812,257.944008942
180.827,257.896752337
180.842,257.849375321
180.857,257.801877159
180.872,257.754257095
180.887,257.706514363
180.902,257.658648178
180.917,257.610657738
180.932,257.562542226
180.947,257.514300811
180.962,257.465932638
180.977,257.417436842
180.992,257.368812544
181.007,257.320058837
181.022,257.271174808
181.037,257.22215952
181.052,257.173012026
181.067,257.123731357
181.082,257.074316524
181.097,257.024766526
181.112,256.975080343
181.127,256.925256939
181.142,256.875295257
181.157,256.825194225
181.172,256.774952753
181.187,256.724569735
181.202,256.674044044
181.217,256.623374539
181.232,256.572560059
181.247,256.521599428
181.262,256.470491449
181.277,256.419234911
181.292,256.367828586
181.307,256.316271225
181.31,256.305941518
181.322,256.264561564
181.337,256.212698325
181.352,256.160680208
181.367,256.108505901
181.382,256.056174076
181.397,256.003683381
181.412,255.951032456
181.427,255.898219929
181.442,255.845244399
181.457,255.792104466
181.472,255.738798704
181.487,255.685325681
181.502,255.631683945
181.517,255.577872037
181.532,255.52388848
181.547,255.469731793
181.562,255.415400479
181.577,255.36089303
181.592,255.306207934
181.607,255.251343667
181.622,255.196298696
181.637,255.141071487
181.652,255.085660498
181.667,255.030064181
181.682,254.97428099
181.697,254.918309374
181.712,254.862147784
181.727,254.805794673
181.742,254.749248498
181.757,254.692507719
181.772,254.635570806
181.787,254.578436237
181.802,254.521102502
181.817,254.463568108
181.832,254.405831571
181.847,254.347891435
181.862,254.289746258
181.877,254.23139463
181.892,254.172835165
181.907,254.114066509
181.922,254.055087344
181.937,253.995896392
181.952,253.936492414
181.967,253.876874223
181.982,253.817040682
181.997,253.756990708
182.012,253.696723281
182.027,253.636237454
182.042,253.575532338
182.057,253.514607135
182.06,253.502395619
182.072,253.453461126
182.087,253.392093684
182.102,253.330504278
182.117,253.268692483
182.132,253.206657985
