# 48698 WSSS Singapore Observations at 12Z 10 Feb 2020
Frequency [GHz],TB
175.31,273.983922472
175.322,273.963436103
175.337,273.937770035
175.352,273.912039227
175.367,273.886243435
175.382,273.860382414
175.397,273.834455996
175.412,273.80846389
175.427,273.782405909
175.442,273.756281783
175.457,273.730091321
175.472,273.703834261
175.487,273.677510386
175.502,273.651119448
175.517,273.624661229
175.532,273.598135472
175.547,273.571541934
175.562,273.544880406
175.577,273.518150597
175.592,273.491352312
175.607,273.46448527
175.622,273.437549258
175.637,273.410544009
175.652,273.38346927
175.667,273.356324814
175.682,273.329110373
175.697,273.301825701
175.712,273.274470547
175.727,273.247044649
175.742,273.219547766
175.757,273.191979597
175.772,273.164339957
175.787,273.136628526
175.802,273.108845068
175.817,273.080989308
175.832,273.053061004
175.847,273.025059871
175.862,272.996985636
175.877,272.968838056
175.892,272.940616854
175.907,272.91232174
175.922,272.883952458
175.937,272.855508743
175.952,272.826990303
175.967,272.798396855
175.982,272.769728147
175.997,272.740983891
176.012,272.712163788
176.027,272.683267589
176.042,272.654294978
176.057,272.625245675
176.072,272.59611941
176.087,272.566915878
176.102,272.537634802
176.117,272.508275895
176.132,272.478838845
176.147,272.449323369
176.162,272.419729172
176.177,272.390055948
176.192,272.360303412
176.207,272.330471252
176.222,272.300559167
176.237,272.270566876
176.252,272.24049402
176.267,272.210340352
176.282,272.180105528
176.297,272.149789237
176.31,272.123448999
176.312,272.11939119
176.327,272.088911067
176.342,272.058348541
176.357,272.027703291
176.372,271.99697501
176.387,271.966163386
176.402,271.935268086
176.417,271.90428879
176.432,271.873225153
176.447,271.842076878
176.46,271.815012981
176.462,271.810843616
176.477,271.779525058
176.492,271.748120844
176.507,271.71663066
176.522,271.685054156
176.537,271.653391013
176.552,271.621640867
176.567,271.589803393
176.582,271.557878244
176.597,271.525865071
176.612,271.49376354
176.627,271.461573284
176.642,271.429293963
176.657,271.396925215
176.672,271.364466692
176.687,271.331918044
176.702,271.299278889
176.717,271.266548887
176.732,271.233727677
176.747,271.200814888
176.762,271.16781013
176.777,271.13471308
176.792,271.101523336
176.807,271.068240522
176.822,271.034864284
176.837,271.00139422
176.852,270.967829973
176.867,270.93417115
176.882,270.900417354
176.897,270.866568226
176.912,270.832623371
176.927,270.798582379
176.942,270.76444488
176.957,270.730210459
176.972,270.695878735
176.987,270.661449295
177.002,270.626921745
177.017,270.592295683
177.032,270.557570696
177.047,270.522746372
177.062,270.4878223
177.077,270.452798074
177.092,270.417673265
177.107,270.382447478
177.122,270.347120247
177.137,270.311691179
177.152,270.27615986
177.167,270.240525824
177.182,270.204788654
177.197,270.168947926
177.21,270.137801849
177.212,270.133003176
177.227,270.096954008
177.242,270.060799937
177.257,270.024540517
177.272,269.988175324
177.287,269.951703895
177.302,269.915125773
177.31,269.895573657
177.317,269.878440507
177.332,269.841647612
177.347,269.804746653
177.362,269.767737162
177.377,269.730618648
177.392,269.693390655
177.407,269.65605271
177.422,269.618604314
177.437,269.581045
177.452,269.54337427
177.467,269.505591652
177.482,269.467696643
177.497,269.429688747
177.512,269.391567473
177.527,269.353332298
177.542,269.314982734
177.557,269.276518272
177.572,269.237938383
177.587,269.199242565
177.602,269.160430288
177.617,269.12150103
177.632,269.082454268
177.647,269.043289458
177.66,269.009250739
177.662,269.004006086
177.677,268.964603578
177.692,268.925081421
177.707,268.885439049
177.722,268.845675922
177.737,268.805791469
177.752,268.76578515
177.767,268.725656373
177.782,268.685404587
177.797,268.645029231
177.812,268.604529686
