# 78954 TBPB Grantley Adams Observations at 12Z 12 Aug 2020
Frequency [GHz],TB
175.31,279.634404844
175.322,279.616975592
175.337,279.595133757
175.352,279.573230286
175.367,279.551264943
175.382,279.529237485
175.397,279.507147671
175.412,279.484995258
175.427,279.462779999
175.442,279.440501648
175.457,279.418159958
175.472,279.395754677
175.487,279.373285555
175.502,279.350752337
175.517,279.32815477
175.532,279.305492597
175.547,279.282765558
175.562,279.259973396
175.577,279.237115848
175.592,279.214192652
175.607,279.191203541
175.622,279.168148251
175.637,279.145026512
175.652,279.121838056
175.667,279.098582609
175.682,279.0752599
175.697,279.051869653
175.712,279.028411591
175.727,279.004885435
175.742,278.981290906
175.757,278.957627721
175.772,278.933895597
175.787,278.910094247
175.802,278.886223385
175.817,278.862282721
175.832,278.838271965
175.847,278.814190822
175.862,278.790039
175.877,278.7658162
175.892,278.741522125
175.907,278.717156475
175.922,278.692718948
175.937,278.668209239
175.952,278.643627042
175.967,278.618972051
175.982,278.594243955
175.997,278.569442444
176.012,278.544567202
176.027,278.519617916
176.042,278.494594267
176.057,278.469495938
176.072,278.444322605
176.087,278.419073947
176.102,278.393749638
176.117,278.368349351
176.132,278.342872757
176.147,278.317319525
176.162,278.291689322
176.177,278.265981813
176.192,278.24019666
176.207,278.214333525
176.222,278.188392066
176.237,278.162371941
176.252,278.136272803
176.267,278.110094307
176.282,278.083836101
176.297,278.057497835
176.31,278.034606305
176.312,278.031079156
176.327,278.004579707
176.342,277.977999131
176.357,277.951337068
176.372,277.924593156
176.387,277.897767032
176.402,277.870858328
176.417,277.843866676
176.432,277.816791706
176.447,277.789633045
176.46,277.766027553
176.462,277.762390319
176.477,277.73506315
176.492,277.707651159
176.507,277.680153965
176.522,277.652571184
176.537,277.624902431
176.552,277.597147316
176.567,277.569305451
176.582,277.541376443
176.597,277.513359896
176.612,277.485255415
176.627,277.457062599
176.642,277.428781048
176.657,277.400410357
176.672,277.371950121
176.687,277.343399932
176.702,277.314759379
176.717,277.286028049
176.732,277.257205526
176.747,277.228291395
176.762,277.199285233
176.777,277.170186621
176.792,277.140995133
176.807,277.111710343
176.822,277.082331821
176.837,277.052859136
176.852,277.023291854
176.867,276.993629539
176.882,276.963871753
176.897,276.934018055
176.912,276.904068001
176.927,276.874021145
176.942,276.843877041
176.957,276.813635237
176.972,276.78329528
176.987,276.752856715
177.002,276.722319085
177.017,276.691681929
177.032,276.660944786
177.047,276.630107189
177.062,276.599168672
177.077,276.568128764
177.092,276.536986994
177.107,276.505742887
177.122,276.474395965
177.137,276.442945749
177.152,276.411391756
177.167,276.379733503
177.182,276.347970502
177.197,276.316102263
177.21,276.288397617
177.212,276.284128295
177.227,276.252048102
177.242,276.219861188
177.257,276.187567054
177.272,276.155165197
177.287,276.122655112
177.302,276.090036293
177.31,276.072594953
177.317,276.057308229
177.332,276.02447041
177.347,275.991522319
177.362,275.958463441
177.377,275.925293254
177.392,275.892011238
177.407,275.858616867
177.422,275.825109613
177.437,275.791488947
177.452,275.757754337
177.467,275.723905247
177.482,275.68994114
177.497,275.655861475
177.512,275.62166571
177.527,275.587353299
177.542,275.552923696
177.557,275.518376348
177.572,275.483710704
177.587,275.448926207
177.602,275.4140223
177.617,275.378998421
177.632,275.343854007
177.647,275.308588493
177.66,275.27792665
177.662,275.273201309
177.677,275.237691884
177.692,275.202059645
177.707,275.166304015
177.722,275.130424415
177.737,275.094420263
177.752,275.058290976
177.767,275.022035966
177.782,274.985654644
177.797,274.949146417
