# 10410 EDZE Essen Observations at 12Z 15 Aug 2020
Frequency [GHz],TB
175.31,272.43633596
175.322,272.416191609
175.337,272.390956466
175.352,272.36566043
175.367,272.340303371
175.382,272.314885168
175.397,272.289405692
175.412,272.263864816
175.427,272.238262409
175.442,272.212598343
175.457,272.18687248
175.472,272.161084691
175.487,272.135234841
175.502,272.109322788
175.517,272.083348395
175.532,272.057311525
175.547,272.031212033
175.562,272.005049778
175.577,271.978824612
175.592,271.952536388
175.607,271.926184963
175.622,271.899770186
175.637,271.873291902
175.652,271.846749959
175.667,271.820144201
175.682,271.793474476
175.697,271.766740621
175.712,271.739942478
175.727,271.71307988
175.742,271.686152673
175.757,271.659160683
175.772,271.632103749
175.787,271.604981697
175.802,271.577794356
175.817,271.550541552
175.832,271.523223118
175.847,271.495838872
175.862,271.468388631
175.877,271.440872222
175.892,271.413289458
175.907,271.385640155
175.922,271.357924128
175.937,271.330141186
175.952,271.302291136
175.967,271.274373793
175.982,271.246388957
175.997,271.218336429
176.012,271.190216016
176.027,271.162027514
176.042,271.133770717
176.057,271.105445426
176.072,271.077051423
176.087,271.048588507
176.102,271.020056461
176.117,270.991455076
176.132,270.962784133
176.147,270.934043409
176.162,270.905232687
176.177,270.876351742
176.192,270.84740035
176.207,270.818378278
176.222,270.789285301
176.237,270.760121182
176.252,270.730885689
176.267,270.701578581
176.282,270.672199617
176.297,270.642748558
176.31,270.617165798
176.312,270.613225154
176.327,270.583629161
176.342,270.553960329
176.357,270.524218401
176.372,270.494403126
176.387,270.46451424
176.402,270.434551491
176.417,270.404514607
176.432,270.374403325
176.447,270.344217377
176.46,270.317995617
176.462,270.313956493
176.477,270.283620396
176.492,270.253208809
176.507,270.222721456
176.522,270.192158049
176.537,270.16151831
176.552,270.130801942
176.567,270.100008662
176.582,270.069138172
176.597,270.038190174
176.612,270.007164373
176.627,269.976060464
176.642,269.944878141
176.657,269.913617097
176.672,269.882277019
176.687,269.850857592
176.702,269.819358503
176.717,269.787779426
176.732,269.756120038
176.747,269.724380015
176.762,269.692559026
176.777,269.660656737
176.792,269.628672812
176.807,269.596606912
176.822,269.564458695
176.837,269.532227812
176.852,269.49991392
176.867,269.467516659
176.882,269.435035677
176.897,269.402470617
176.912,269.369821112
176.927,269.337086799
176.942,269.304267306
176.957,269.271362266
176.972,269.238371294
176.987,269.205294019
177.002,269.17213005
177.017,269.138879007
177.032,269.105540498
177.047,269.072114126
177.062,269.038599496
177.077,269.004996205
177.092,268.971303852
177.107,268.937522025
177.122,268.903650316
177.137,268.869688299
177.152,268.835635568
177.167,268.80149169
177.182,268.767256242
177.197,268.732928788
177.21,268.703103574
177.212,268.698508898
177.227,268.663996133
177.242,268.629390049
177.257,268.594690199
177.272,268.55989613
177.287,268.525007391
177.302,268.490023522
177.31,268.471326399
177.317,268.454944059
177.332,268.419768538
177.347,268.384496482
177.362,268.349127423
177.377,268.313660879
177.392,268.278096364
177.407,268.24243339
177.422,268.20667147
177.437,268.170810103
177.452,268.134848792
177.467,268.098787028
177.482,268.062624303
177.497,268.026360105
177.512,267.989993912
177.527,267.953525207
177.542,267.916953458
177.557,267.880278136
177.572,267.843498699
177.587,267.806614615
177.602,267.76962533
177.617,267.732530302
177.632,267.695328968
177.647,267.658020774
177.66,267.625600132
177.662,267.620605153
177.677,267.583081537
177.692,267.545449354
177.707,267.507708017
177.722,267.469856953
177.737,267.431895565
177.752,267.393823263
177.767,267.355639449
177.782,267.317343519
177.797,267.278934863
177.812,267.240412867
177.827,267.201776914
177.842,267.163026376
177.857,267.124160629
177.872,267.085179036
177.887,267.046080956
177.902,267.006865746
177.917,266.967532755
177.932,266.928081324
177.947,266.888510794
177.96,266.854119483
177.962,266.848820499
177.977,266.809009767
177.992,266.76907792
178.007,266.729024272
178.022,266.688848135
178.037,266.648548817
178.052,266.608125615
178.067,266.567577825
178.082,266.526904733
178.097,266.486105621
178.112,266.445179767
178.127,266.404126442
178.142,266.362944908
178.157,266.321634426
178.172,266.280194248
178.187,266.238623622
178.202,266.196921785
178.217,266.155087974
178.232,266.113121418
178.247,266.071021334
178.262,266.028786943
178.277,265.986417453
178.292,265.943912062
178.307,265.901269975
178.322,265.858490375
178.337,265.815572452
178.352,265.772515373
178.367,265.72931832
178.382,265.68598045
178.397,265.642500922
178.41,265.604703421
178.412,265.598878884
178.427,265.555113483
178.442,265.511203854
178.457,265.467149128
178.472,265.422948428
178.487,265.378600869
178.502,265.334105559
178.517,265.289461604
178.532,265.244668096
178.547,265.199724123
178.562,265.154628765
178.577,265.109381098
178.592,265.063980184
178.607,265.018425085
178.622,264.97271485
178.637,264.926848526
178.652,264.880825147
178.667,264.83464374
178.682,264.788303328
178.697,264.741802927
178.712,264.695141542
178.727,264.648318167
178.742,264.601331793
178.757,264.554181407
178.772,264.506865982
178.787,264.45938448
178.802,264.411735864
178.817,264.363919083
178.832,264.315933084
178.847,264.267776792
178.862,264.219449139
178.877,264.170949043
178.892,264.122275413
178.907,264.073427147
178.922,264.024403141
178.937,263.975202278
178.952,263.925823433
178.967,263.876265474
178.982,263.826527259
178.997,263.776607638
179.012,263.726505448
179.027,263.676219529
179.042,263.625748699
179.057,263.575091773
179.072,263.524247555
179.087,263.473214847
179.102,263.421992432
179.117,263.370579089
179.132,263.318973585
179.147,263.267174687
179.16,263.2221249
179.162,263.215181134
179.177,263.162991679
179.192,263.110605049
179.207,263.058019966
179.222,263.005235144
179.237,262.952249288
179.252,262.899061092
179.267,262.845669236
179.282,262.792072404
179.297,262.738269252
179.312,262.684258439
179.327,262.630038611
179.342,262.575608403
179.357,262.520966442
179.372,262.466111344
179.387,262.411041712
179.402,262.355756148
179.417,262.300253231
179.432,262.244531544
179.447,262.188589648
179.462,262.132426099
179.477,262.076039444
179.492,262.019428218
179.507,261.962590945
179.522,261.905526139
179.537,261.848232305
179.552,261.790707937
179.567,261.732951517
179.582,261.674961521
179.597,261.61673641
179.612,261.558274637
179.627,261.499574637
179.642,261.44063485
179.657,261.381453689
179.672,261.322029569
179.687,261.262360884
179.702,261.20244603
179.717,261.142283377
179.732,261.081871296
179.747,261.021208141
179.762,260.96029226
179.777,260.899121986
179.792,260.837695644
179.807,260.776011549
179.822,260.714067999
179.837,260.651863292
179.852,260.589395706
179.867,260.526663511
179.882,260.463664967
179.897,260.400398323
179.91,260.345349008
179.912,260.336861819
179.927,260.273053679
179.942,260.208972122
179.957,260.144615354
179.972,260.07998157
179.987,260.015068953
180.002,259.949875682
180.017,259.884399917
180.032,259.818639808
180.047,259.752593504
180.062,259.686259133
180.077,259.619634812
180.092,259.55271866
180.107,259.485508773
180.122,259.418003238
180.137,259.350200143
180.152,259.282097548
180.167,259.213693517
180.182,259.144986101
180.197,259.075973335
180.212,259.006653247
180.227,258.93702386
180.242,258.867083179
180.257,258.796829208
180.272,258.72625993
180.287,258.655373327
180.302,258.584167368
180.317,258.512640019
180.332,258.440789222
180.347,258.368612924
180.362,258.296109056
180.377,258.223275543
180.392,258.150110293
180.407,258.076611219
180.422,258.002776209
180.437,257.928603159
180.452,257.854089941
180.467,257.779234429
180.482,257.704034481
180.497,257.628487956
180.512,257.552592694
180.527,257.476346537
180.542,257.399747311
180.557,257.322792837
180.56,257.30735912
180.572,257.245480932
180.587,257.167809403
180.602,257.089776045
180.617,257.011378657
180.632,256.932615017
180.647,256.853482907
180.66,256.784601969
180.662,256.773980098
180.677,256.694104355
180.692,256.613853433
180.707,256.533225088
180.722,256.452217067
180.737,256.370827111
180.752,256.28905295
180.767,256.206892317
180.782,256.124342933
180.797,256.041402519
180.812,255.958068787
180.827,255.87433945
180.842,255.790212207
180.857,255.705684762
180.872,255.620754807
180.887,255.535420037
180.902,255.449678138
180.917,255.363526798
180.932,255.276963692
180.947,255.189986505
180.962,255.102592908
180.977,255.014780573
180.992,254.926547173
181.007,254.837890375
181.022,254.748807846
181.037,254.659297247
181.052,254.569356246
181.067,254.4789825
181.082,254.388173674
181.097,254.296927426
181.112,254.205241418
181.127,254.113113306
181.142,254.020540759
181.157,253.927521429
181.172,253.834052984
181.187,253.740133088
181.202,253.645759405
181.217,253.550929603
181.232,253.455641353
181.247,253.359892328
181.262,253.263680205
181.277,253.167002665
181.292,253.069857396
181.307,252.972242086
181.31,252.952662418
181.322,252.874154436
181.337,252.775592144
181.352,252.676552923
181.367,252.577034491
181.382,252.477034572
181.397,252.376550906
181.412,252.275581237
181.427,252.174123322
181.442,252.072174934
181.457,251.969733852
181.472,251.866797877
181.487,251.76336482
181.502,251.659432515
181.517,251.554998806
181.532,251.450061573
181.547,251.344618698
181.562,251.238668102
181.577,251.132207727
181.592,251.02523554
181.607,250.917749543
