# 01004 ENAS Ny-Alesund Ii Observations at 12Z 16 Aug 2020
Frequency [GHz],TB
175.31,264.828789604
175.322,264.829968579
175.337,264.831261221
175.352,264.832352046
175.367,264.833240399
175.382,264.833925628
175.397,264.834407085
175.412,264.83468413
175.427,264.834756126
175.442,264.834622443
175.457,264.834282455
175.472,264.833735542
175.487,264.832981091
175.502,264.832018493
175.517,264.830847146
175.532,264.829466452
175.547,264.827875823
175.562,264.826074673
175.577,264.824062425
175.592,264.821838506
175.607,264.819402351
175.622,264.816753402
175.637,264.813891107
175.652,264.810814919
175.667,264.8075243
175.682,264.804018718
175.697,264.800297648
175.712,264.796360573
175.727,264.792206981
175.742,264.78783637
175.757,264.783248243
175.772,264.778442111
175.787,264.773417495
175.802,264.768173919
175.817,264.762710918
175.832,264.757028035
175.847,264.75112482
175.862,264.745000829
175.877,264.73865563
175.892,264.732088796
175.907,264.72529991
175.922,264.718288563
175.937,264.711054354
175.952,264.703596891
175.967,264.69591579
175.982,264.688010676
175.997,264.679881183
176.012,264.671526954
176.027,264.662947641
176.042,264.654142904
176.057,264.645112414
176.072,264.63585585
176.087,264.626372899
176.102,264.61666326
176.117,264.60672664
176.132,264.596562757
176.147,264.586171335
176.162,264.575552113
176.177,264.564704835
176.192,264.553629257
176.207,264.542325146
176.222,264.530792277
176.237,264.519030436
176.252,264.507039418
176.267,264.494819031
176.282,264.482369091
176.297,264.469689424
176.31,264.458514431
176.312,264.456779869
176.327,264.443640273
176.342,264.430270494
176.357,264.416670402
176.372,264.402839876
176.387,264.388778808
176.402,264.374487098
176.417,264.359964658
176.432,264.345211413
176.447,264.330227296
176.46,264.317054269
176.462,264.315012252
176.477,264.299566239
176.492,264.283889222
176.507,264.267981182
176.522,264.251842109
176.537,264.235472002
176.552,264.218870876
176.567,264.202038753
176.582,264.184975671
176.597,264.167681674
176.612,264.150156822
176.627,264.132401185
176.642,264.114414844
176.657,264.096197892
176.672,264.077750434
176.687,264.059072586
176.702,264.040164476
176.717,264.021026244
176.732,264.001658041
176.747,263.98206003
176.762,263.962232386
176.777,263.942175296
176.792,263.921888958
176.807,263.901373582
176.822,263.880629389
176.837,263.859656614
176.852,263.838455502
176.867,263.817026311
176.882,263.795369308
176.897,263.773484775
176.912,263.751373005
176.927,263.7290343
176.942,263.706468978
176.957,263.683677366
176.972,263.660659803
176.987,263.63741664
177.002,263.61394824
177.017,263.590254976
177.032,263.566337234
177.047,263.542195412
177.062,263.517829919
177.077,263.493241173
177.092,263.468429608
177.107,263.443395665
177.122,263.418139798
177.137,263.392662474
177.152,263.366964169
177.167,263.34104537
177.182,263.314906576
177.197,263.288548298
177.21,263.265527319
177.212,263.261971055
177.227,263.235175379
177.242,263.208161812
177.257,263.180930908
177.272,263.153483231
177.287,263.125819353
177.302,263.09793986
177.31,263.08298284
177.317,263.069845347
177.332,263.041536419
177.347,263.013013691
177.362,262.984277788
177.377,262.955329347
177.392,262.926169012
177.407,262.896797438
177.422,262.867215289
177.437,262.837423241
177.452,262.807421975
177.467,262.777212185
177.482,262.746794573
177.497,262.716169849
177.512,262.685338733
177.527,262.654301953
177.542,262.623060247
177.557,262.59161436
177.572,262.559965045
177.587,262.528113065
177.602,262.49605919
177.617,262.463804196
177.632,262.43134887
177.647,262.398694005
177.66,262.370232334
177.662,262.3658404
177.677,262.332788864
177.692,262.299540211
177.707,262.266095263
177.722,262.232454847
177.737,262.198619798
177.752,262.164590958
177.767,262.130369173
177.782,262.095955297
177.797,262.061350189
177.812,262.026554712
177.827,261.991569737
177.842,261.956396139
177.857,261.921034798
177.872,261.885486598
177.887,261.84975243
177.902,261.813833188
177.917,261.777729769
177.932,261.741443075
177.947,261.704974013
177.96,261.67322068
177.962,261.668323492
177.977,261.631492425
177.992,261.594481727
178.007,261.557292318
178.022,261.519925119
178.037,261.482381055
178.052,261.444661051
178.067,261.406766037
178.082,261.368696942
178.097,261.330454698
178.112,261.292040239
178.127,261.2534545
178.142,261.214698415
178.157,261.17577292
178.172,261.136678953
178.187,261.097417449
178.202,261.057989346
178.217,261.018395581
178.232,260.978637089
178.247,260.938714805
178.262,260.898629666
178.277,260.858382603
178.292,260.81797455
178.307,260.777406436
178.322,260.73667919
178.337,260.695793739
178.352,260.654751007
178.367,260.613551916
178.382,260.572197385
178.397,260.530688331
178.41,260.49458953
178.412,260.489025666
178.427,260.447210299
178.442,260.405243137
178.457,260.363125082
178.472,260.320857031
178.487,260.278439879
178.502,260.235874514
178.517,260.193161821
178.532,260.150302679
178.547,260.107297962
178.562,260.06414854
178.577,260.020855276
178.592,259.977419028
178.607,259.933840646
178.622,259.890120976
178.637,259.846260858
178.652,259.802261123
178.667,259.758122598
178.682,259.7138461
178.697,259.669432442
178.712,259.624882426
178.727,259.580196851
178.742,259.535376504
178.757,259.490422166
178.772,259.445334611
178.787,259.400114603
178.802,259.354762898
178.817,259.309280244
178.832,259.263667379
178.847,259.217925035
178.862,259.17205393
178.877,259.126054779
178.892,259.079928282
178.907,259.033675133
178.922,258.987296015
178.937,258.940791602
178.952,258.894162558
178.967,258.847409535
178.982,258.800533179
178.997,258.753534123
179.012,258.706412988
179.027,258.659170389
179.042,258.611806927
179.057,258.564323193
179.072,258.516719769
179.087,258.468997223
179.102,258.421156116
179.117,258.373196994
179.132,258.325120396
179.147,258.276926845
179.16,258.235064899
179.162,258.228616858
179.177,258.180190938
179.192,258.131649575
179.207,258.082993252
179.222,258.034222436
179.237,257.985337587
179.252,257.936339149
179.267,257.887227559
179.282,257.838003238
179.297,257.788666599
179.312,257.739218042
179.327,257.689657955
179.342,257.639986716
179.357,257.590204689
179.372,257.540312228
179.387,257.490309675
179.402,257.440197362
179.417,257.389975606
179.432,257.339644717
179.447,257.289204989
179.462,257.238656707
179.477,257.188000146
179.492,257.137235566
179.507,257.086363218
179.522,257.035383342
179.537,256.984296166
179.552,256.933101907
179.567,256.881800771
179.582,256.830392953
179.597,256.778878637
179.612,256.727257998
179.627,256.675531197
179.642,256.623698387
179.657,256.571759709
179.672,256.519715295
179.687,256.467565267
179.702,256.415309733
179.717,256.362948797
179.732,256.310482548
179.747,256.257911068
179.762,256.205234428
179.777,256.152452691
179.792,256.09956591
179.807,256.046574128
179.822,255.993477379
179.837,255.940275691
179.852,255.88696908
179.867,255.833557554
179.882,255.780041115
179.897,255.726419754
179.91,255.679863027
179.912,255.672693457
179.927,255.6188622
179.942,255.564925952
179.957,255.510884675
179.972,255.456738324
179.987,255.402486848
180.002,255.348130188
180.017,255.29366828
180.032,255.239101051
180.047,255.184428426
180.062,255.129650322
180.077,255.074766651
180.092,255.01977732
180.107,254.964682232
180.122,254.909481285
180.137,254.854174372
180.152,254.798761382
180.167,254.743242202
180.182,254.687616714
180.197,254.631884798
180.212,254.576046331
180.227,254.520101187
180.242,254.464049239
180.257,254.407890358
180.272,254.351624413
180.287,254.295251273
180.302,254.238770806
180.317,254.182182879
180.332,254.12548736
180.347,254.068684118
180.362,254.011773022
180.377,253.954753942
180.392,253.897626752
180.407,253.840391326
180.422,253.783047541
180.437,253.725595278
180.452,253.668034421
180.467,253.610364858
180.482,253.55258648
180.497,253.494699187
180.512,253.43670288
180.527,253.378597468
180.542,253.320382867
180.557,253.262059
180.56,253.250381108
180.572,253.203625795
180.587,253.145083191
180.602,253.086431135
180.617,253.027669582
180.632,252.968798497
180.647,252.909817858
180.66,252.858612675
180.662,252.85072765
180.677,252.791527873
180.692,252.732218537
180.707,252.672799665
180.722,252.613271295
180.737,252.553633478
180.752,252.493886281
180.767,252.434029784
180.782,252.374064086
180.797,252.313989302
180.812,252.253805565
180.827,252.193513024
180.842,252.133111852
180.857,252.072602237
180.872,252.011984391
180.887,251.951258546
180.902,251.890424957
180.917,251.829483902
180.932,251.768435684
180.947,251.70728063
180.962,251.646019091
180.977,251.584651449
180.992,251.523178109
181.007,251.461599508
181.022,251.399916111
181.037,251.338128413
181.052,251.276236941
181.067,251.214242255
181.082,251.152144947
181.097,251.089945644
181.112,251.027645009
181.127,250.965243741
181.142,250.902742577
181.157,250.840142292
181.172,250.777443702
181.187,250.714647662
181.202,250.65175507
181.217,250.58876687
181.232,250.525684045
181.247,250.462507628
181.262,250.399238698
181.277,250.335878381
181.292,250.272427854
181.307,250.208888342
181.31,250.196169873
181.322,250.145261124
181.337,250.081547533
181.352,250.017748954
181.367,249.953866831
181.382,249.889902663
181.397,249.825858008
181.412,249.761734486
181.427,249.697533775
181.442,249.633257621
181.457,249.568907829
181.472,249.504486274
181.487,249.439994897
181.502,249.375435707
181.517,249.310810785
181.532,249.246122284
181.547,249.181372429
181.562,249.116563522
181.577,249.05169794
181.592,248.98677814
181.607,248.921806658
181.622,248.856786111
181.637,248.791719201
181.652,248.726608713
181.667,248.661457521
181.682,248.596268583
181.697,248.531044952
181.712,248.465789769
181.727,248.400506269
181.742,248.335197783
181.757,248.269867737
181.772,248.204519656
181.787,248.139157166
181.802,248.073783994
181.817,248.008403968
181.832,247.943021025
181.847,247.877639205
181.862,247.81226266
181.877,247.746895647
181.892,247.681542539
181.907,247.616207819
181.922,247.550896085
181.937,247.485612052
181.952,247.420360552
181.967,247.355146534
181.982,247.28997507
181.997,247.22485135
182.012,247.159780689
182.027,247.094768524
182.042,247.029820418
182.057,246.964942059
182.06,246.951975266
