# Standard atmosphere as implemented in PAMTRA (RH: 0%)
Frequency [GHz],TB
175.31,177.9848915
175.322,177.985050115
175.337,177.985248577
175.352,177.985447254
175.367,177.985646144
175.382,177.985845248
175.397,177.986044566
175.412,177.986244097
175.427,177.986443842
175.442,177.986643799
175.457,177.98684397
175.472,177.987044354
175.487,177.98724495
175.502,177.987445759
175.517,177.98764678
175.532,177.987848014
175.547,177.98804946
175.562,177.988251117
175.577,177.988452986
175.592,177.988655067
175.607,177.98885736
175.622,177.989059864
175.637,177.989262579
175.652,177.989465505
175.667,177.989668641
175.682,177.989871989
175.697,177.990075547
175.712,177.990279315
175.727,177.990483294
175.742,177.990687483
175.757,177.99089188
175.772,177.99109649
175.787,177.991301307
175.802,177.991506335
175.817,177.991711572
175.832,177.991917017
175.847,177.992122672
175.862,177.992328536
175.877,177.992534609
175.892,177.992740889
175.907,177.992947379
175.922,177.993154076
175.937,177.993360982
175.952,177.993568096
175.967,177.993775417
175.982,177.993982946
175.997,177.994190683
176.012,177.994398626
176.027,177.994606777
176.042,177.994815135
176.057,177.995023701
176.072,177.995232472
176.087,177.995441451
176.102,177.995650635
176.117,177.995860026
176.132,177.996069623
176.147,177.996279426
176.162,177.996489435
176.177,177.99669965
176.192,177.99691007
176.207,177.997120695
176.222,177.997331526
176.237,177.997542562
176.252,177.997753803
176.267,177.997965249
176.282,177.998176899
176.297,177.998388753
176.31,177.998572526
176.312,177.998600813
176.327,177.998813076
176.342,177.999025543
176.357,177.999238215
176.372,177.99945109
176.387,177.999664168
176.402,177.999877451
176.417,178.000090936
176.432,178.000304625
176.447,178.000518516
176.46,178.000704053
176.462,178.000732611
176.477,178.000946908
176.492,178.001161408
176.507,178.00137611
176.522,178.001591015
176.537,178.001806122
176.552,178.002021431
176.567,178.002236942
176.582,178.002452654
176.597,178.002668568
176.612,178.002884684
176.627,178.003101
176.642,178.003317519
176.657,178.003534237
176.672,178.003751157
176.687,178.003968278
176.702,178.004185599
176.717,178.004403121
176.732,178.004620843
176.747,178.004838764
176.762,178.005056887
176.777,178.005275209
176.792,178.00549373
176.807,178.005712451
176.822,178.005931372
176.837,178.006150492
176.852,178.006369811
176.867,178.00658933
176.882,178.006809047
176.897,178.007028963
176.912,178.007249077
176.927,178.00746939
176.942,178.007689901
176.957,178.007910611
176.972,178.008131518
176.987,178.008352623
177.002,178.008573926
177.017,178.008795427
177.032,178.009017125
177.047,178.009239021
177.062,178.009461114
177.077,178.009683404
177.092,178.00990589
177.107,178.010128574
177.122,178.010351454
177.137,178.010574531
177.152,178.010797804
177.167,178.011021273
