frequency_GHz,central_europe_winter,tropics_august,central_europe_summer,standard,arctic_winter,arctic_summer,tropics_february
1.652729999999999961e+02,2.616072425566153470e+02,2.835969133191331366e+02,2.736970651887877466e+02,1.779102179588982153e+02,2.091064101922590623e+02,2.607115210275426307e+02,2.868242372053480835e+02
1.652880000000000109e+02,2.616255034041445811e+02,2.835921697346300334e+02,2.737187756281542192e+02,1.779102245904243489e+02,2.091320392950383109e+02,2.607342779033714919e+02,2.868219189318627969e+02
1.653029999999999973e+02,2.616437702862589276e+02,2.835874122068253769e+02,2.737404959749110844e+02,1.779102316057636983e+02,2.091577109055250503e+02,2.607570496604719210e+02,2.868195891371415769e+02
1.653180000000000121e+02,2.616620431724250011e+02,2.835826407053156686e+02,2.737622261993089978e+02,1.779102390037298846e+02,2.091834251276951875e+02,2.607798362816120061e+02,2.868172477952116992e+02
1.653329999999999984e+02,2.616803220302805357e+02,2.835778551977285815e+02,2.737839662708238961e+02,1.779102467850385949e+02,2.092091820548917269e+02,2.608026377578199799e+02,2.868148948816375423e+02
1.653480000000000132e+02,2.616986068281732969e+02,2.835730556634408117e+02,2.738057161590206192e+02,1.779102549479787285e+02,2.092349817936694194e+02,2.608254540769528944e+02,2.868125303707254830e+02
1.653629999999999995e+02,2.617168975348752156e+02,2.835682420658613410e+02,2.738274758318925137e+02,1.779102634922897153e+02,2.092608244440174019e+02,2.608482852220329278e+02,2.868101542356079108e+02
1.653780000000000143e+02,2.617351941164845925e+02,2.835634143719138365e+02,2.738492452590907078e+02,1.779102724187619344e+02,2.092867100996981264e+02,2.608711311819922116e+02,2.868077664543273499e+02
1.653930000000000007e+02,2.617534965420856565e+02,2.835585725535698884e+02,2.738710244078567371e+02,1.779102817262736664e+02,2.093126388724443530e+02,2.608939919493217872e+02,2.868053669979137226e+02
1.654080000000000155e+02,2.617718047781334576e+02,2.835537165827417425e+02,2.738928132471061190e+02,1.779102914135256412e+02,2.093386108542449335e+02,2.609168675038155243e+02,2.868029558422778678e+02
1.654230000000000018e+02,2.617901187919342760e+02,2.835488464292377557e+02,2.739146117450974884e+02,1.779103014820035753e+02,2.093646261505293467e+02,2.609397578334451850e+02,2.868005329613083632e+02
1.654380000000000166e+02,2.618084385492976480e+02,2.835439620608321434e+02,2.739364198673789588e+02,1.779103119303772473e+02,2.093906848662078914e+02,2.609626629226452224e+02,2.867980983288168773e+02
1.654530000000000030e+02,2.618267640172595065e+02,2.835390634472984175e+02,2.739582375827303053e+02,1.779103227570737431e+02,2.094167871025277066e+02,2.609855827619192041e+02,2.867956519210522970e+02
1.654680000000000177e+02,2.618450951612472295e+02,2.835341505594847717e+02,2.739800648568742076e+02,1.779103339639175090e+02,2.094429329564676436e+02,2.610085173313299833e+02,2.867931937099089055e+02
1.654830000000000041e+02,2.618634319482811748e+02,2.835292233630686951e+02,2.740019016580250764e+02,1.779103455497319999e+02,2.094691225400438555e+02,2.610314666220375557e+02,2.867907236713404586e+02
1.654979999999999905e+02,2.618817743438677894e+02,2.835242818328586623e+02,2.740237479490621126e+02,1.779103575132862716e+02,2.094953559473901805e+02,2.610544306116713642e+02,2.867882417783021083e+02
1.655130000000000052e+02,2.619001223130363769e+02,2.835193259339580436e+02,2.740456036979148280e+02,1.779103698543109147e+02,2.095216332880158632e+02,2.610774092924596630e+02,2.867857480045736907e+02
1.655279999999999916e+02,2.619184758185464261e+02,2.835143556402779268e+02,2.740674688709904672e+02,1.779103825741721039e+02,2.095479546585783339e+02,2.611004026440832035e+02,2.867832423262732959e+02
1.655430000000000064e+02,2.619368348286512287e+02,2.835093709126203407e+02,2.740893434312067711e+02,1.779103956701384845e+02,2.095743201728267877e+02,2.611234106536763875e+02,2.867807247145336191e+02
